dates,nzd0018-0000,nzd0018-0001,nzd0018-0002,nzd0018-0003,nzd0018-0004,nzd0018-0005,nzd0018-0006,nzd0018-0007,nzd0018-0008,nzd0018-0009,nzd0018-0010,nzd0018-0011,nzd0018-0012,nzd0018-0013,nzd0018-0014,nzd0018-0015,nzd0018-0016,nzd0018-0017,nzd0018-0018,nzd0018-0019,nzd0018-0020,nzd0018-0021,nzd0018-0022,nzd0018-0023,nzd0018-0024,satname
1999-08-17 22:10:26+00:00,375.4963636,369.4963636,365.6533333,359.1533333,,,,,355.8533333,,,373.8863636,377.04,377.0733333,380.97,384.74,382.6763636,382.64,385.5,387.45,365.3,374.3644444,376.6144444,379.6444444,381.9,L7
1999-10-04 22:10:38+00:00,398.8245455,390.1145455,397.1166667,397.2666667,402.19,400.97,392.26,394.3,393.7266667,398.84,396.1445455,401.8545455,398.18,411.9266667,407.65,409.08,415.0145455,397.73,404.54,416.12,401.34,400.4922222,401.4322222,412.7622222,411.72,L7
2000-03-28 22:10:07+00:00,388.3245455,380.5645455,380.5633333,375.9333333,388.01,379.75,,,,394.1,395.6045455,399.4845455,386.3,388.0533333,390.2,395.37,398.6245455,399.84,396.61,396.44,389.3,392.9344444,389.7644444,398.2044444,395.06,L7
2000-05-15 22:09:42+00:00,370.5754545,368.9554545,369.4766667,361.9566667,386.92,367.84,375.52,376.21,381.3866667,374.54,387.8354545,398.5354545,394.59,386.3966667,398,396.22,384.2754545,381.59,384.9,382.64,374.95,365.8388889,378.7088889,378.8188889,380.9,L7
2000-08-03 22:08:44+00:00,357.5672727,356.8572727,340.2933333,,,,,,,,,,,,,,,,,,371.86,356.6544444,367.8044444,373.8544444,371.61,L7
2000-09-04 22:08:22+00:00,363.4872727,352.9172727,343.57,339.87,328.3,327.62,335.48,329.29,341.69,333.66,345.7872727,359.1072727,362.36,362,368.79,373.92,363.9072727,367.07,374.12,376.09,357.75,361.9833333,359.7733333,361.4733333,364.64,L7
2000-09-20 22:08:03+00:00,373.7554545,364.8154545,361.59,356.49,351.37,340.39,339.27,349.2,355.53,361.33,364.2154545,375.9154545,376.62,374.1,383.32,387.61,385.0454545,378.38,378.87,390.19,378.15,375.9366667,380.5266667,377.6766667,384.57,L7
2001-01-26 22:08:07+00:00,381.9518182,378.5818182,376.4233333,367.1633333,375.54,358.56,351.49,367.36,366.6933333,371.08,373.9218182,384.8318182,388.54,389.3433333,398.25,395.81,390.3618182,391.71,387.38,398.07,386.52,383.9677778,383.9177778,382.5177778,385.49,L7
2001-04-16 22:07:42+00:00,369.1963636,364.3063636,365.7466667,351.5266667,359.4,357.87,356.45,347.77,353.8166667,354.38,362.8463636,374.2563636,382.35,382.2466667,381.33,395.51,387.6763636,381.2,380.15,379.44,369.81,365.5622222,363.9222222,373.0922222,383.73,L7
2001-06-03 22:07:16+00:00,367.6290909,362.2690909,362.0266667,353.1966667,355.8,358.29,350.03,355.27,385.0766667,365.02,373.4090909,369.1590909,383.41,382.2166667,390.39,389.12,381.5890909,380.1,382.77,396.89,391.94,364.3888889,363.4988889,363.2788889,371.82,L7
2001-09-07 22:06:11+00:00,373.3563636,366.4963636,358.4266667,,,,,,,,,380.5463636,376.44,374.7366667,385.17,389.21,367.8663636,377.42,382.45,384.28,376.51,363.4022222,371.3122222,372.6222222,371.31,L7
2001-11-26 22:06:09+00:00,355.6454545,351.3054545,352.7133333,350.1633333,357.2,339.74,342.75,349.54,353.6933333,350.82,361.5954545,372.5054545,371.39,367.2433333,367.64,383.86,380.3554545,364.31,366.06,376.26,365.45,363.6344444,362.5644444,362.2044444,369.26,L7
2002-01-29 22:06:21+00:00,367.1681818,361.3381818,356.69,344.13,345.01,336.35,327.58,348.02,347.7,358.15,357.8781818,365.8581818,364.25,367.29,372.26,376.99,372.8281818,371.87,376.19,381.09,375.43,,358.9933333,362.3433333,371.79,L7
2002-02-14 22:06:29+00:00,385.9572727,388.1072727,371.4433333,370.9033333,,377.77,361.98,370.16,369.3033333,372.61,374.3972727,388.3072727,386.95,387.2333333,392.25,389.07,381.6572727,380.51,384.78,392.98,386.66,388.8444444,368.7644444,375.2644444,379.09,L7
2002-07-24 22:05:50+00:00,370.8527273,364.8427273,351.4633333,370.5633333,,374.43,358.96,364.37,369.3933333,364.76,355.2627273,366.3527273,367.74,370.5533333,379.89,380.27,373.0727273,377.14,376.79,384.85,377.04,375.0344444,352.6744444,374.0144444,376.77,L7
2003-04-06 22:06:21+00:00,383.8309091,379.3009091,376.7066667,371.1766667,,382.64,390.74,365.9,384.5766667,386.06,394.1309091,394.5409091,400.11,392.8966667,404.41,405.38,399.2109091,391.09,399.24,404.04,399.28,,,,,L7
2003-05-24 22:06:17+00:00,363.0545455,359.0945455,348.2633333,344.5833333,338.48,332.24,339.33,338.55,347.2633333,334.2,355.6745455,370.3445455,367.66,368.3033333,367.98,376.17,374.2845455,373.75,368.32,372.46,361.09,356.0511111,,,,L7
2003-10-31 22:06:00+00:00,379.4663636,375.5263636,371.55,,,364.91,367.38,359.11,361.13,356.58,362.9463636,373.8563636,378.02,377.35,387.31,391.24,,,,386.14,377.09,373.44,350.66,376.26,376.39,L7
2004-01-19 22:06:35+00:00,382.57,,,391.32,393.9,383.25,374.37,369.72,379.48,378.09,381.98,399.82,400.53,405.54,406.94,,,422.78,412.02,414.51,415.12,404.2466667,,403.7966667,404.55,L7
2004-04-08 22:06:49+00:00,398.7436364,402.6736364,394.2133333,394.1933333,403.65,,,356.89,360.0133333,392.55,387.0236364,405.8436364,406.28,406.2633333,414.36,417.16,413.8836364,408.48,421.43,,,,,420.4844444,391.71,L7
2004-05-18 21:58:14+00:00,379.44,374.86,379.3366667,374.7566667,383.55,373.33,373.34,361.33,344.5266667,350.45,350.02,372.09,381.36,386.9766667,390.51,386.89,384.89,383.94,385.9,391.16,378.92,376.9588889,378.2888889,364.5688889,368.03,L5
2004-06-11 22:06:38+00:00,,382.0063636,398.8166667,385.0066667,396.63,393.8,391.65,396.71,,380.03,394.3963636,402.1563636,403.74,,,411.3,406.2763636,409.75,,415.16,394.97,387.6588889,386.2788889,387.4388889,381.9,L7
2004-07-13 22:06:34+00:00,371.8036364,364.8036364,363.0633333,359.3533333,359.59,350.47,359.53,350.7,336.6033333,,,362.9636364,364.9,370.2833333,369.36,370.79,373.3436364,373.12,369.96,373.97,369.79,360.0877778,364.5377778,354.4877778,363.14,L7
2004-07-29 22:06:27+00:00,380.4127273,380.0227273,371.5533333,366.3833333,365.34,364.08,369.63,369.76,,,360.7427273,382.1527273,374.44,383.5433333,379.98,386.18,382.7327273,389.28,383.35,388.91,386.98,369.4844444,366.7544444,,,L7
2004-08-30 22:06:20+00:00,,386.1736364,387.8866667,384.1866667,397.45,379.17,391.69,394.41,,380.03,376.3236364,394.5536364,,,398.85,404.86,399.1536364,399.06,404.73,408.85,404.48,397.0722222,392.1722222,391.1822222,396.15,L7
2004-11-02 22:06:28+00:00,394.8609091,394.6009091,390.5733333,389.9533333,399.49,375.68,,,,387.99,390.5509091,403.2409091,399.1,392.2233333,407.39,407.18,402.0509091,401.95,406.77,407.6,407.58,,,392.1011111,398.22,L7
2004-11-10 22:02:36+00:00,386.7272727,374.8572727,374.6666667,370.0266667,375.09,358.4,349.79,351.87,335.7266667,346.4,345.7772727,369.0172727,374.89,382.9966667,382.64,386.78,380.7272727,380.33,383.92,383.05,377.62,368.7455556,359.8755556,361.8255556,367.36,L5
2004-11-18 22:06:34+00:00,398.4418182,391.6318182,,,390.77,380.34,384.1,384.24,383.05,378.48,379.4618182,402.6718182,400.24,393.35,402.24,404.12,,,400.52,401.69,396.74,390.9466667,389.1366667,378.9066667,388.98,L7
2005-01-13 22:03:41+00:00,403.4136364,385.1136364,386.3466667,381.7566667,415.95,394.67,400.74,401.2,396.3066667,383.24,378.3336364,401.7136364,398.3,390.4866667,399.24,399.09,397.0336364,425.91,428.87,424.57,415.2,413.8188889,402.8588889,415.6188889,415.67,L5
2005-01-21 22:06:59+00:00,403.6390909,399.0190909,401.7333333,400.7433333,410.62,401.21,402.67,395.39,,,404.3490909,411.2290909,406.39,406.1833333,407.38,411.4,403.2790909,409.92,412.28,407.56,408.27,407.2477778,405.0277778,,,L7
2005-02-14 22:04:09+00:00,400.7045455,394.3745455,390.13,383.21,372.18,363.89,362.8,356.84,358.36,357.29,380.0945455,390.9645455,391.4,392.24,396.68,401.19,398.8245455,390.01,390.01,398.03,,,,,,L5
2005-02-22 22:07:14+00:00,379.9118182,368.7918182,360.7633333,354.0333333,360.79,346.28,342.61,342.37,342.8833333,,,,351.67,356.7933333,362.11,368.33,363.7518182,371.35,369.22,379.47,369.02,370.7911111,,,,L7
2005-04-03 22:04:40+00:00,397.27,400.02,398.9233333,394.6733333,389.71,395.52,,381.27,397.1833333,395.06,392.31,405.31,386.62,382.5333333,401.72,409.07,401.62,392.67,,,,,420.2577778,421.9877778,434.67,L5
2005-04-19 22:04:43+00:00,389.4463636,386.9963636,383.0533333,382.8833333,384.58,380.23,375.12,371.05,375.4933333,369.86,376.9163636,386.5063636,384.52,378.2833333,391.62,398.1,398.4763636,394.08,402.13,407.31,399.96,393.6277778,394.5177778,401.7177778,413.04,L5
2005-06-14 22:07:02+00:00,371.6290909,363.0190909,358.4266667,347.4866667,331.01,341.02,332.59,334,337.8966667,327.93,,,344.57,352.1966667,352.85,366.86,358.9390909,365.85,356.59,366.64,347.6,351.2422222,342.7422222,346.0922222,361.01,L7
2005-08-01 22:06:59+00:00,386.3090909,377.2490909,377.4733333,365.0033333,353.04,368.37,336.92,350.57,,,365.8990909,383.6590909,385.78,396.8833333,386.91,395.85,380.6590909,377.72,389.49,387.48,384.44,385.3844444,370.1944444,371.4844444,,L7
2005-09-02 22:06:46+00:00,378.9363636,371.4463636,371.6566667,363.0666667,360.52,352.03,347.5,,351.1966667,342.98,355.4463636,366.4963636,365.07,367.4166667,370.94,376.87,379.2763636,383.82,381.19,389.68,381.33,374.6955556,,,371.17,L7
2005-09-18 22:06:39+00:00,,,,,343.61,358.02,,,335.4766667,340.76,,360.6845455,369.45,360.3366667,376.07,369.48,370.3845455,375.24,378.45,388.38,379.59,,,354.4455556,359.7,L7
2005-09-26 22:05:42+00:00,406.0363636,400.1963636,403.4433333,405.2233333,396.39,379.39,380.1,383.28,382.9733333,377.08,399.2363636,406.4463636,401.76,401.6633333,389.04,397.69,416.1863636,421.04,413.53,407.84,413.55,404.7877778,403.9077778,406.3177778,388.13,L5
2006-01-08 22:07:25+00:00,399.2254545,391.0454545,395.3333333,396.4433333,398.22,394.54,401.05,398.47,,,404.0154545,407.0954545,402.84,407.3233333,407.29,406.5,409.0454545,408.11,411.36,413.34,414.08,400.2044444,395.1344444,,,L7
2006-02-09 22:07:38+00:00,395.4581818,382.7081818,,,383.32,374,372.71,373.81,376.7266667,367.59,382.6281818,393.9681818,392.7,392.0666667,395.66,398.07,,,399.09,403.67,394.94,392.0788889,388.0388889,387.2588889,386.3,L7
2006-02-17 22:08:11+00:00,388.39,377.9,377.6433333,383.9733333,387.83,368.22,360.03,373.97,369.0433333,364.76,373.71,378.44,374.42,379.8933333,379.81,388.83,385.38,391.3,392.86,399.42,387.13,390.1911111,389.6211111,379.0111111,381.11,L5
2006-03-13 22:07:41+00:00,377.4236364,364.2936364,360.46,,367.71,342.91,331.08,355.28,356.13,,,,,,,,,,,,374.05,376.9433333,372.9833333,361.3533333,366.59,L7
2006-04-06 22:09:08+00:00,364.46,356.55,359.48,353.05,369.8,340.05,335.33,366.55,364.64,349.51,368.31,391.3,398.21,397.41,389.03,391.11,387.27,394.41,394.21,389.17,379.21,379.1866667,379.9466667,364.3166667,371.8,L5
2006-04-14 22:07:36+00:00,382.8072727,371.2672727,386.2033333,386.1933333,,,358.41,377.06,370.5733333,369.55,375.1672727,,,,,,,,,,,,,,388.67,L7
2006-06-17 22:07:34+00:00,384.7618182,377.5518182,369.93,371.91,373.15,357.68,348.09,,,343.46,361.4218182,378.7918182,377.9,380.52,383.93,381.06,383.5418182,385.03,392.67,395.22,386.74,382.5766667,376.5666667,,,L7
2006-06-25 22:10:20+00:00,380.0772727,370.4872727,366.3,363.9,360.18,343.68,335.47,347.66,348.91,332.25,358.2372727,371.8672727,365.91,371.75,374.7,373.01,365.8072727,379.17,378.21,384.96,369.73,368.4733333,362.4633333,362.0533333,374.55,L5
2006-07-03 22:07:28+00:00,367.3645455,354.5245455,351.9733333,342.9733333,333.65,333.52,317.03,333.07,337.0933333,,,349.7045455,347.88,350.0433333,358.78,364.17,360.0545455,371.18,365.83,371.79,349.07,353.7344444,355.0944444,353.3744444,366.41,L7
2006-07-19 22:07:20+00:00,360.2936364,354.1236364,350.98,341.5,,326.43,315.59,,,316.81,341.8836364,360.9736364,354.15,358.05,361.53,363.7,358.3136364,366.57,365.28,364.93,357.98,355.4033333,,,370.64,L7
2006-09-05 22:07:11+00:00,382.1054545,364.2354545,368.62,371.05,368.42,360.37,359.28,355.7,373.39,,,,382.99,380.65,383.11,377.28,374.4954545,,,,,,,,,L7
2006-09-21 22:07:05+00:00,395.3863636,390.0463636,385.24,381.89,386.85,378.86,376.24,375.1,382.99,,,387.0663636,391.75,,,,,,,,,,,384.81,387.88,L7
2006-11-24 22:07:37+00:00,402.8263636,404.4763636,395.9633333,397.3033333,406.08,395.81,,,391.0533333,,391.3863636,413.2963636,413.24,412.0833333,412.83,403.77,388.3363636,394.34,400.99,,,,,401.3811111,399.41,L7
2006-12-02 22:12:34+00:00,,,,,,,344.91,348.26,359.36,349.26,355.9172727,368.5572727,,373.39,377.68,365.19,355.0272727,361.77,,348.6,355.36,364.2166667,358.7066667,368.0766667,385.17,L5
2006-12-10 22:07:44+00:00,402.76,396.34,396.7433333,389.3833333,408.08,398.49,396.23,393.39,397.3133333,,,,427.93,420.0233333,426.97,414.25,401.44,403.87,412.84,421.36,417.88,414.9577778,410.6777778,410.3577778,413.38,L7
2007-02-28 22:08:05+00:00,383.5745455,,,,,,,,,,382.4745455,396.5745455,393.3,391.7833333,397.2,395.94,391.4545455,401.35,399.41,406.28,399.28,378.6244444,392.2344444,395.1344444,,L7
2007-05-03 22:08:02+00:00,,388.8763636,389.7333333,387.8533333,402.6,394.8,389.86,396.55,400.7633333,,407.8363636,418.2063636,414.92,,,424.52,419.1863636,412.82,414.55,413.95,413.51,409.7277778,416.5177778,418.7977778,415.1,L7
2007-07-22 22:07:45+00:00,373.4118182,361.4318182,352.2866667,352.8766667,365,371.05,355.68,373.72,377.0766667,,,377.2718182,383.88,390.8466667,386.51,384.59,385.5918182,389.39,394.33,397.06,402.85,385.1488889,392.6488889,394.7588889,,L7
2007-08-07 22:07:40+00:00,369.2490909,,,358.09,354.86,376.61,,367.21,372.34,,,368.7290909,386.99,384.51,,,381.9890909,389.24,390.32,416.13,417.73,,388.29,,390.99,L7
2007-10-02 22:10:31+00:00,388.5654545,371.8054545,365.3966667,362.5766667,365.88,357.33,357.68,365.67,361.5066667,354.75,359.6354545,375.8854545,388.43,391.0866667,383.42,389.77,385.7654545,386.15,392.38,393.18,389.94,373.6755556,386.1955556,386.3655556,384.23,L5
2007-11-27 22:07:48+00:00,393.3818182,380.4918182,377.17,,,356.21,352.81,365.21,367.18,367.85,374.0618182,379.7318182,386.11,379.74,384.42,390.91,,,391.28,400.32,387.12,353.1066667,378.2366667,386.8466667,385.16,L7
2007-12-29 22:07:56+00:00,,385.4918182,379.91,377.41,388.19,378.37,380.84,382.38,386.35,381.64,391.6118182,394.8618182,,,391.51,397.96,399.6818182,392.77,397.68,397.28,390.69,391.34,395.1,396.15,396.59,L7
2008-03-18 22:07:44+00:00,,,358.03,349.97,349.73,343.22,351.99,343.55,350.72,348.44,353.2145455,366.8745455,372.7,,,373.35,375.8245455,377.03,376.49,383.76,375.65,362.38,374.28,383.98,385.4,L7
