dates,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0004,nzd0070-0005,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0010,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0018,nzd0070-0019,nzd0070-0020,nzd0070-0021,nzd0070-0022,nzd0070-0023,nzd0070-0024,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0028,nzd0070-0031,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036,satname
1999-08-26 22:04:44+00:00,416.14,433.7085714,394.92,405.71,384.6585714,385.88,401.45,385.33,365.4,395.27,,,,,,372.7,,351.24,391.07,386.29,366.48,383.21,375.9,381.78,367.93,368.95,370.47,359.66,375.72,385.9,388.77,368.52,385.5885714,L7
1999-10-04 22:10:38+00:00,,,,,,,,,,,,,,,,,,390.22,392.47,397.16,381.37,384.81,390.16,391.28,392.98,389.88,379.21,378.27,385.55,,,,,L7
2000-03-28 22:10:07+00:00,446.4766667,434.31,432.3266667,403.64,416.6,414.37,404.69,407.14,394.6,403.06,412.7,417.5511111,418.68,412.27,,398.08,,386.36,394.08,396.59,387,383.89,387.76,383.71,398.28,401.83,408.95,382.21,381.35,390.7366667,385.63,386.86,400.62,L7
2000-04-29 22:09:53+00:00,443.82,441.8285714,427.98,414.42,418.9285714,412.71,414.15,407.97,398.11,412.3,410.7485714,418.2633333,410.77,400.24,361.7085714,,353.2,,,399.2,391.34,395.99,392.18,385.86,405.75,387.25,388.34,375.75,371.38,394.39,,,399.2085714,L7
2000-05-24 22:03:46+00:00,443.5533333,449.3871429,445.6833333,444.7,429.6771429,406.78,406.1,402.3,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-05-31 22:09:54+00:00,433.29,432.82,409.26,396.65,386.71,396.64,,,,404.23,374.31,373.54,367.54,364.98,356.99,376.09,,,399.15,405.19,402.47,399.73,,387.6,381.61,371.81,377.83,358.75,376.91,375.2,380.6,,,L7
2000-06-16 22:09:50+00:00,458.7,458.8528571,,431.31,420.0328571,425.21,425.73,417,408.41,429.67,402.9728571,399.7566667,386.24,375.44,383.3628571,397.7,,,419.21,426.84,430.98,432.18,443.25,408.2,416.86,406.57,416.25,,412.28,399.92,,,,L7
2000-07-11 22:03:17+00:00,,,,,,,,,,,,,370,356.63,,355.5,332.7433333,370.84,400.29,393.21,382.69,388.07,,,,,,,,,,,,L7
2000-08-12 22:02:54+00:00,,,,,,,,,,,,,,,368.78,386.88,370.6333333,392.67,392.2,399.17,407.15,406.87,423.83,401.18,420.86,,,,,,,,,L7
2000-10-15 22:01:56+00:00,,,,413.74,400.1728571,401.18,401.79,412.62,385.9,404.98,390.7028571,383.1177778,378.35,372.54,383.0028571,391.88,374.4466667,394.11,395.78,394.23,386.64,386.05,397.56,396.64,389.93,389.46,391.25,,,,,,,L7
2000-11-23 22:08:18+00:00,435.03,423.2414286,407.61,398.32,381.1314286,371.07,380.77,383.59,356.37,370.99,364.6114286,365.2833333,366.76,367.86,361.6214286,361.53,351.63,369.14,362.1,380.19,377.41,374.58,374.82,377.91,374.26,368.6,370.46,365.25,377.29,375.83,367.79,364.61,380.2214286,L7
2001-03-08 22:02:09+00:00,423.46,429.7785714,425.3,416.22,395.5485714,397.16,401.78,409.61,,408.96,381.9385714,375.5466667,371.41,364.78,370.2385714,380.96,369.39,394.49,393.65,393.29,399.99,399.14,391.75,395,395.38,379.96,383.36,367.23,388.64,387.77,393.46,390.28,384.2385714,L7
2001-03-24 22:01:59+00:00,445.7,444.6,436.25,433.12,414.83,415.08,426.38,438.17,417.18,426.11,401.55,388.64,382.57,378.9,386.52,398.69,396.84,,,,,,,421.97,413.25,388.54,401.79,,,,,,,L7
2001-05-18 22:07:26+00:00,433.4233333,433.5785714,435.2033333,429.24,425.7285714,416.77,416.83,415.26,396.12,404.09,406.2385714,410.6788889,425.26,424.01,425.9585714,420.8,425.9833333,403.65,417.62,410.51,411.36,418.99,430.22,427.05,416.89,411.63,408.81,406.52,416.23,416.7333333,409.94,,388.6485714,L7
2001-06-03 22:07:40+00:00,430.3066667,425.9885714,422.6566667,418.55,405.0585714,404.15,396.77,402.24,399.04,404.54,397.4085714,386.6844444,386.17,386.4,396.4485714,391.2,406.0966667,418.21,407.73,415.58,411.33,414.87,416.04,413.79,411.38,398.31,393.76,391.08,391.56,396.2666667,,,385.0085714,L7
2001-06-28 22:01:09+00:00,,,,,,,371.82,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-08-06 22:06:37+00:00,437.1566667,439.3257143,421.6566667,419.99,405.4657143,396.71,394.38,403.39,407.49,403.15,381.7657143,382.8244444,378.53,375.66,389.7457143,396.34,393.1366667,411.22,408.04,414.61,408.38,402.12,415.52,402.55,398.27,395.51,395.48,402.16,396.19,387.1866667,,,385.2357143,L7
