dates,nzd0106-0016,nzd0106-0017,nzd0106-0018,nzd0106-0019,nzd0106-0020,nzd0106-0021,nzd0106-0022,nzd0106-0023,nzd0106-0024,nzd0106-0025,nzd0106-0026,nzd0106-0027,nzd0106-0028,nzd0106-0029,nzd0106-0030,nzd0106-0031,nzd0106-0032,nzd0106-0033,nzd0106-0034,nzd0106-0035,nzd0106-0036,nzd0106-0037,nzd0106-0038,nzd0106-0039,nzd0106-0040,nzd0106-0041,nzd0106-0042,nzd0106-0043,nzd0106-0044,nzd0106-0045,nzd0106-0046,nzd0106-0047,nzd0106-0048,nzd0106-0049,nzd0106-0050,nzd0106-0051,nzd0106-0052,nzd0106-0053,nzd0106-0054,nzd0106-0055,nzd0106-0056,nzd0106-0057,nzd0106-0058,nzd0106-0059,nzd0106-0060,nzd0106-0061,nzd0106-0062,nzd0106-0063,nzd0106-0064,nzd0106-0065,nzd0106-0066,nzd0106-0067,nzd0106-0068,nzd0106-0069,nzd0106-0070,nzd0106-0071,nzd0106-0072,nzd0106-0073,nzd0106-0074,nzd0106-0075,nzd0106-0076,nzd0106-0077,nzd0106-0078,nzd0106-0079,nzd0106-0080,nzd0106-0081,nzd0106-0082,nzd0106-0083,nzd0106-0084,nzd0106-0085,nzd0106-0086,nzd0106-0087,nzd0106-0088,nzd0106-0089,nzd0106-0090,nzd0106-0091,nzd0106-0092,nzd0106-0093,nzd0106-0094,nzd0106-0095,nzd0106-0096,nzd0106-0097,nzd0106-0098,nzd0106-0099,nzd0106-0100,nzd0106-0101,nzd0106-0102,nzd0106-0103,nzd0106-0104,nzd0106-0105,nzd0106-0106,nzd0106-0107,nzd0106-0108,nzd0106-0109,nzd0106-0110,nzd0106-0111,nzd0106-0112,nzd0106-0113,nzd0106-0114,nzd0106-0115,satname
1999-08-26 22:04:44+00:00,369.42,369.4877778,368.7647059,365.92,362.2,363.6281818,360.7177778,365.3277778,369.2077778,361.4077778,369.2177778,368.2377778,372.62,370.91,374.2433333,378.6481818,379.34,378.3981818,378.896087,380.8633333,382.9561538,379.126087,381.21,377.166087,376.3561538,370.11,375.5881818,381.0033333,391.6081818,396.7977778,393.7042857,388.9481818,388.4581818,390.82,387.3033333,384.5981818,377.2277778,381.75,382.44,376.2233333,377.3377778,380.1033333,372.6033333,374.746087,370.0281818,362.9361538,362.4233333,365.8781818,364.1781818,374.4377778,382.21,382.2133333,374.9461538,377.6477778,386.9277778,393.2781818,390.4471429,392.5781818,391.42,387.85,382.68,382.72,371.0977778,368.61,373.32,378.49,377.18,381.8,380.2377778,386.6477778,390.6677778,384.3281818,382.38,381.1377778,381.81,375.96,378.65,384.72,391.3781818,390.6733333,387.4381818,386.5,383.94,384.61,384.65,384.3381818,388.6533333,393.0633333,395.3481818,397.5777778,397.86,398.05,399.46,397.5233333,391.5481818,385.5377778,385.4077778,392.7377778,394.7781818,391.7633333,L7
1999-09-27 22:04:48+00:00,378.42,372.6655556,372.8135294,378.21,381.49,368.3663636,374.5655556,372.5555556,371.5655556,370.6255556,368.8455556,370.1055556,366.33,367.78,363.9666667,382.0663636,381.71,377.9863636,377.7895652,382.1866667,375.0130769,377.1795652,375.59,367.9995652,372.5830769,376.28,372.3663636,381.2266667,382.9263636,392.7555556,394.6542857,385.0863636,386.5863636,389.25,381.1966667,376.1163636,385.1055556,376.97,379.3,370.1666667,382.7455556,373.5766667,369.1166667,367.1495652,364.6263636,360.3830769,362.8266667,363.9863636,368.2563636,372.9755556,380.36,374.6066667,379.8530769,389.1555556,392.3355556,387.3863636,386.6471429,389.7963636,386.52,391.2,390.95,378.98,378.3155556,373.24,370.92,378.1,381.29,378.85,380.2455556,387.3355556,388.8755556,386.9963636,384.8,374.9455556,380.67,378.34,372.78,379.13,385.3563636,381.9466667,388.1763636,388.83,389.93,391.35,386.83,386.7063636,384.8666667,386.6966667,389.5363636,392.2655556,394.14,392,390.27,395.3466667,396.2963636,401.4155556,398.4055556,405.5855556,407.0663636,401.0466667,L7
1999-11-14 22:04:42+00:00,358.06,367.3577778,368.1129412,371.65,368.12,364.97,364.9377778,362.3777778,361.8277778,362.1377778,368.6577778,367.6077778,370.67,367.4,369.3933333,372.5,369.88,373.97,370.3221739,379.3633333,374.9692308,369.7221739,370.86,369.2621739,366.1092308,370.42,374.52,375.8433333,377.53,383.2877778,385.7614286,380.17,379.18,381.88,376.7633333,379.98,375.5577778,370.69,372.96,364.9633333,371.6977778,360.4433333,365.9433333,361.1721739,364.95,361.9092308,358.0033333,369.13,365.08,370.9377778,371.72,380.0433333,372.1492308,374.4177778,378.5177778,384.53,384.6157143,387.34,382.84,384.28,382.66,378.8,365.2477778,365.44,369.77,369.89,373.39,374.3,373.8877778,378.9677778,383.5277778,379.04,374.26,372.2877778,369.08,367.48,369.76,374.78,382.93,378.7433333,376.71,378.18,375.28,376.34,375.53,376.91,378.1833333,380.0733333,381.18,384.3977778,385.5,382.46,378.89,381.9033333,383.56,378.1077778,375.4677778,385.4677778,386.92,383.4033333,L7
2000-02-18 22:04:29+00:00,365.26,364.3933333,364.9741176,363.67,361.74,360.6645455,357.1233333,358.7033333,367.0133333,361.4433333,371.0433333,370.4933333,371.88,370.82,368.62,369.5145455,369.83,369.2545455,375.0182609,372.97,373.9684615,374.1682609,372.14,375.5982609,374.3684615,372.95,378.2445455,376.29,378.7945455,379.3733333,376.9828571,378.8945455,379.7645455,378.88,373.4,380.1745455,372.2033333,376.68,372.01,373.14,368.1633333,365.62,363.15,356.8982609,363.4245455,360.7484615,359.71,364.4645455,364.1045455,372.9733333,375.86,381.74,380.7984615,378.8733333,382.2033333,383.3445455,385.7714286,382.3845455,384.62,383.23,377.37,378.87,370.4533333,368.11,370.95,374.39,375.68,373.69,376.7233333,382.2533333,380.1033333,376.5745455,376.38,376.4633333,370.04,372.4,373.19,380.77,386.6245455,382.41,378.6045455,375.63,372.85,372.97,375.06,375.8145455,380.46,384.9,387.4845455,384.9533333,384.19,382.84,385.66,386.75,383.4245455,380.9033333,380.9233333,383.3233333,385.1845455,382.5,L7
2000-05-24 22:03:46+00:00,,,,,,,,,368.6155556,362.9855556,370.0755556,370.2855556,369.38,368.39,371.2066667,372.9054545,372.28,373.8654545,381.4178261,378.9366667,377.2961538,374.1378261,381.47,378.9278261,374.9561538,370.3,376.6954545,376.1366667,378.1454545,381.1955556,380.8628571,384.6654545,381.1954545,388.22,378.4566667,381.4354545,377.3455556,,,368.3566667,370.5655556,367.7366667,365.3766667,367.8578261,368.5254545,363.1761538,360.0966667,367.1354545,368.5254545,376.1555556,374.57,382.9266667,381.4061538,382.4055556,386.1155556,385.9354545,388.5014286,387.0154545,384.48,387.75,381.96,380.76,371.3255556,370.19,375.07,376.73,376.96,378.42,380.6155556,384.8955556,383.8555556,380.3554545,379.61,377.6455556,379.14,372.99,375.67,381.91,386.1354545,385.0166667,378.2854545,379.37,382.34,386.76,384.35,380.0654545,383.7366667,385.4666667,385.0654545,389.4155556,388.24,385.78,390.67,387.3966667,385.8654545,381.6955556,380.8455556,386.3555556,386.9254545,385.2266667,L7
2001-01-03 22:02:12+00:00,353.74,357.22,361.1247059,347.28,347.48,353.4072727,351.7,349.01,348.46,356.39,354.54,354.85,361.02,364.72,365.77,362.7772727,359.88,364.6772727,369.1895652,368.81,368.2607692,360.5695652,357.92,352.8495652,361.5507692,360.29,367.5772727,367.39,367.5672727,373.05,366.7671429,373.1172727,372.8772727,374.91,366.55,364.8672727,371.82,367.65,363.04,364.22,362.45,368.38,358.68,351.3995652,357.3372727,355.4207692,353.41,354.8872727,354.1372727,361.05,362.43,367.97,375.5207692,369.86,364.88,370.4372727,372.4785714,379.2372727,377.9,373.08,369.18,365.81,358.25,361.33,365.2,364.44,366.02,365.46,360.28,362.43,373.96,370.6572727,372.28,360.72,356.37,357.43,364.65,373,379.8772727,377.02,377.3672727,367.59,370.45,372.27,373.06,374.0472727,371.77,378.09,376.8172727,371.53,372.65,374.26,381.89,380.66,375.8472727,367.58,368.6,378.51,379.3172727,376.03,L7
2001-03-24 22:01:59+00:00,348.77,355.1688889,353.7641176,354.82,345.12,349.8163636,347.0588889,351.3788889,347.3388889,350.2488889,357.4488889,352.4888889,352.44,352.83,362.3866667,358.5563636,363.11,360.0963636,358.5913043,363.9966667,354.3392308,357.9313043,360.07,359.1413043,357.6192308,362.36,361.1163636,362.5566667,368.1363636,369.2888889,370.4571429,362.8563636,367.8863636,368.33,365.1066667,365.1563636,369.9088889,361.38,361.27,361.4866667,364.7588889,354.3966667,355.8266667,353.2513043,345.1263636,351.5492308,351.7266667,355.1663636,358.2263636,358.3488889,368.61,374.6166667,368.4292308,373.6188889,373.4988889,371.2563636,375.6985714,375.1463636,374.06,378.61,379.33,370.81,363.6988889,364.23,367.92,369.41,361.21,368.5,371.8788889,369.4188889,371.7388889,373.1263636,365.19,367.2688889,366.29,367.62,369.96,371.37,378.2063636,380.9666667,380.4463636,378.21,376.76,374.89,373.58,373.9163636,374.9766667,377.3566667,377.8863636,379.9388889,381.47,375.01,376.01,373.2366667,370.4563636,369.7488889,363.3188889,376.0788889,370.7363636,372.4066667,L7
2001-08-15 22:00:38+00:00,341.65,344.9833333,346.9176471,341.64,341.11,341.1209091,336.0333333,333.8233333,334.5433333,334.7933333,339.4333333,351.6033333,,,,,,,,,,,,353.636087,355.8723077,351.69,361.6909091,358.73,358.2509091,358.1333333,356.1885714,366.2709091,364.8009091,359.49,365.88,371.1209091,358.2633333,357.06,353.68,347.2,345.9033333,349.78,349.58,343.536087,336.7009091,346.6623077,339.34,347.1109091,344.0509091,350.0033333,,,,,,,,,,,,361.81,368.2133333,356.78,359.31,366.88,365.57,367.73,366.9733333,359.7233333,366.6433333,380.6909091,369.89,363.6533333,362.12,366.34,357.56,365.69,376.7309091,367.39,371.8709091,368.11,354.23,370.62,371.3,368.8909091,372.55,376.91,376.1709091,377.8133333,378.18,374.26,373.44,375.61,365.1509091,358.6133333,356.9033333,372.7033333,388.9809091,367,L7
2002-01-22 22:00:40+00:00,365.23,371.2855556,369.0241176,365.62,361.19,361.3936364,360.0355556,359.4955556,357.9155556,364.3355556,365.9555556,369.2255556,372.21,370.6,372.7766667,384.9836364,387.91,387.1136364,385.2817391,382.2666667,372.7730769,381.0217391,376.6,377.9517391,373.1430769,375.44,377.0936364,379.0466667,381.8236364,380.1655556,380.0457143,383.1836364,385.8136364,382.58,384.9066667,384.0036364,382.3355556,381.81,382.11,380.0566667,378.5255556,374.3066667,372.5366667,377.6717391,374.0436364,370.8930769,364.8466667,364.5636364,368.3436364,372.2755556,380.07,378.2666667,372.4430769,374.4355556,376.0755556,375.3336364,382.4728571,388.0036364,389.28,392.62,394.96,385.59,378.1555556,372.03,371.72,376.08,377.02,374.51,372.7155556,379.8755556,386.9955556,386.3536364,382.61,377.9555556,373.18,371.01,374.72,380.33,388.2236364,386.6666667,384.3736364,374.62,373.98,374.65,369.44,372.2736364,376.1466667,377.0866667,379.8536364,378.9955556,382.67,390.03,391.96,389.4366667,385.1836364,381.8455556,376.5955556,379.3655556,386.6336364,380.4166667,L7
2002-03-27 22:00:37+00:00,344.36,342.4122222,346.72,349.3,346.3,347.6390909,346.0822222,342.2722222,345.8522222,342.5522222,338.6722222,342.0222222,347.73,347.6,355.0566667,356.9490909,356.42,353.2290909,355.1034783,355.4766667,,,,,,,,,,,,,,,,,,,,,,,352.9066667,347.6134783,350.0590909,345.7646154,342.3566667,347.6090909,352.0690909,357.2222222,360.15,365.5566667,363.5046154,363.3622222,362.2022222,362.1490909,365.8314286,364.6990909,363.07,367.88,368.68,360.88,352.5022222,352.44,352.4,352.84,352.2,358.63,357.8122222,365.1622222,368.1622222,370.6190909,365,345.3222222,,,355.05,356.41,363.5290909,361.8966667,359.4390909,365.71,363.44,364.77,361.27,360.4190909,364.9666667,365.2566667,367.2790909,368.5622222,368.53,370.87,368.44,364.6066667,364.1090909,363.5322222,360.2522222,369.6822222,373.7990909,367.1166667,L7
