dates,nzd0119-0000,nzd0119-0001,nzd0119-0002,nzd0119-0003,nzd0119-0004,nzd0119-0005,nzd0119-0006,nzd0119-0007,nzd0119-0008,nzd0119-0009,nzd0119-0010,nzd0119-0011,nzd0119-0012,nzd0119-0013,nzd0119-0014,nzd0119-0015,nzd0119-0016,nzd0119-0017,nzd0119-0018,nzd0119-0019,nzd0119-0020,nzd0119-0021,nzd0119-0022,nzd0119-0023,nzd0119-0024,nzd0119-0025,nzd0119-0026,nzd0119-0027,nzd0119-0028,nzd0119-0029,nzd0119-0030,nzd0119-0031,nzd0119-0032,nzd0119-0033,nzd0119-0034,nzd0119-0035,nzd0119-0036,nzd0119-0037,nzd0119-0038,nzd0119-0039,nzd0119-0040,nzd0119-0041,nzd0119-0042,nzd0119-0043,nzd0119-0044,nzd0119-0045,nzd0119-0046,nzd0119-0047,nzd0119-0048,nzd0119-0049,nzd0119-0050,nzd0119-0051,nzd0119-0052,nzd0119-0053,nzd0119-0054,nzd0119-0055,nzd0119-0056,nzd0119-0063,nzd0119-0064,nzd0119-0065,nzd0119-0066,nzd0119-0067,nzd0119-0068,nzd0119-0069,nzd0119-0070,nzd0119-0071,nzd0119-0072,nzd0119-0073,nzd0119-0074,nzd0119-0075,nzd0119-0076,nzd0119-0077,nzd0119-0078,nzd0119-0079,nzd0119-0080,nzd0119-0081,nzd0119-0082,nzd0119-0083,nzd0119-0084,nzd0119-0085,nzd0119-0086,nzd0119-0087,nzd0119-0088,nzd0119-0089,nzd0119-0090,nzd0119-0091,nzd0119-0092,nzd0119-0093,nzd0119-0094,nzd0119-0095,nzd0119-0096,nzd0119-0097,nzd0119-0098,nzd0119-0099,nzd0119-0100,nzd0119-0101,nzd0119-0102,nzd0119-0103,nzd0119-0104,nzd0119-0105,nzd0119-0106,nzd0119-0107,nzd0119-0108,nzd0119-0109,nzd0119-0110,nzd0119-0111,nzd0119-0112,nzd0119-0113,nzd0119-0114,nzd0119-0115,nzd0119-0116,nzd0119-0117,nzd0119-0118,nzd0119-0119,nzd0119-0120,nzd0119-0121,nzd0119-0122,nzd0119-0123,nzd0119-0124,nzd0119-0125,nzd0119-0126,nzd0119-0127,nzd0119-0128,nzd0119-0129,nzd0119-0130,nzd0119-0153,nzd0119-0154,nzd0119-0155,nzd0119-0156,nzd0119-0157,nzd0119-0158,nzd0119-0159,nzd0119-0160,nzd0119-0161,nzd0119-0162,nzd0119-0163,nzd0119-0164,nzd0119-0165,nzd0119-0166,nzd0119-0167,nzd0119-0168,nzd0119-0169,nzd0119-0170,nzd0119-0171,nzd0119-0172,satname
1999-08-26 22:04:44+00:00,334.23,325.1,336.74,337.9555556,349.3263636,359.7263636,360.74,358.0663636,364.8163636,368.7363636,368.2363636,368.7,368.2663636,368.71,368.42,370.9663636,372.89,365.4223077,357.7666667,357.1166667,352.3363636,349.5366667,347.5863636,346.0163636,351.2563636,350.8663636,352.9063636,347.8463636,349.2666667,359.4866667,364.5963636,373.9266667,370.7966667,368.1023077,363.5642857,358.4066667,352.4966667,,359.9723077,351.7223077,354.6923077,357.9363636,359.43,360.0563636,363.3863636,361.5463636,361.3963636,366.8063636,364.3463636,356.0566667,359.2263636,357.2163636,344.0663636,346.05,354.45,355.02,355.24,366.5255556,357.56,365.81,366.59,372.03,372.05,365.6563636,355.1363636,357.1866667,358.2163636,354,355.6363636,361.28,361.3855556,366.51,358.2,345.4763636,346.9863636,348.6663636,346.8266667,348.58,349.1563636,352.9263636,356.9963636,354.95,357.9163636,360.8863636,363.2563636,360.4063636,365.5663636,368.6763636,374.6266667,377.5963636,370.8566667,366.1166667,356.4963636,364.8363636,366.2263636,361.8566667,365.3363636,363.28,359.25,367.61,367.67,368.9163636,372.9763636,373.6763636,367.4463636,358.0363636,355.89,356.9363636,358.1363636,362.0463636,358.9363636,360.8163636,361.8166667,356.5123077,354.5766667,349.3523077,350.0523077,357.9566667,354.1266667,345.3363636,346.67,355.96,360.5063636,373.0363636,373.4863636,374.6463636,372.74,373.9366667,376.5763636,380.4463636,381.7363636,394.0055556,391.84,394.5455556,392.9285714,389.8555556,391.13,387.29,386.37,388.4755556,390.2285714,385.68,388.5655556,388.1163636,373.08,L7
1999-09-27 22:04:48+00:00,,,320.78,330.57,340.37,351.41,357.52,353.6,,,,,,363.65,360.79,363.55,369.9,360.5007692,357.58,353.14,349.7,350.88,357.91,360.5,356.44,362.26,367.23,357.21,350.21,354.35,363.64,373.41,376.44,368.1107692,361.8028571,355.38,,,,355.3507692,356.9207692,355.91,365.15,367.67,,,,,,,,,,,,,,371.28,368.98,367.55,368.87,372.25,370.24,375.26,375.8,370.95,371.83,371.37,368.7,365.85,368.14,357.37,360.98,359.4,358.62,361,359.6,357.81,357.41,359.21,360.87,364.59,363.95,364.71,365.87,370.24,376.95,373.71,376.23,375.62,381.12,382.57,378.27,370.84,373.18,371.02,368.49,372.77,372.23,369.2,376.68,378.84,375.69,374.16,375.74,370.43,370.98,370.67,367.32,368.38,370,361.06,361.41,360.9207692,362.24,360.0307692,354.0807692,354.05,359.33,364.88,366.95,367.7,368.48,374.34,377.06,380.72,379.84,380.13,381.61,383.3,386.58,395.25,399.93,396.35,396.4657143,390.94,376.68,380.74,372.75,364.66,383.5557143,385.85,385.26,385.72,377.08,L7
1999-11-14 22:04:42+00:00,326.59,314.04,320.96,314.0444444,323.7054545,329.8554545,339.44,343.2754545,346.9154545,347.9854545,353.8054545,351.07,352.8254545,347.97,357.39,354.0054545,349.52,353.5507692,352.8633333,345.5333333,343.5554545,341.7733333,343.4754545,337.2354545,333.5954545,335.4654545,343.0354545,344.5654545,354.1533333,363.6833333,371.4154545,377.3533333,376.3933333,362.1007692,346.5642857,334.5833333,339.9933333,345.2733333,342.6707692,348.5307692,347.7807692,361.7254545,361.02,359.9354545,355.9954545,359.3454545,356.5854545,348.7754545,343.7554545,346.3633333,345.0754545,350.3654545,358.8754545,364.69,356.29,353.98,360.81,358.3544444,373.51,371.19,366.11,348.36,346.98,350.1954545,354.0554545,355.6233333,365.6054545,359.36,357.9354545,349.68,348.6944444,346.63,339.4,337.2654545,337.7754545,344.9154545,346.1233333,342.62,344.8254545,345.5954545,342.6054545,348.11,350.6254545,352.5454545,358.4354545,357.1554545,356.0354545,360.7054545,364.9733333,358.5854545,359.0533333,359.7033333,354.7954545,363.0554545,366.4354545,363.3733333,364.1554545,357.02,357.09,362.47,364.96,352.7554545,353.2554545,363.6354545,360.6854545,350.8354545,358.68,351.5054545,348.8854545,360.9754545,358.4554545,348.4654545,344.3133333,349.1407692,345.7433333,352.6507692,352.4107692,347.8133333,344.3233333,339.2054545,347.1,363.84,356.8754545,362.3754545,360.5654545,364.5454545,368.21,358.3433333,363.0054545,369.2554545,363.1954545,360.9144444,369.58,371.6744444,378.3785714,371.3944444,368.19,370.07,367.76,362.7344444,368.6385714,375.39,377.2144444,380.3254545,367.87,L7
2000-03-30 21:58:09+00:00,,,,,,,,357.3218182,357.0218182,357.9118182,362.3318182,358.35,361.9118182,363.4,360.67,357.9918182,357.09,367.1623077,365.46,358.06,,,,,,,,,,,,,,,,,,,,,,,,362.1418182,359.2918182,368.0718182,,,334.8418182,,357.0118182,355.4718182,356.1018182,356.61,355.96,355.35,355.49,362.11,362,368.64,368.77,363.92,363.7,367.3518182,360.8018182,362.02,351.7418182,349.21,353.6818182,356.3,354.16,352.08,349.41,345.7218182,348.0218182,347.3518182,349.86,346.28,343.6118182,352.1218182,353.7518182,354.44,360.8718182,361.9418182,360.5018182,366.7818182,365.4518182,365.6518182,367.15,366.9818182,371.14,370.41,364.0818182,360.8418182,362.8918182,364.73,365.2718182,360.53,361.43,366.74,370.25,368.2618182,360.9118182,358.9218182,360.6118182,363.7318182,359.99,359.3018182,359.5018182,358.7418182,362.6118182,355.0518182,,,,,,,,,,,,,,367.4718182,360.75,363.89,356.3318182,368.3818182,378.6818182,377.81,374.05,377.4,372.3014286,376.92,372.65,372.69,371.4,371.53,373.2014286,382.01,388.28,382.1118182,371.13,L7
2000-05-24 22:03:46+00:00,320.79,326.42,337.93,340.13,341.5890909,338.4990909,,359.0090909,359.5690909,362.8990909,,361.66,363.2290909,364.63,363.42,361.3390909,360.8,360.7438462,360.63,356.99,350.4890909,347.42,,,349.2090909,350.3990909,351.2190909,352.7090909,356.97,363.47,370.1190909,373.74,372.05,,,355.02,355.65,355.23,356.6138462,355.7438462,356.7138462,356.7890909,366.48,367.7490909,,362.8090909,365.9290909,,365.0590909,360.51,357.6390909,352.7090909,360.6390909,368.81,,,360.33,368.45,369.47,371.02,370.29,369.61,366.62,365.9090909,360.3790909,365.08,364.6790909,363.96,358.4390909,360.88,356.62,351.54,349.07,346.9990909,347.4090909,353.4090909,349.16,352.69,355.9990909,355.9490909,355.7790909,358.87,360.7590909,363.1190909,369.3090909,373.8590909,367.7190909,370.6290909,370.72,367.1890909,368.2,365.48,362.9790909,362.5190909,370.8890909,362.88,362.5990909,370.99,368.88,364.85,367.84,366.0690909,365.3090909,366.9990909,364.4690909,365.0690909,367.54,363.1690909,360.9990909,361.8090909,360.7890909,355.7390909,353.89,352.3038462,350.75,350.8138462,348.8338462,349.82,352.35,,352.69,359.89,366.5590909,367.1390909,365.7190909,364.7690909,368.14,369.81,371.2090909,370.2990909,369.4390909,377.69,383.3,381.93,379.0042857,375.46,368.99,378.67,377.56,376.4,384.7142857,380.39,387.56,386.6990909,371.65,L7
2000-07-11 22:03:17+00:00,,,,,,,,319.0372727,321.8872727,324.2072727,,,,,,,,,,314.98,,,,,,,,,,,331.3372727,335.76,333.54,,,313.34,,,308.8469231,,,,325.7,328.7772727,,,,,328.2572727,331.3,319.9972727,,,,,,315.08,319.7833333,328.29,,,,331.69,,,331.94,332.9772727,,326.9872727,326.88,317.6633333,315.71,313.61,311.0772727,309.6472727,314.0972727,318.44,312.58,320.0372727,320.5272727,314.2172727,319.66,328.0072727,330.2372727,330.7672727,324.7872727,328.5772727,330.3072727,338.41,339.9672727,335.47,335.2,330.1972727,327.7972727,323.6472727,329.13,327.2072727,330.24,333.07,332.43,333.18,333.2672727,323.1972727,331.8372727,342.7672727,336.3372727,,,,,322.7472727,319.2272727,320.71,319.1269231,315.81,317.9469231,,308.79,310.04,,,326.95,330.5872727,330.1372727,325.4672727,330.2672727,332.03,332.45,326.3372727,329.4472727,333.0972727,337.4633333,328.54,330.4733333,327.05,326.7433333,324.37,322.33,320.26,322.5733333,330.77,349.61,,362.6272727,348.58,L7
2000-07-20 21:56:59+00:00,317.7,311.59,,,,,,333.0736364,340.0736364,339.0436364,,,,333.94,336.45,332.4436364,,,334.0733333,329.4933333,324.3236364,321.4833333,,,325.8636364,,,,,,337.7736364,339.6733333,340.7033333,,,327.9033333,323.7833333,324.6933333,329.0815385,,,340.4536364,341.21,343.5836364,,340.8036364,,,338.3236364,332.8633333,333.0736364,,,,,,327.56,337.8411111,336.43,341.05,344.07,345.63,345.86,343.0936364,339.0436364,346.3833333,344.7936364,340.32,339.5736364,333.95,336.4911111,327.07,325.12,321.6336364,316.3536364,323.1236364,325.1933333,328.37,323.0136364,328.5736364,328.8236364,333.94,338.8936364,340.9836364,342.5936364,337.5436364,339.4136364,346.7636364,352.1233333,349.4536364,347.1833333,340.3033333,337.1136364,339.0936364,337.8636364,340.8133333,338.3036364,342.13,341.15,348.36,347.83,339.4736364,335.9736364,343.0236364,348.0836364,349.2136364,345.43,345.0836364,342.3336364,338.8336364,337.5736364,329.2536364,328.8133333,325.7015385,330.4833333,326.6715385,,317.4233333,327.5633333,,332.92,335.78,327.0336364,338.3536364,347.3436364,348.2136364,346.28,342.3333333,338.6336364,344.3936364,348.2436364,351.4911111,341.06,352.4111111,336.6785714,338.1211111,342,333.12,342.42,345.2411111,344.9885714,365.1,369.9711111,371.3836364,359.46,L7
2001-01-03 22:02:12+00:00,336.02,321.58,335.01,339.8422222,325.7290909,339.9490909,353.52,342.9390909,340.1490909,349.1690909,354.5790909,348.31,349.3290909,344.58,343.35,345.4890909,348.61,348.1346154,343.6266667,335.8666667,342.6990909,332.6966667,336.2090909,338.7690909,335.7790909,331.5690909,331.5090909,335.1490909,342.5066667,348.5366667,348.8990909,358.0466667,351.6466667,350.3246154,340.4014286,338.1666667,337.3366667,349.9066667,349.5446154,345.4346154,346.7746154,354.7690909,353.47,345.9690909,361.0590909,361.1990909,356.2490909,343.0890909,343.2690909,348.2166667,346.4390909,343.0490909,341.1290909,350.64,349.44,350.43,337.18,365.4522222,366.72,357.73,360.5,356.61,350.36,348.8690909,353.3990909,348.8366667,350.3290909,355.05,346.4690909,343.64,352.4022222,345.86,336.1,345.1890909,341.0790909,330.8990909,343.2366667,340.8,345.3690909,346.5790909,343.8790909,344.57,346.6090909,356.6090909,358.4490909,356.3490909,358.8690909,357.7290909,362.9966667,360.6290909,360.5766667,358.7666667,358.8690909,351.7390909,344.8990909,348.3766667,355.5690909,346.41,347.15,353.01,359.85,358.7090909,354.6390909,347.7290909,349.8490909,362.6890909,354.47,357.3890909,355.0590909,351.2490909,356.0590909,347.3590909,334.5066667,334.4946154,333.7666667,331.3346154,333.4646154,337.7466667,329.3066667,325.4790909,332.21,344.29,353.5290909,358.0090909,356.2690909,352.4790909,360.17,362.1166667,356.9490909,359.4990909,366.3790909,362.3522222,363.68,367.6322222,367.0328571,366.6522222,366.58,369.45,367.38,361.5722222,363.4128571,368.76,372.1922222,376.7090909,364.94,L7
2001-01-28 21:56:08+00:00,345.24,339.4,349.81,342.4522222,341.0854545,344.4754545,348.08,347.4054545,349.1654545,353.6054545,359.5054545,352.5,354.9054545,357.4,358.36,359.9154545,355.79,355.41,349.8966667,351.2566667,348.8954545,342.5566667,344.7654545,347.0354545,341.7054545,342.6154545,343.1154545,344.2854545,339.6266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381.65,376.79,377.89,372.4454545,374.1654545,367.4966667,367.5354545,369.08,352.6754545,346.53,358.7622222,355.21,353.05,354.2454545,350.2754545,352.5054545,355.9166667,355.86,360.4054545,369.4654545,363.0354545,363.28,360.8054545,357.9154545,351.3954545,361.0454545,369.9154545,364.5254545,360.9666667,367.6554545,370.2466667,366.4066667,371.6454545,364.1954545,358.7354545,356.5066667,367.1054545,365.78,368.96,373.12,377.24,373.5954545,367.5954545,370.6454545,368.8854545,372.7454545,372.5,364.8354545,364.4054545,356.7154545,358.5254545,358.1554545,351.9666667,347.35,351.3366667,347.2,,,,,,,,,,365.5054545,367.3,365.5866667,362.5554545,364.3154545,366.9054545,369.4822222,374.99,376.8322222,380.56,374.6822222,370.36,376.45,372.56,361.6322222,372.37,379.41,386.1122222,384.4954545,371.88,L7
2001-03-01 21:55:57+00:00,334.94,328.28,336.33,339.5111111,337.2309091,338.8409091,353.67,350.7209091,351.8209091,353.8809091,356.3709091,355.31,353.4209091,354.23,355.54,354.1909091,351.05,347.2623077,348.3733333,348.2733333,345.1709091,341.5333333,345.0409091,342.9409091,340.1309091,340.0709091,338.7709091,340.6609091,345.4833333,354.7133333,359.0709091,364.6433333,360.9533333,355.4423077,346.8028571,347.1133333,344.8533333,345.4033333,349.9423077,355.1823077,355.1923077,359.1809091,359.53,362.6109091,363.4509091,358.4909091,358.6709091,355.9509091,353.7309091,351.2133333,350.2309091,350.0309091,349.4009091,353.64,352.93,355.92,352.22,367.8811111,366.72,365.81,359.37,360.86,358.98,354.5209091,357.2409091,354.7033333,355.4009091,357.05,353.4609091,350.82,349.8611111,344.93,348.43,341.7909091,339.3309091,346.6509091,347.3833333,345.84,349.3309091,348.7609091,351.7309091,356.3,354.7809091,361.5309091,366.1909091,362.1809091,364.9909091,364.7809091,362.4433333,365.8209091,361.6533333,357.9733333,363.0509091,351.6109091,356.7109091,359.1333333,354.0709091,355.44,356.6,359.26,362.08,360.8709091,356.5009091,360.1209091,361.6709091,361.9809091,361.31,357.8809091,359.0009091,355.5509091,352.9209091,350.5909091,342.2333333,338.4023077,336.8933333,335.4423077,335.4223077,333.8633333,331.4733333,337.6909091,342.07,349.26,356.5709091,360.8109091,358.8609091,359.2509091,362.43,359.9433333,359.7709091,366.0109091,366.1909091,366.5611111,371.34,368.6111111,374.9257143,366.2811111,367.5,365.47,361.27,357.9511111,356.1957143,373.78,376.0511111,378.9709091,371.08,L7
