dates,nzd0121-0091,nzd0121-0092,nzd0121-0093,nzd0121-0094,nzd0121-0095,nzd0121-0096,nzd0121-0097,nzd0121-0098,nzd0121-0099,nzd0121-0100,nzd0121-0101,nzd0121-0102,nzd0121-0103,nzd0121-0104,nzd0121-0105,nzd0121-0106,nzd0121-0107,nzd0121-0108,nzd0121-0109,nzd0121-0110,nzd0121-0111,nzd0121-0112,nzd0121-0113,nzd0121-0114,nzd0121-0115,nzd0121-0116,nzd0121-0117,nzd0121-0118,nzd0121-0119,nzd0121-0120,nzd0121-0121,nzd0121-0122,nzd0121-0123,nzd0121-0124,nzd0121-0125,nzd0121-0126,nzd0121-0127,nzd0121-0128,nzd0121-0129,nzd0121-0130,nzd0121-0131,nzd0121-0132,nzd0121-0133,nzd0121-0134,nzd0121-0135,nzd0121-0136,nzd0121-0137,nzd0121-0138,nzd0121-0139,nzd0121-0140,nzd0121-0141,nzd0121-0142,nzd0121-0143,nzd0121-0144,nzd0121-0145,nzd0121-0146,nzd0121-0147,nzd0121-0148,nzd0121-0149,nzd0121-0150,nzd0121-0151,nzd0121-0152,nzd0121-0153,nzd0121-0154,nzd0121-0155,nzd0121-0156,nzd0121-0157,nzd0121-0158,nzd0121-0159,nzd0121-0160,nzd0121-0161,nzd0121-0162,nzd0121-0163,nzd0121-0164,nzd0121-0165,nzd0121-0166,nzd0121-0167,nzd0121-0168,nzd0121-0169,nzd0121-0170,nzd0121-0171,nzd0121-0172,nzd0121-0173,nzd0121-0174,nzd0121-0175,nzd0121-0176,nzd0121-0177,nzd0121-0178,nzd0121-0179,satname
1999-08-26 22:04:44+00:00,374.5028571,364.2828571,363.41,370.13,368.1,359.87,343.71,332.96,326.0928571,344.6928571,316.3628571,295.41,,,,,,,,,,,,236.3533333,229.0228571,236.1428571,246.36,237.69,240.75,234.72,216.95,203.12,,,,,,,,,,,,,,,,,,,189.7,184.61,184.2333333,185.9833333,178.1733333,178.3333333,,,,,,196.2133333,198.74,201.6733333,209.5533333,215.7233333,221.8,,,,,,,,,,,,,,,233.6633333,,,,246.8636364,244.59,238.5333333,256.9633333,L7
1999-09-27 22:04:48+00:00,366.4328571,364.6528571,367.68,361.07,364.49,359.54,330.44,331.65,325.3628571,330.3128571,308.0528571,294.97,,292.47,311.3828571,290.1628571,282.48,279.33,270.2928571,274.3528571,267.7,,,252.5333333,241.9828571,239.7928571,256.25,238.06,229.97,233.71,235.37,218.31,227.52,213.3828571,,,,,,193.58,,185.37,194.34,191.1133333,198.03,190.6528571,,174.6633333,178.09,186.1,184,192.94,195.8933333,189.5433333,185.1033333,188.3733333,195.0933333,192.1833333,191.09,190.5733333,196.2833333,191.7833333,184.44,194.7133333,197.6533333,199.3533333,202.78,212.26,210.59,217.1633333,219.3133333,220.7233333,223.1533333,220.1033333,218.5033333,223.8433333,232.0333333,232.91,242.6633333,238.3633333,233.4133333,241.3833333,239.89,241.5936364,249.65,249.7136364,255.3,258.8833333,258.1733333,L7
1999-11-14 22:04:42+00:00,403.8285714,,415.2566667,400.86,378.78,367.8566667,354.62,359.8866667,350.4385714,348.2385714,349.5285714,,332.9366667,318.7466667,307.6885714,308.2985714,311.0966667,309.9566667,296.1885714,292.5185714,292.8866667,291.8885714,295.75,291.7777778,,264.8885714,264.91,264.4,257.6,257.71,259.11,257.74,263.08,243.2585714,246.8,244.66,242.8977778,230.71,243.75,231.13,230.6677778,215.31,215.23,219.0477778,219.61,223.2485714,224.2377778,214.1577778,214.44,206.17,212.11,215.17,208.7077778,209.2677778,209.8977778,218.4977778,221.2077778,217.5777778,208.67,212.1377778,214.1277778,214.7977778,214.96,222.1577778,227.6477778,230.8077778,226.14,224.84,220.88,223.5677778,230.7477778,237.5177778,237.7477778,233.4177778,233.3677778,240.5177778,251.7777778,252.35,246.5477778,251.0777778,256.8877778,266.1777778,269.66,265.8627273,259.63,260.0427273,259.42,264.7377778,266.7077778,L7
2000-01-01 22:04:37+00:00,408.8842857,403.9742857,406.0566667,405.94,391.51,385.6566667,372.92,368.1366667,360.1442857,354.6242857,353.0542857,,345.0666667,340.8866667,323.9242857,319.1642857,315.2866667,317.7766667,310.3742857,305.1742857,298.3366667,298.4642857,294.16,293.0011111,,292.3342857,282.79,281.76,278.84,270.37,261.44,263.76,262.88,259.9642857,261.95,257.9,252.3511111,243.29,247.72,236.1,233.0711111,226.04,224.46,222.9511111,224.99,227.8142857,234.0511111,232.2111111,230.59,218.64,216.47,211.15,211.5511111,212.7611111,213.6411111,217.4411111,220.5311111,218.0511111,215.33,219.4211111,219.5011111,218.3111111,221.09,230.4911111,238.1311111,235.6311111,231.6,227.89,226.3,234.4311111,240.5911111,247.1211111,248.6111111,249.9911111,252.6411111,247.2711111,242.4911111,243.07,248.0511111,259.5211111,268.8511111,271.6311111,272.01,274.48,267.31,267.43,262.92,263.1111111,266.2611111,L7
2000-05-24 22:03:46+00:00,364.9385714,361.0085714,371.1366667,361.92,339.98,357.5566667,341.41,335.9066667,327.3385714,337.2385714,321.7485714,300.4566667,323.4866667,277.0266667,308.6085714,290.4985714,270.5166667,293.4266667,259.7885714,273.7685714,271.1666667,256.0085714,256.68,269.0577778,241.7385714,217.9685714,231.28,246.02,229.39,228.17,227.26,217.64,253.04,255.3185714,225.5,214.67,235.6777778,234.34,211.24,207.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-10-15 22:01:56+00:00,383.1971429,381.5371429,388.1733333,377.15,368.76,369.4233333,360.93,341.1133333,362.3771429,355.8071429,335.0671429,331.9333333,327.0833333,311.5333333,310.3071429,296.9171429,297.4833333,295.3933333,284.5571429,290.8371429,281.3133333,268.8171429,257,253.7755556,255.7571429,252.1971429,247.61,247.49,236.65,240.54,243.12,236.51,241.12,256.6371429,229.99,225.5,230.1155556,218.26,217.68,217.48,212.1655556,203.93,220.06,209.1255556,207.32,210.3871429,205.0155556,207.0755556,208.48,211.6,211.17,207.15,202.8155556,203.5655556,198.8855556,194.3555556,195.7355556,195.0755556,192.99,196.0755556,204.0755556,211.0755556,208.48,222.9955556,229.8255556,228.8655556,226.4,226.1,217.84,216.9555556,218.8755556,232.9955556,242.3555556,245.5155556,245.1455556,249.6755556,249.6355556,241.29,242.2455556,241.3055556,240.8255556,248.0755556,249.02,255.9790909,260.83,266.0190909,269.95,271.4355556,270.7455556,L7
2001-03-24 22:01:59+00:00,401.7428571,391.1428571,402.6233333,397.04,402.23,390.4433333,365.81,344.8733333,365.5128571,356.9328571,342.7728571,334.6433333,348.0033333,327.7033333,331.9128571,329.9028571,315.4833333,316.4033333,294.5828571,313.7428571,302.4233333,283.3328571,287.88,268.1888889,290.2628571,271.8628571,269.29,271.98,252.25,250.05,259.1,246.34,249.45,270.4728571,244.15,233.41,239.3088889,226.53,219.08,232.06,219.8688889,217.14,234.02,227.3588889,216.37,222.1628571,218.4788889,212.8788889,218.35,218.7,211.17,206.7,204.9688889,206.9588889,206.8388889,212.5488889,217.0888889,218.3988889,208.8,208.6588889,213.6288889,212.6188889,209.92,215.2688889,224.5988889,229.6288889,234.45,237.18,236.24,238.6688889,237.0688889,236.3388889,238.7688889,241.8388889,246.9188889,248.3288889,253.1888889,251.55,257.1988889,258.3888889,258.8288889,260.0288889,259.93,259.5163636,263.51,266.8563636,267.85,269.4788889,268.5488889,L7
2001-10-02 22:00:04+00:00,,,,,,,,357.3433333,364.4614286,360.0714286,343.8714286,337.3733333,345.9333333,326.2533333,322.3714286,327.1214286,314.9633333,308.2033333,302.1114286,314.1214286,304.2333333,288.7214286,277.85,285.8788889,274.8414286,270.8214286,273.32,263.85,259.96,262.51,257.41,246.3,246.3,248.9314286,235.2,237.29,231.3488889,228.75,223.02,230.06,217.4188889,221.82,225.31,230.0988889,228.47,230.9914286,227.3388889,221.0488889,221.16,224.65,220.17,220.05,217.1688889,215.3588889,216.5088889,219.1088889,218.4188889,216.1088889,212.92,211.3088889,209.5188889,207.0288889,210.65,217.9988889,215.8688889,224.3988889,229.01,233.68,228.44,234.9088889,234.9888889,238.1988889,239.9988889,243.2288889,241.2588889,243.7688889,249.6288889,245.93,251.7388889,261.5588889,,,,267.2,273.96,273.6,273.44,270.8088889,271.9488889,L7
2001-11-03 22:00:10+00:00,380.8028571,371.7028571,385.67,367.05,,351.77,329.8,324.09,336.8128571,328.7428571,314.8928571,310.65,318.19,301.76,298.1128571,292.5928571,284.95,281.72,272.8528571,285.1028571,275.29,259.0628571,,256.3566667,,238.6628571,242.99,241.94,235.12,230.99,231.59,219.66,216.46,222.1428571,215.1,216.27,212.0266667,201.07,199.84,203.22,195.0066667,195.09,203.39,204.4566667,196.13,197.4228571,194.3966667,191.6266667,195.04,199.46,193.71,198.95,198.6566667,202.4566667,194.7566667,192.0666667,194.7266667,195.0966667,194.67,197.1466667,197.7866667,198.3266667,194.77,197.9566667,199.3166667,203.8366667,208.09,222.58,221.48,220.2766667,219.2266667,212.6766667,213.7866667,219.5866667,220.3866667,233.6966667,238.4066667,236.95,241.7666667,243.0366667,241.8866667,249.0266667,249.64,247.5154545,252.06,248.0454545,248.28,250.9566667,257.2166667,L7
2002-01-06 22:00:31+00:00,386.01,382.79,364.8233333,351.17,,334.1733333,329.2,334.6333333,329.53,331.56,319.4,294.8133333,295.1233333,295.1433333,295.75,298.43,284.4733333,262.0033333,266.79,265.4,261.6733333,249.94,245.86,238.5322222,236.31,239.55,232.07,237.58,232.73,229.97,231.77,229.35,233.58,219.33,214.97,208.92,206.7522222,206.03,207.74,209.46,219.2522222,209.11,193.97,192.2522222,185.68,184.61,194.4122222,194.6422222,191.32,189.39,190.72,193.29,194.9822222,191.4622222,183.1422222,180.7522222,186.2422222,194.8422222,205.21,206.3022222,197.7122222,192.4322222,193.15,193.0022222,190.2722222,192.8922222,195.02,201.26,207.83,206.9622222,204.6322222,198.0622222,202.1122222,220.9322222,231.8822222,229.2322222,226.5922222,230.61,231.7822222,240.3222222,242.4722222,241.5022222,239.23,246.4718182,,,,,,L7
