dates,nzd0125-0000,nzd0125-0001,nzd0125-0002,nzd0125-0003,nzd0125-0004,nzd0125-0005,nzd0125-0006,nzd0125-0007,nzd0125-0008,nzd0125-0009,nzd0125-0010,nzd0125-0011,nzd0125-0012,nzd0125-0013,nzd0125-0014,nzd0125-0015,nzd0125-0016,nzd0125-0017,nzd0125-0018,nzd0125-0019,nzd0125-0020,nzd0125-0021,nzd0125-0022,nzd0125-0023,nzd0125-0024,nzd0125-0025,nzd0125-0026,satname
1999-07-18 21:58:25+00:00,,,,,,,,,,,,,,396.3,367.15,342.2166667,337.85,332.62,339.2046154,348.57,354.59,362.46,381,395.05,,,348.54,L7
1999-08-26 22:04:44+00:00,379.19,375.8714286,376.5384615,375.61,358.2,363.9,372.29,374.3945455,379.2645455,370.8045455,364.25,366.7,388.5633333,392.05,371.4,340.0533333,338.32,340.68,337.6984615,350.11,355.63,360.985,375.7,398.8,376.4933333,360.33,353.5,L7
1999-09-27 22:04:48+00:00,407.16,375.4642857,375.1361538,378.6766667,363.1966667,362.3266667,378.7866667,381.4772727,376.0872727,377.7372727,383.0066667,388.2766667,412.0988889,417.4333333,387.3933333,338.7488889,331.4766667,333.0066667,341.3161538,355.0166667,361.2933333,362.775,392.23,416.7,380.1088889,359.8233333,349.6233333,L7
1999-10-22 21:58:28+00:00,,,,,,,,,,,,,,,350.8766667,323.2277778,325.3733333,325.9133333,326.8692308,346.0233333,345.1766667,356.955,362.97,385.55,358.3977778,344.2366667,340.0566667,L7
1999-12-25 21:58:28+00:00,392.88,371.25,375.3084615,379.4833333,367.9333333,367.9633333,380.6233333,383.9045455,382.6045455,378.9345455,370.7333333,378.9733333,402.0111111,422.0366667,387.6466667,345.3411111,335.2333333,340.5333333,340.9884615,355.0433333,354.6166667,362.56,374.42,405.61,378.1311111,350.8266667,351.3866667,L7
2000-03-05 22:04:24+00:00,,,,,,,391.2266667,388.4054545,385.6654545,377.9754545,375.1166667,372.3166667,402.0355556,395.6733333,372.9433333,344.0055556,341.0966667,340.5766667,344.9561538,351.1366667,355.0533333,362.435,377.41,402.18,376.6155556,366.5133333,363.8233333,L7
2000-03-14 21:58:11+00:00,381.92,379.22,381.0846154,378.9666667,362.1466667,362.8466667,378.5866667,380.9881818,378.9781818,371.6781818,367.2166667,371.2366667,390.9155556,387.7733333,365.4733333,329.9055556,332.4666667,333.9166667,337.8246154,350.1666667,348.8733333,361.01,367.32,389.46,366.7955556,346.4433333,347.6933333,L7
2000-03-30 21:58:09+00:00,410.14,387.6642857,384.8969231,384.6533333,366.1833333,367.9133333,378.7533333,377.3145455,375.1045455,361.8745455,364.2333333,368.0633333,387.5711111,390.8866667,364.2766667,335.0411111,336.6033333,334.0933333,342.5269231,347.7033333,350.8166667,360.82,365.77,391.25,365.5211111,356.4766667,351.6866667,L7
2000-04-15 21:57:55+00:00,371.35,381.4285714,383.7453846,381.4266667,362.4566667,359.7166667,377.4066667,367.6354545,365.7254545,354.5254545,354.6866667,366.5166667,384.4055556,377.1533333,352.0233333,333.2255556,335.2966667,340.1266667,340.8553846,349.9366667,351.6433333,358.77,364.78,397.02,361.3155556,350.0933333,345.4833333,L7
2000-05-17 21:57:43+00:00,384.41,381.9342857,379.6423077,377.2566667,361.4066667,363.7366667,373.3566667,369.1163636,367.9163636,363.8663636,357.9766667,368.0366667,379.1155556,389.3633333,366.2133333,337.0655556,334.4566667,331.4366667,335.8523077,344.8266667,349.3233333,361.31,371.14,392.54,361.0255556,349.9333333,346.4633333,L7
