dates,nzd0191-0000,nzd0191-0001,nzd0191-0002,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0009,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,satname
1999-07-18 21:58:49+00:00,,296.99,292.0733333,,,,,240.18,,,,,,,,,,,,,,,,,,,,291.89,265.87,260.42,,,,269.46,271.9133333,330.3890909,,,,,,,,276.445,296.6590909,,293.2184615,313.1466667,,,,L7
1999-09-13 21:52:41+00:00,311.79,299.74,295.6466667,289.8866667,274.4266667,,,263.02,,287.29,285.21,281.6111111,284.93,287.93,287.86,287.9711111,287.2811111,285.45,284.1511111,272.4911111,271.98,272.67,270.17,277.45,277.53,288.3611111,288.74,290.8,278.79,285.54,281.9811111,291.4311111,288.8311111,295.45,295.7066667,308.39,312.29,311.7505263,314.2711111,308.99,305.1513043,302.4361538,305.24,311.595,311.72,312.4633333,314.6861538,317.6033333,323.8433333,321.8961538,328.77,L7
1999-09-29 21:52:52+00:00,333.55,322.1571429,313.7333333,314.0133333,312.2133333,315.08,,324.2971429,323.5271429,316.8271429,310.2171429,305.7888889,311.73,310.96,326.5871429,325.5788889,319.8388889,319.01,308.4088889,303.0488889,290.3,299.6671429,296.6009091,296.34,303.1585714,304.4288889,310.89,312.5,313.64,312.34,310.9688889,313.2388889,317.5588889,316.44,320.7547619,323.8809091,327.32,330.1894737,335.6488889,339.13,320.4778261,332.4415385,333.4109091,329.61,335.1809091,344.3966667,342.6715385,348.8966667,355.6366667,352.6415385,351.2685714,L7
1999-10-15 21:52:49+00:00,330.97,308.8542857,300.05,300.23,297.23,298.46,,339.5742857,304.0242857,304.7942857,296.9942857,295.5266667,290.15,296.55,308.4142857,308.1466667,306.0666667,307.6,294.2866667,289.9366667,281.23,283.1942857,282.6372727,282.06,287.7171429,294.2666667,298.13,300.63,297.54,293.33,297.2866667,303.2266667,307.5866667,307.03,306.7728571,314.4472727,317.91,316.4852632,319.4466667,315.48,311.5378261,309.6946154,317.6372727,317.34,317.5772727,313.82,324.5646154,332.21,336.43,337.5646154,336.4171429,L7
1999-10-22 21:58:52+00:00,336.29,327.7085714,300.2733333,283.9733333,291.8533333,304.63,293.99,322.3885714,318.5285714,301.9185714,309.4485714,313.9355556,310.83,313.35,312.0485714,319.7355556,312.2855556,318.6,306.4155556,297.9055556,296.16,290.7885714,288.7418182,292.35,304.2642857,307.9755556,305.59,307.79,303.95,292.69,301.3155556,312.8955556,317.6755556,315.57,315.2490476,321.0718182,323.7,321.4657895,333.4355556,325.91,324.6056522,328.03,328.1718182,337.625,326.9218182,322.5466667,330.53,341.4666667,335.0166667,339.81,338.6442857,L7
1999-11-16 21:52:44+00:00,311.97,294.9571429,281.91,275.65,277.78,279.92,275.17,310.8371429,,296.1471429,297.3571429,293.0966667,292.7,289.89,291.9071429,301.0866667,302.3666667,303.58,296.6866667,296.8766667,291.25,284.0171429,274.8754545,278.95,284.3485714,291.7466667,293.35,288.42,292.06,288.47,290.3866667,293.3166667,308.1666667,311.4,301.3214286,302.2554545,316.81,327.4315789,316.9566667,310.57,315.6617391,315.5115385,313.7154545,317.185,319.7454545,320.26,318.4115385,325.6,332.36,335.0815385,337.5185714,L7
1999-12-02 21:52:40+00:00,306.06,291.3514286,265.03,270.67,270.74,280.02,,288.6114286,,301.5314286,303.5414286,301.37,299.43,301.08,294.2014286,302.4,309.6,312.41,306.25,303.73,298.31,303.5714286,301.1718182,303.27,302.2157143,314.81,307.63,299.54,303.34,311.8,308.15,315.64,316.95,322.06,320.8742857,324.2418182,329.61,332.7815789,333.5,333.74,332.0186957,336.2723077,332.9518182,335.38,334.0918182,339.88,334.8623077,339.02,343.47,348.0723077,355.1957143,L7
1999-12-09 21:58:57+00:00,318.8,302.4385714,295.96,289.67,290.57,299.09,293.87,280.6585714,,306.4385714,302.6385714,300.41,291.29,299.15,307.3485714,304.21,313.43,315.18,313.67,306.54,304.05,304.1585714,293.2481818,295.45,286.4442857,300.74,308.96,309.41,308.02,312.87,310.17,309.86,313.07,312.1,315.1057143,319.4281818,331.11,332.4784211,340.5,339.91,337.5013043,329.5676923,329.2381818,330.46,335.6781818,332.19,333.8076923,339.28,347.36,345.7076923,349.8042857,L7
2000-02-04 21:52:37+00:00,335.75,311.83,305.8833333,301.2333333,299.1333333,305.4,316.93,,303.96,296.53,302.33,301.2155556,304.7,315.26,324.54,317.9855556,319.6155556,313.37,311.2255556,302.3455556,305.82,309.91,316.7527273,320.9,316.99,313.1955556,315.87,316.19,316.97,316.28,320.5755556,322.9055556,320.3955556,322.32,332.0433333,334.2027273,335.66,337.8336842,338.5555556,340.54,335.1773913,340.8969231,339.0927273,341.715,338.5227273,336.0566667,338.0369231,351.1466667,356.5066667,364.0069231,366.3,L7
2000-03-14 21:58:35+00:00,324.98,315.9614286,302.46,303.38,301.59,296.49,291.49,305.2814286,298.5914286,300.7414286,305.5614286,309.9066667,305.73,307.11,307.9214286,309.2966667,309.3866667,308.2,303.3966667,304.4466667,298.69,297.5414286,304.62,309.55,315.6457143,311.0566667,308.57,309.29,309.61,309.9,311.2566667,308.2566667,315.0066667,324.72,324.6942857,325.96,330.34,338.5326316,336.9966667,328.34,325.6308696,321.8630769,329.8,330.875,331.57,330.28,349.5730769,347.71,347.03,347.4630769,356.3657143,L7
2000-03-30 21:58:33+00:00,322.52,321.6042857,314.7366667,306.2866667,300.3266667,294.92,291.04,334.2142857,297.9942857,307.0842857,307.9142857,306.9044444,305.05,302.78,298.6442857,302.9244444,298.8744444,295.42,294.6644444,282.7144444,283.3,287.5242857,293.5418182,297.59,303.8471429,305.4344444,299.07,302.21,309.24,305.26,309.0644444,301.8344444,311.7844444,317.84,316.6995238,318.5218182,324.43,331.6673684,332.2044444,326.71,335.4917391,326.8546154,326.1518182,329.945,329.5818182,341.7633333,351.0446154,345.7233333,342.1433333,354.8946154,356.9671429,L7
2000-05-01 21:58:18+00:00,331.38,322.1,308.11,302.04,310.28,322.72,329.17,325.17,318.76,310.62,301.18,311.98,322.02,323.56,321.02,302.77,316.29,314.22,308.06,292.96,294.22,287.08,301.6554545,320.19,334.02,329.42,305.8,304.33,308.68,324.26,319.97,312.29,309.43,312.65,337.78,339.7754545,324.62,330.5368421,334.25,331.6,337.4834783,337.8076923,330.5954545,330.305,342.9254545,349.64,352.1976923,350.95,357.67,356.8376923,361.32,L7
2000-06-18 21:57:51+00:00,294.61,301.27,298.2166667,288.8366667,285.5366667,254.47,,304.19,287.74,293.77,293.2,299.4077778,302.05,303.83,303.89,303.1477778,295.7877778,294.89,288.0177778,291.5977778,284.08,291.2,,297.86,302.11,305.5077778,303.11,307.74,297.98,301.7,300.9977778,310.7977778,312.3377778,308.7,314.4566667,319.1536364,330.55,330.0784211,322.5777778,327.44,323.9169565,324.1946154,324.3236364,323.105,340.4436364,341.2633333,340.5646154,337.2633333,,,352.04,L7
2000-07-29 21:51:02+00:00,265.09,277.14,274.1566667,279.6866667,267.0266667,288.65,,297.94,265.97,267.46,279.58,282.4444444,289.52,290.93,279.48,275.2744444,275.6544444,288.15,290.1344444,,254.5,250.64,264.8827273,260.73,269.26,286.5544444,282.64,273.64,285.26,282.66,282.7344444,279.0544444,291.6044444,285.47,292.4066667,294.9127273,296.94,310.0631579,314.1044444,306.59,307.166087,309.1307692,303.1627273,317.72,339.7727273,310.4833333,306.0807692,309.0433333,314.6433333,314.3007692,335.61,L7
2000-08-05 21:57:08+00:00,288.7,287.2414286,290.65,279.96,274.66,263.32,230.8,,262.8214286,272.1714286,286.4714286,289.1333333,285.99,287.37,277.1714286,270.8233333,273.5333333,278.41,269.1133333,266.3533333,265.56,267.1814286,263.4727273,272.85,266.7157143,280.2633333,278.51,276.93,285.62,294,269.6533333,276.9433333,289.3033333,280.39,278.0642857,283.6327273,298.24,302.0568421,305.1333333,302.67,300.4395652,297.2261538,300.3227273,311.085,317.5527273,308.15,306.4261538,305.9,,,,L7
2000-08-14 21:50:56+00:00,279.43,288.4028571,285.3566667,285.4966667,276.6466667,273.26,,315.7228571,257.8928571,265.6128571,274.5828571,290.7377778,293.87,293.49,283.5528571,274.0777778,279.9977778,272.97,275.3177778,263.4877778,264.15,259.9228571,270.7718182,274.5,278.1114286,278.7677778,282.44,279.55,284.28,285.01,283.5177778,279.9977778,293.0377778,290.89,297.0652381,309.5918182,311.05,310.6047368,314.1877778,304.84,309.1508696,301.7915385,309.2318182,310.71,313.5118182,309.7733333,315.9615385,315.9533333,326.9533333,330.2415385,341.1114286,L7
2000-11-09 21:56:21+00:00,277.28,280.6571429,270.5933333,257.5433333,264.3733333,261.2,266.8,,271.9671429,278.8871429,273.3971429,272.1722222,272.92,268.45,274.7871429,272.5222222,264.8522222,264.62,262.4022222,257.2022222,255.77,254.4371429,256.7636364,264.32,264.1385714,267.1022222,263.59,266.91,271.86,273.17,271.8722222,268.4822222,280.3922222,285.35,288.8547619,294.6736364,295.71,297.7921053,295.7922222,292.91,288.7226087,290.3561538,294.4636364,301.275,299.9436364,304.8766667,308.9161538,313.3566667,313.9266667,325.1561538,330.3485714,L7
