dates,nzd0231-0004,nzd0231-0005,nzd0231-0006,nzd0231-0007,nzd0231-0008,nzd0231-0009,nzd0231-0010,nzd0231-0011,nzd0231-0012,nzd0231-0013,nzd0231-0014,nzd0231-0015,nzd0231-0016,nzd0231-0017,nzd0231-0018,nzd0231-0019,nzd0231-0020,nzd0231-0021,nzd0231-0022,nzd0231-0023,nzd0231-0024,nzd0231-0025,nzd0231-0026,nzd0231-0027,nzd0231-0028,nzd0231-0029,nzd0231-0030,nzd0231-0031,nzd0231-0032,nzd0231-0033,nzd0231-0034,nzd0231-0035,nzd0231-0036,nzd0231-0037,nzd0231-0038,nzd0231-0039,nzd0231-0040,nzd0231-0041,nzd0231-0042,nzd0231-0043,nzd0231-0044,nzd0231-0045,nzd0231-0046,nzd0231-0047,nzd0231-0048,nzd0231-0049,nzd0231-0050,nzd0231-0051,nzd0231-0052,nzd0231-0053,nzd0231-0054,nzd0231-0055,nzd0231-0056,nzd0231-0057,nzd0231-0058,nzd0231-0059,nzd0231-0060,nzd0231-0061,nzd0231-0062,nzd0231-0063,nzd0231-0064,nzd0231-0065,nzd0231-0066,nzd0231-0067,nzd0231-0068,nzd0231-0069,nzd0231-0070,nzd0231-0071,nzd0231-0072,nzd0231-0073,nzd0231-0074,nzd0231-0075,nzd0231-0076,nzd0231-0077,nzd0231-0078,nzd0231-0079,nzd0231-0080,nzd0231-0081,nzd0231-0082,nzd0231-0083,nzd0231-0084,nzd0231-0085,nzd0231-0086,nzd0231-0087,nzd0231-0088,nzd0231-0089,nzd0231-0090,nzd0231-0091,nzd0231-0092,nzd0231-0093,nzd0231-0094,nzd0231-0095,nzd0231-0096,nzd0231-0097,nzd0231-0098,nzd0231-0099,nzd0231-0100,satname
1999-09-29 21:52:52+00:00,384.8915385,372.2144444,382.08,372.6088235,384.0666667,389.81,387.532381,384.2285714,388.3988235,389.5115385,382.3533333,389.2385714,380.4815385,383.6833333,384.2555172,382.5685714,384.3709091,385.6085714,378.7185714,383.1785714,378.1909091,376.1115385,371.6109091,376.1388889,373.1366667,367.1809091,371.1285714,386.3409091,394.0888889,386.6509091,382.7509091,375.1009091,371.6566667,366.5966667,378.8909091,375.2809091,368.6409091,379.0966667,380.7909091,382.59,375.8809091,383.52,375.84,384.3109091,384.14,377.3509091,378.4809091,390.5188889,373.6866667,377.88,375.9509091,375.2309091,380.5209091,373.1109091,382.0266667,366.6785714,380.9615385,380.0715385,376.4066667,375.6785714,387.5085714,389.6285714,382.9966667,376.4466667,372.1066667,370.9109091,368.4809091,374.9209091,360.1066667,369.73,364.1066667,362.9609091,365.2309091,359.7709091,368.6809091,361.6209091,361.3909091,354.0766667,360.9209091,364.03,362.88,363.06,373.84,371.6609091,372.72,382.7409091,385.89,378.4515385,369.9885714,375.4366667,362.3409091,368.9366667,356.4566667,355.7409091,358.84,364.3588889,351.7588889,L7
1999-10-15 21:52:49+00:00,361.1584615,366.2144444,373.935,371.9747059,373.4466667,381.34,367.3466667,373.56,363.4147059,368.7184615,375.1233333,380.75,374.5884615,374.4933333,368.6586207,368.53,371.7190909,362.92,368.44,374.05,373.1890909,368.3084615,372.8590909,363.9588889,367.4666667,356.8190909,361.44,362.9390909,367.3788889,366.8990909,363.7390909,365.3190909,360.8066667,361.8466667,354.6690909,362.5690909,357.4990909,362.3766667,364.1290909,369.93,368.5490909,362.45,370.34,366.4890909,369.57,366.7690909,371.3690909,366.6388889,370.2266667,365.6,367.6390909,368.5090909,367.0690909,368.1290909,366.4866667,365.67,370.6884615,369.5384615,366.5366667,373.09,366.85,377.36,372.4866667,370.6966667,359.4166667,361.3390909,363.8690909,361.2290909,361.4766667,363.21,358.6166667,355.0490909,352.8190909,348.2490909,349.0590909,345.5690909,351.2890909,343.4966667,354.3090909,351.13,350.6,360.92,356.04,363.4190909,364.48,375.5990909,363.75,369.9984615,368.2,363.2666667,358.9890909,359.9566667,355.4366667,347.7190909,353.42,347.6588889,341.1088889,L7
1999-12-02 21:52:40+00:00,349.2361538,343.0311111,355.465,354.1747059,350.0466667,347.87,352.922381,344.4585714,342.5847059,343.8161538,344.7833333,352.0985714,344.3461538,349.6733333,341.7796552,345.5585714,337.2736364,345.8085714,351.8885714,357.2585714,359.9336364,355.0561538,353.5936364,341.7022222,346.6966667,344.8036364,355.1485714,347.1736364,343.8722222,340.5936364,343.2536364,340.0336364,343.5466667,342.2066667,341.7236364,343.0836364,342.3736364,350.4166667,347.4136364,341.92,342.3536364,340.21,337.54,349.3336364,342.73,345.5836364,348.1336364,344.2622222,343.5066667,,,,,,,,,,,,,,,353.4866667,350.2366667,356.1436364,343.5436364,351.6536364,346.1166667,342.67,341.6166667,333.3136364,334.6436364,328.5836364,335.9936364,325.8636364,334.4136364,331.8566667,330.4836364,328.54,330.27,330.7,340.57,337.3436364,338.01,341.9536364,334.21,339.4661538,338.6885714,338.9166667,334.0736364,338.0766667,331.2166667,330.7736364,324.06,316.7722222,310.4022222,L7
2000-02-04 21:52:37+00:00,354.1292308,357.6155556,363.105,360.0882353,358.7233333,360.09,360.2961905,360.4342857,357.5782353,365.2192308,368.7666667,374.0342857,363.1692308,362.5266667,354.1596552,357.5942857,351.4090909,352.3742857,351.4642857,364.5742857,366.4490909,361.7192308,361.4490909,355.0811111,360.6433333,359.6290909,368.8342857,362.7790909,357.6611111,355.8690909,358.0190909,350.6390909,347.3633333,346.1133333,348.8890909,347.0990909,343.5090909,342.5933333,339.5790909,350.91,343.2090909,347.41,347.14,355.6890909,354.31,358.4390909,361.5690909,355.3411111,351.8433333,341.01,349.2090909,350.5590909,353.2890909,350.6790909,363.6833333,364.9942857,375.2292308,374.9492308,371.0933333,361.9842857,369.4242857,364.9842857,361.7633333,359.9233333,353.9733333,352.4390909,350.1390909,356.7390909,343.1833333,348.74,349.5033333,345.0890909,342.5290909,340.3890909,340.9990909,336.0990909,341.2090909,338.2233333,344.4490909,340.86,341.59,342.31,348.06,348.7890909,351.69,352.0690909,350.05,351.0192308,353.9942857,361.5733333,353.4890909,347.6733333,340.2133333,336.8490909,339.5,343.7511111,340.1411111,L7
2000-04-24 21:52:10+00:00,352.7738462,357.2644444,355.99,360.7258824,360.5066667,354.82,353.9595238,360.8242857,352.2158824,355.8738462,353.6533333,352.7742857,352.0738462,351.2933333,353.9172414,352.1042857,351.1227273,351.8342857,357.1442857,354.6042857,356.1627273,357.5738462,361.7427273,360.5088889,359.2966667,361.0627273,356.7042857,361.0927273,361.4388889,360.2627273,356.4527273,352.5227273,337.2166667,337.5666667,342.5427273,348.5827273,347.8927273,345.0066667,352.4927273,346.26,349.3027273,352.05,353.61,349.2827273,358.16,353.3027273,353.8027273,353.1288889,354.3766667,356.37,356.3027273,350.4027273,348.9827273,352.3727273,353.4166667,362.3242857,357.0338462,357.0638462,354.0266667,352.0542857,355.6942857,353.8242857,353.1566667,352.8366667,354.5066667,356.8727273,349.7327273,355.2627273,358.0866667,349.2,345.3166667,343.1127273,343.0427273,344.0627273,338.4527273,335.5927273,331.4927273,336.8766667,336.7427273,336.36,330.34,333.19,336.28,344.3827273,348.34,351.7527273,351.62,348.8038462,347.3742857,341.8866667,342.6627273,340.2666667,344.9566667,343.4827273,347.86,347.2588889,340.0988889,L7
2000-05-26 21:51:48+00:00,372.8976923,373.0777778,372.055,376.9858824,377.3066667,374.77,371.662381,370.1185714,375.2158824,367.2376923,369.4033333,371.4185714,368.6676923,371.5833333,372.7827586,377.3185714,372.36,375.1485714,370.6985714,370.0685714,370.83,375.5676923,372.97,374.6355556,375.5866667,369.56,377.9485714,372.58,378.1555556,374.85,376.83,367.19,365.7566667,360.2566667,361.13,361.68,358.7,363.8666667,363.67,364.46,362.99,369.34,371.8,373.83,369.81,371.13,366.43,372.8355556,370.6166667,364.85,365.48,366.06,374.54,376.24,378.2266667,375.8485714,375.7676923,374.0576923,373.8466667,372.6885714,376.3785714,374.3485714,372.8866667,374.6866667,370.6766667,371.11,365.11,364.21,362.6366667,358.07,354.7566667,350.92,352.49,352.65,353.13,351.15,350.6,350.8766667,353.32,346.47,350.54,346.99,357.15,357.88,359.18,364.35,364.55,363.4476923,359.2085714,361.5166667,357.83,356.5666667,354.4266667,359.33,355.2,353.6555556,343.6155556,L7
2000-07-13 21:51:19+00:00,366.6692308,371.6533333,375.02,381.7411765,379.37,371.73,378.4457143,367.7985714,372.1111765,358.1892308,365.67,354.2885714,365.4092308,361,365.9341379,370.5285714,364.6409091,366.7785714,380.4285714,373.6985714,383.0409091,381.2592308,371.7509091,376.6766667,360.02,359.7909091,359.3885714,362.4409091,373.6566667,375.8709091,359.8309091,357.3709091,351.46,364.4,364.7209091,351.1309091,352.3109091,358.47,356.1909091,352.86,369.4009091,363.81,363.34,352.7809091,350.75,361.0709091,353.4609091,354.8766667,362.68,361.77,362.6309091,368.4709091,371.3609091,367.0009091,364.93,364.0085714,367.0692308,376.3392308,375.13,371.4185714,373.2585714,370.0085714,374.39,367.54,373.09,369.3309091,367.3009091,364.6109091,359.86,355.96,348.19,352.2809091,345.5409091,349.1109091,351.3809091,347.6709091,347.9809091,345.95,344.8509091,354.06,361.75,362.34,364.87,365.8409091,364.25,364.9109091,362.62,357.5292308,356.7485714,359.33,353.2609091,354.25,357.84,366.3909091,356.28,358.8766667,346.6066667,L7
2000-08-14 21:50:56+00:00,378.9638462,385.4466667,385.95,385.7582353,387.67,381.6,385.7371429,376.3257143,376.1882353,375.4738462,374.48,377.3057143,362.6538462,367.6,362.8348276,376.4857143,370.3781818,376.9257143,369.4057143,373.8057143,376.7181818,387.9638462,378.3881818,377.1133333,375.34,370.9881818,384.7557143,374.4781818,383.1833333,382.0781818,379.6181818,373.7981818,372.26,353.32,361.5781818,365.1381818,366.4081818,359.02,364.1081818,371.5,370.0381818,371.26,369.81,368.0681818,363.74,362.7281818,371.7081818,376.8233333,372.36,365.62,367.6381818,363.2581818,374.5981818,370.9181818,371.86,373.0857143,376.4138462,371.4538462,379.4,368.3557143,380.0757143,382.0057143,373.61,378.11,371.9,376.5281818,370.9381818,367.8381818,365.01,360.34,355.09,352.5581818,349.2881818,357.0681818,356.2481818,355.8481818,355.2481818,352.62,357.9581818,351.9,362.5,359.02,359.35,359.8681818,363.45,365.1781818,369.33,366.9338462,358.1957143,362.77,361.9781818,362.86,352.82,358.9581818,352.67,346.4033333,339.9133333,L7
2000-09-15 21:50:25+00:00,381.7746154,370.6133333,377.73,377.4170588,375.8,383.57,372.7014286,374.5171429,372.0070588,372.9446154,373.53,376.6271429,369.7846154,373.23,366.6206897,367.2071429,373.9472727,372.8771429,375.6271429,378.3771429,379.8272727,371.4246154,375.2872727,369.3966667,373.68,370.6872727,369.8771429,377.4972727,378.4066667,378.9872727,373.1872727,368.0272727,362.34,359.97,355.1772727,359.6972727,360.3072727,363.55,350.2972727,362.74,363.2772727,358.81,358.52,367.0272727,367.57,366.8472727,369.3072727,383.8066667,376.38,372.78,367.8372727,368.6072727,364.8172727,361.4872727,368.4,356.8771429,372.9946154,369.2946154,368.96,367.7271429,369.2371429,378.8871429,381.17,383.9,371.02,371.6572727,361.0772727,362.5272727,352.18,364.98,353.86,354.7972727,348.7872727,346.6072727,348.4372727,343.4472727,353.2172727,355.04,357.6872727,355.5,357.83,354.83,362.06,360.4372727,362.72,364.0872727,362.33,353.4146154,348.3871429,353.73,352.4272727,361.4,352.12,347.1572727,345.24,353.9966667,347.0566667,L7
2000-10-17 21:50:01+00:00,365.2323077,368.5388889,379.305,377.6105882,382.7033333,377.46,367.6061905,369.6142857,362.1305882,373.3123077,368.2366667,372.2242857,372.6823077,372.3466667,365.1158621,369.7542857,364.9218182,367.0042857,373.8642857,381.1242857,384.2618182,379.0023077,385.0118182,384.9577778,384.0033333,385.1918182,369.9642857,359.6318182,371.2177778,361.1218182,370.2618182,368.2718182,366.0733333,359.5633333,363.3518182,367.9318182,364.9718182,368.9533333,358.6918182,363.73,363.9018182,361.35,359.31,353.4718182,354.72,373.2918182,374.9718182,393.7677778,384.5633333,384.75,377.4018182,374.1718182,367.2418182,366.5818182,375.9633333,372.5542857,377.2123077,371.7223077,367.1133333,367.7942857,374.5742857,371.8242857,385.0333333,380.8733333,376.6633333,380.1718182,373.6418182,375.6418182,366.8533333,371.2,363.3533333,362.3318182,360.0018182,353.9818182,352.9818182,351.3418182,351.2118182,359.2133333,363.9818182,363.33,359.6,354.43,364.6,353.2518182,368.73,367.0018182,369.32,356.2423077,365.5442857,361.3933333,358.9018182,354.1233333,344.0433333,347.1418182,348.87,357.4677778,345.5777778,L7
