dates,nzd0233-0001,nzd0233-0002,nzd0233-0003,nzd0233-0004,nzd0233-0005,nzd0233-0006,nzd0233-0007,nzd0233-0008,nzd0233-0009,nzd0233-0010,nzd0233-0011,nzd0233-0012,nzd0233-0013,nzd0233-0014,nzd0233-0015,nzd0233-0016,nzd0233-0017,nzd0233-0018,nzd0233-0019,nzd0233-0020,nzd0233-0021,nzd0233-0022,nzd0233-0024,satname
1999-08-05 21:46:35+00:00,373.01,370.56,372.5833333,366.9536842,365.2664706,358.67,356.26,350.2776923,349.2514286,349.6514286,345.17,346.5,346.14,346.4664706,338.51,338.0114286,323.2414286,314.7514286,319.43,312.8433333,316.0864706,,,L7
1999-08-21 21:46:33+00:00,388.24,383.65,390.4344444,384.5468421,380.5676471,374.28,375.9233333,376.0576923,366.7671429,364.2371429,364.3433333,365.59,381.63,,363.41,366.9771429,351.3871429,337.1371429,333.33,330.2744444,329.9276471,353.9071429,303.0690909,L7
1999-09-22 21:46:36+00:00,372.53,370.39,372.2533333,372.2442105,367.5911765,361.9,357.74,355.3992308,350.6585714,346.6285714,347.1,348.57,350.51,342.5911765,337.11,328.6985714,320.6685714,314.5185714,317.53,319.4033333,326.9611765,320.9585714,305.5009091,L7
1999-09-29 21:52:52+00:00,382.69,382.3,378.5844444,376.3547368,373.3988235,373.29,366.9933333,365.2115385,364.2885714,358.6185714,355.0233333,352.92,354.12,348.7088235,344.37,340.6285714,327.7485714,324.1985714,327.59,325.7244444,324.9388235,324.4985714,325.6509091,L7
1999-10-24 21:46:32+00:00,376.47,372.785,374.5833333,373.4010526,369.0552941,365.185,359,357.1023077,352.4171429,349.8771429,347.75,347.035,346.505,344.1552941,336.715,330.7571429,324.9571429,319.6271429,320.685,319.5333333,326.7852941,325.6671429,318.4927273,L7
2000-02-04 21:52:37+00:00,373.92,371.67,371.7544444,368.1610526,363.8805882,363.6,356.6433333,356.0453846,351.5414286,349.8414286,344.1033333,342.42,342.54,338.2905882,333.2,326.7214286,323.5014286,319.5514286,321.48,317.3944444,327.6005882,324.2514286,307.5272727,L7
2000-02-20 21:52:29+00:00,372.61,374.195,368.8811111,365.7094737,366.1405882,360.095,358.4133333,355.6815385,350.8371429,349.0871429,347.5233333,345.545,342.595,337.8705882,334.905,328.5571429,321.6271429,315.1971429,319.915,315.4111111,321.2805882,315.6871429,316.47,L7
2000-03-16 21:46:15+00:00,375.64,372.155,367.3533333,364.1168421,360.9823529,358.085,355.76,351.1846154,345.1828571,342.2128571,342.44,340.195,340.865,336.0223529,331.835,329.2828571,317.3228571,311.2228571,317.745,316.7933333,327.3623529,320.5328571,295.6945455,L7
2000-05-03 21:45:55+00:00,368.07,368.005,365.0188889,362.36,361.5647059,354.925,352.0066667,349.2569231,347.4757143,343.0857143,341.1666667,342.225,341.705,335.7147059,332.045,324.7957143,313.8357143,310.4257143,317.665,316.8288889,326.7447059,318.8857143,265.0254545,L7
2000-05-26 21:51:48+00:00,380.91,379.48,375.3488889,371.5873684,370.6535294,366.51,362.9466667,358.9615385,357.3214286,353.8614286,349.7466667,349.72,346.31,344.5135294,340.36,335.0414286,326.5114286,320.3514286,325.59,325.3788889,329.4835294,323.8314286,,L7
2000-07-13 21:51:19+00:00,378.39,366.26,367.6733333,365.5342105,359.8211765,348.66,347.24,344.5092308,341.5985714,342.3185714,345.91,342.83,346.21,334.2311765,319.33,309.9485714,303.4485714,,298.97,,302.8811765,300.3285714,,L7
2000-08-07 21:44:45+00:00,378.06,377.475,372.4966667,371.1094737,365.2494118,363.475,360.69,353.8192308,352.09,348.48,347.05,346.815,345.995,342.5994118,340.105,334.01,325.82,321.77,322.715,325.7366667,330.3894118,324.5,255.0418182,L7
2000-08-14 21:50:56+00:00,380.07,379.265,374.8755556,372.0015789,368.8905882,369.305,361.4966667,360.17,353.8128571,349.5128571,348.7966667,345.605,345.755,342.6105882,340.405,331.1428571,324.7028571,320.2228571,323.235,325.1955556,333.2305882,320.2828571,,L7
2000-09-15 21:50:25+00:00,375.6,373.785,370.4822222,366.3673684,367.1294118,362.905,359.6966667,356.8307692,354.7642857,350.4442857,346.3266667,345.615,348.455,343.3094118,342.965,340.8842857,327.7842857,326.0242857,331.505,328.4222222,338.5994118,338.4242857,,L7
2000-11-02 21:50:13+00:00,368.35,361.525,361.0722222,349.9373684,,,,,,,,,,,,,,,325.495,339.1022222,,,,L7
2000-12-04 21:50:10+00:00,366.92,366.765,367.0888889,364.5647368,363.4823529,359.805,358.2266667,355.8361538,350.3571429,347.9671429,347.6866667,342.075,342.325,342.1423529,339.585,337.7271429,328.5771429,322.6971429,322.585,322.7188889,336.2923529,329.6971429,344.2881818,L7
2000-12-20 21:50:16+00:00,366.36,359.45,359.51,358.6057895,355.7770588,357.21,346.87,341.6223077,334.7457143,334.3557143,333.85,328.5,331.04,327.8170588,328.18,321.2957143,309.2657143,307.4457143,315.85,311.11,329.3770588,323.4057143,305.8218182,L7
2001-01-05 21:50:16+00:00,366.03,364.29,364.8066667,365.9073684,360.0329412,359.16,355.62,347.6653846,347.7628571,344.3928571,347,344.81,338.73,339.7529412,336.17,329.1328571,324.3928571,319.8528571,324.05,325.8266667,326.4029412,321.9528571,344.3927273,L7
2001-03-03 21:44:00+00:00,369.81,362.24,362.2288889,359.2873684,360.3635294,355.61,346.3966667,340.4315385,344.2514286,337.7914286,340.8266667,337.69,338.41,338.2235294,339.06,335.5914286,323.8514286,320.7014286,324.17,326.2588889,337.0735294,328.7914286,312.3718182,L7
2001-03-10 21:50:10+00:00,378.89,375.73,372.47,369.4442105,369.6929412,368.64,364.97,361.8576923,356.4542857,351.9042857,354.23,349.99,352.97,346.6529412,347.22,344.7342857,331.1242857,329.9742857,334.36,333.02,343.6929412,338.9142857,325.7281818,L7
2001-04-04 21:43:43+00:00,373.62,366.84,366.86,362.8010526,357.8694118,354.93,353.57,349.5830769,342.7342857,339.1042857,338.62,340.06,341.77,339.7394118,334.74,331.2542857,324.5642857,322.5042857,325.35,329.7,339.7794118,339.6942857,314.1590909,L7
2001-04-20 21:43:46+00:00,368.96,364.12,359.6411111,357.0284211,356.1835294,351.07,348.4133333,344.0607692,337.8642857,334.7342857,334.2633333,335.51,335.3,335.5635294,330.78,323.5742857,316.3042857,308.9042857,315.5,317.8611111,327.8635294,323.9042857,301.62,L7
2001-07-25 21:42:54+00:00,379.58,379.09,376.6011111,372.5768421,368.7294118,364.17,363.0433333,360.6861538,358.2128571,354.2528571,350.8633333,348.02,350.02,348.2894118,348.66,344.5328571,330.4128571,323.5728571,325.28,,328.2694118,336.2928571,,L7
2001-08-10 21:42:36+00:00,376.68,373.555,368.3166667,367.6236842,364.6123529,359.535,,,,,,,340.955,341.2623529,338.435,337.3542857,319.4242857,312.3542857,322.575,,325.9823529,329.0442857,,L7
2001-08-26 21:42:25+00:00,370.47,366.085,365.5244444,362.3289474,356.2741176,354.695,350.7433333,346.6415385,347.9542857,340.6642857,342.4533333,343.755,339.615,340.2441176,338.965,335.5342857,323.7242857,320.3442857,320.235,323.9744444,331.7041176,328.8942857,302.6781818,L7
2001-09-18 21:48:17+00:00,375.1,370.97,366.7866667,364.0010526,363.7611765,357.8,356.95,353.1615385,349.2,344.29,348.97,345.8,345.13,341.7911765,339.97,336.66,327.61,324.54,325.4,323.5866667,331.1411765,335.08,317.7763636,L7
2001-09-27 21:42:05+00:00,370.6,363.81,364.1477778,361.0052632,358.6817647,357.02,351.3333333,343.9346154,342.78,338.67,340.3133333,339.72,337.56,338.0617647,335.55,331.32,321.41,317.12,322.86,324.8377778,334.8017647,330.89,346.8681818,L7
