dates,nzd0237-0000,nzd0237-0001,nzd0237-0002,nzd0237-0003,nzd0237-0004,nzd0237-0005,nzd0237-0006,nzd0237-0007,nzd0237-0008,nzd0237-0009,nzd0237-0010,nzd0237-0011,nzd0237-0012,nzd0237-0013,nzd0237-0014,nzd0237-0015,nzd0237-0016,nzd0237-0017,nzd0237-0018,nzd0237-0019,nzd0237-0020,nzd0237-0029,nzd0237-0030,nzd0237-0031,nzd0237-0032,nzd0237-0033,nzd0237-0034,nzd0237-0035,nzd0237-0036,nzd0237-0037,nzd0237-0038,nzd0237-0039,nzd0237-0040,nzd0237-0041,nzd0237-0042,nzd0237-0043,nzd0237-0044,nzd0237-0045,nzd0237-0046,nzd0237-0047,nzd0237-0048,nzd0237-0049,nzd0237-0050,nzd0237-0051,nzd0237-0052,nzd0237-0053,nzd0237-0054,nzd0237-0055,satname
1999-12-25 21:58:52+00:00,349.82,347.4833333,347.7533333,338.29,341.34,343.4,335.2,330.82,326.0355556,315.4555556,311.08,303.65,300.88,303.38,311.25,317.57,314.17,310.07,308.42,306.5633333,302.02,344.4772727,356.0172727,362.1666667,366.9572727,364.18,356.6955556,355.17,358.6,359.38,358.92,362.7355556,369.1555556,365.75,364.46,356.8955556,357.79,354.63,358.16,345.8755556,349.74,345.82,351.97,358.93,349.89,362.4755556,361.23,370.3855556,L7
2000-01-10 21:58:52+00:00,350.23,358.4233333,362.6633333,360.0385714,356.22,355.0785714,347.9885714,338.4985714,335.4188889,332.6588889,326.86,322.8,317.49,317.4,321.28,324.94,324.11,326.68,315.2585714,321.8233333,311.0785714,355.3727273,358.3827273,363.7066667,374.0727273,374.47,368.2988889,357.09,348.62,349.96,360.77,376.3188889,373.0688889,365,355.0485714,351.5588889,362.1585714,363.97,368.94,355.8088889,360.1285714,350.1985714,356.9,359.9,345.71,361.1388889,371.14,374.6188889,L7
2000-03-30 21:58:33+00:00,348.06,355.7766667,353.5066667,345.8957143,344.48,343.4157143,336.0557143,339.9757143,338.7611111,332.3311111,319.84,316.3,317.77,320.31,321.53,318.55,322.34,327.04,337.8257143,341.4366667,335.2457143,354.3063636,350.8763636,357.7633333,367.0463636,366.35,367.6211111,365.8,369.27,364.88,360.7,358.9811111,364.0111111,362.58,358.8057143,360.3611111,357.8657143,356.54,366.4,360.9311111,360.9857143,354.3957143,366.08,362.57,365.27,372.8911111,383.29,382.4311111,L7
2000-05-17 21:58:07+00:00,344.82,335.4566667,350.6566667,335.2385714,340.58,331.4685714,326.7385714,330.3385714,325.5311111,319.8111111,322.58,316.39,306.1,297.98,301.62,302.7,305.66,306.52,298.3585714,314.2266667,299.6185714,341.1981818,345.0681818,353.1333333,359.9181818,355.11,363.7511111,365.06,364.95,364.63,365.24,359.7711111,358.0311111,371.38,362.6385714,332.5111111,348.9185714,340.25,351.76,346.0711111,350.5585714,337.9785714,353.49,360.69,350.59,359.2311111,359.52,355.4311111,L7
2000-08-05 21:57:08+00:00,341.55,344.4166667,,,,,,,,,,,,,,,,,,,,354.8927273,341.9527273,342.4533333,349.2327273,349.55,355.5944444,344.69,349.67,354.19,355.24,364.5644444,364.7544444,357.11,354.86,355.9844444,353.64,345.54,352.37,345.0444444,338.15,332.09,348.51,348.72,362.12,357.0044444,368.44,366.0544444,L7
2000-08-21 21:57:02+00:00,355.43,372.1366667,366.9166667,357.8371429,347.33,338.9771429,340.9071429,343.7571429,343.0511111,340.2811111,347.8,346.86,336.24,319.48,306.79,307.2,320.13,345.73,346.6571429,352.3666667,360.4171429,344.4481818,345.4881818,358.5733333,358.4781818,347.2,357.6711111,358.55,365.89,370.99,369.26,371.7311111,355.5311111,350.02,358.5071429,363.9511111,369.1771429,378.68,383.41,368.0711111,355.3371429,347.0971429,355.41,,,,,,L7
2001-03-17 21:56:16+00:00,378.55,384.3366667,373.2666667,371.3185714,366.45,359.4485714,358.7285714,350.7585714,347.7311111,337.8211111,335.63,342.9,351.38,338.83,320.62,317.43,339.14,351.66,352.0185714,354.4666667,364.7685714,387.1945455,382.6545455,378.6333333,371.0245455,364.55,365.0211111,368.23,376.91,379.28,366.3,358.5411111,369.7511111,373.86,377.4185714,381.6911111,374.0285714,361.62,369.78,362.1511111,357.3685714,353.0785714,369.68,362.75,377.41,370.3411111,376.45,379.4611111,L7
2001-06-05 21:55:40+00:00,355.33,359.76,352.52,338.1242857,335.45,339.7142857,335.6842857,325.1642857,319.7333333,316.8633333,320.87,318.71,312.05,310.69,313.02,311.13,332.25,332.11,334.6842857,335.03,331.4442857,352.12,364.18,356.59,357.8,363.37,355.3833333,365.98,368.02,360.42,354.35,346.4533333,340.5733333,347.1,356.4342857,338.3633333,350.3942857,347.54,346.93,358.0733333,374.9542857,356.3942857,346.69,350.12,337.94,343.0333333,353.73,351.6133333,L7
2001-08-24 21:54:48+00:00,,,,306.5271429,308.68,,299.7771429,303.7471429,302.3,304.78,312.47,300.84,305.71,300.99,299.16,295.71,295.88,296.29,303.8071429,303.9,291.5771429,337.8827273,349.1927273,353.97,347.5127273,336.83,337.17,333.66,334.03,342.15,352.97,314.42,345.94,357.37,346.7871429,351.43,314.3471429,326.06,340.03,337.46,,,325.13,336.8,356.57,363.74,358.98,344.41,L7
2001-09-09 21:54:36+00:00,384.72,373.07,378,375.85,368.14,361.33,350.76,344.78,351.52,352.7,340.01,331.08,336.69,336.28,334.91,342.92,346.32,347.41,350.93,349.1,336.08,363.8354545,370.1754545,379.07,382.9354545,380.8,375.84,373.72,382.09,381.11,384.19,378.69,379.96,372.03,372.32,381.26,376.11,371.2,368.57,369.26,361.93,361.62,362.45,355.46,384.15,377.08,396.86,402.75,L7
