dates,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059,satname
1999-07-20 21:46:27+00:00,,364.7533333,357.445,362.955,366.5433333,369.5777778,366.5633333,373.705,380.2933333,381.7658824,393.0977778,393.875,401.5876923,407.4933333,406.4185714,399.4133333,391.4033333,394.9158824,393.455,393.8958824,389.315,394.8658824,390.7458824,388.6958824,394.5233333,379.985,397.4458824,406.1058824,405.3458824,393.1158824,398.575,398.845,388.3858824,367.355,378.305,371.4758824,373.1258824,378.8821053,382.4158824,378.9133333,365.195,352.1358824,354.9577778,366.312381,371.75,382.43,390.262381,383.642381,377.522381,374.012381,374.1121053,383.8421053,367.9477778,359.8158824,,351.07,359.5451852,360.27,361.0642857,356.5042857,L7
1999-08-21 21:46:33+00:00,357.0785714,351.2333333,354.15,354.38,355.5133333,358.5144444,368.6233333,366.55,372.7733333,375.7176471,378.0144444,381.54,390.9376923,402.3033333,387.4871429,384.8633333,384.3633333,388.1676471,381.36,380.3876471,378.23,383.4976471,383.5376471,385.5376471,386.5833333,385.66,386.6776471,396.4576471,396.5176471,399.1876471,,,389.9676471,382.87,380.9,373.9676471,370.2876471,367.1568421,368.1276471,379.3033333,374.24,372.7576471,364.9644444,358.9680952,367.32,378.41,396.0680952,376.1680952,368.2580952,,,,,,,,,,,,L7
1999-09-22 21:46:36+00:00,373.4542857,369.3,363.66,366.57,368.29,373.2333333,372.28,378.9,383.51,391.6111765,392.7833333,396.79,400.3692308,408.47,406.8485714,400.45,399.56,397.7411765,396.43,396.4311765,396.57,396.5511765,396.6311765,399.9211765,398.88,399.29,401.8411765,401.3811765,401.5811765,403.2911765,405.8,400.69,398.1211765,395.05,391.02,391.6211765,387.4311765,387.1242105,383.7111765,379.07,376.18,371.8011765,369.7633333,373.8657143,376.76,388.9,395.6457143,382.6857143,374.2157143,377.3057143,383.4342105,388.3842105,377.8733333,370.3611765,369.9242105,367.7,372.6055556,378.6154545,372.2942857,366.2642857,L7
1999-09-29 21:52:52+00:00,383.0342857,376.9033333,375.82,377.18,383.2833333,382.1944444,384.6933333,388.31,394.8033333,397.2988235,400.4444444,407.28,415.9915385,420.2233333,420.5985714,415.2133333,412.3033333,411.2588235,409.2,407.6788235,407.11,405.6488235,403.8188235,403.7788235,408.9833333,411.15,408.8588235,411.4588235,414.8788235,413.6388235,413.9,406.13,407.8588235,405.75,402.28,398.2088235,394.7288235,394.4447368,392.1088235,389.9233333,384.96,376.6288235,367.3744444,365.802381,368.32,386.89,397.392381,385.132381,377.432381,376.812381,388.0747368,393.4347368,380.3344444,370.5788235,375.3247368,372.44,380.182963,382.1354545,374.2142857,369.8842857,L7
1999-10-08 21:46:42+00:00,351.3971429,350.9133333,337.725,336.145,343.8033333,350.6244444,354.9633333,349.935,360.3233333,365.6541176,372.1944444,380.855,382.3315385,388.2733333,388.1342857,381.7733333,375.7933333,368.2941176,368.085,370.5441176,365.635,,362.9841176,372.8741176,370.7033333,380.335,384.7241176,386.5741176,385.1441176,391.0341176,384.615,376.985,378.6541176,376.695,376.875,368.1841176,363.0541176,362.0589474,365.0941176,364.0933333,353.855,353.7441176,355.7044444,347.3695238,361.45,363.47,378.3295238,370.9095238,363.8795238,354.4795238,367.1389474,377.3889474,368.3444444,366.6141176,,,,,,,L7
1999-10-15 21:52:49+00:00,,,,,374.4166667,377.4555556,378.9666667,384.25,387.8266667,390.5223529,398.5155556,402.82,412.1723077,415.4566667,414.5028571,414.4366667,405.1166667,402.0423529,404.05,402.6523529,402.43,401.6123529,402.4223529,404.8723529,406.2466667,406.79,408.1823529,410.4723529,409.9423529,412.9523529,414.22,410.8,405.2223529,401.44,398.48,396.1823529,395.0223529,390.6431579,392.6123529,386.6066667,379.32,373.8523529,368.8955556,370.1319048,377.23,382.41,392.2919048,374.9719048,363.9719048,363.0119048,374.5131579,385.9131579,370.7555556,370.4723529,360.6331579,364.36,365.5637037,369.2454545,365.3014286,364.5514286,L7
1999-10-24 21:46:32+00:00,372.5785714,367.48,362.795,365.815,368.1,361.1733333,371.79,376.725,380.91,383.0552941,394.0833333,396.395,400.1023077,407.05,405.5671429,399.09,399.69,401.3452941,397.565,397.8552941,395.435,394.8952941,393.1552941,396.7952941,399.86,401.085,401.1252941,400.7252941,404.9652941,406.0552941,408.835,406.355,400.5352941,394.965,392.115,391.2252941,388.2452941,387.5010526,386.1752941,384.78,379.405,375.9752941,372.1933333,366.6214286,373.85,384.15,394.0814286,383.6714286,380.0514286,381.7814286,391.6310526,396.1410526,383.1833333,376.8152941,372.3110526,372.72,376.2688889,385.5963636,374.2885714,372.6885714,L7
2000-01-12 21:46:30+00:00,,,,,,,,,,,388.13,397.835,394.3123077,405.63,404.5,402.79,401.01,392.3917647,394.835,393.5517647,394.525,392.4417647,393.3417647,392.8217647,389.72,395.395,400.5117647,405.0317647,404.0617647,404.6117647,403.165,,,,,345.5217647,382.5817647,385.1115789,383.4517647,,,,,,,,,,,,,,,,,,366.0366667,392.3672727,380.53,376.18,L7
2000-02-04 21:52:37+00:00,366.3657143,358.3433333,354.37,360.73,363.9333333,361.8244444,365.8433333,370.39,372.7533333,377.3705882,383.8844444,388.16,389.4653846,396.0733333,394.2514286,395.0533333,391.5233333,390.1105882,391.82,386.5905882,387.56,387.4705882,389.1805882,389.8305882,392.1633333,389.29,391.6205882,393.8405882,395.7205882,397.3005882,396.82,394.83,392.8905882,389.31,384.9,381.9605882,378.1305882,377.3610526,373.2705882,370.2633333,364.55,359.9405882,356.4844444,353.2809524,360.72,377.82,385.8909524,376.0509524,367.9809524,366.9909524,376.7610526,381.1710526,370.3744444,360.0005882,366.9510526,363.06,365.8262963,368.2336364,366.2457143,366.2757143,L7
2000-02-20 21:52:29+00:00,364.6385714,362.3733333,360.225,356.905,361.2833333,364.3011111,370.0833333,374.545,377.5833333,380.8705882,387.0311111,392.395,397.8515385,405.1933333,401.1371429,396.6633333,395.4733333,393.2005882,392.425,384.9705882,385.575,389.3105882,392.7605882,394.6705882,392.8733333,394.915,394.6705882,397.2905882,399.9105882,401.7505882,404.785,398.495,396.7705882,392.865,392.175,388.0405882,386.6605882,382.8694737,376.6705882,375.2933333,368.445,362.3305882,362.2011111,348.4580952,362.91,375.9,387.1780952,381.2880952,378.1080952,376.9680952,384.8194737,387.5794737,377.2811111,365.7905882,362.4594737,366.98,366.5740741,372.15,372.3885714,366.6085714,L7
