dates,nzd0240-0140,nzd0240-0141,nzd0240-0142,nzd0240-0143,nzd0240-0144,nzd0240-0145,nzd0240-0146,nzd0240-0147,nzd0240-0148,nzd0240-0149,nzd0240-0150,nzd0240-0151,nzd0240-0152,nzd0240-0153,nzd0240-0154,nzd0240-0155,nzd0240-0156,nzd0240-0157,nzd0240-0158,nzd0240-0159,nzd0240-0160,nzd0240-0161,nzd0240-0162,nzd0240-0163,nzd0240-0164,nzd0240-0165,nzd0240-0166,nzd0240-0167,nzd0240-0168,nzd0240-0169,nzd0240-0170,nzd0240-0171,nzd0240-0172,nzd0240-0173,nzd0240-0174,nzd0240-0175,nzd0240-0176,nzd0240-0177,nzd0240-0178,nzd0240-0179,nzd0240-0180,nzd0240-0181,nzd0240-0182,nzd0240-0183,nzd0240-0184,nzd0240-0185,nzd0240-0186,nzd0240-0187,nzd0240-0188,nzd0240-0189,nzd0240-0190,nzd0240-0191,nzd0240-0192,nzd0240-0193,nzd0240-0194,nzd0240-0195,nzd0240-0196,nzd0240-0197,nzd0240-0198,nzd0240-0199,nzd0240-0200,nzd0240-0201,nzd0240-0202,nzd0240-0203,nzd0240-0204,nzd0240-0205,nzd0240-0206,nzd0240-0207,nzd0240-0208,nzd0240-0209,nzd0240-0214,nzd0240-0215,nzd0240-0216,nzd0240-0217,nzd0240-0218,nzd0240-0219,nzd0240-0220,nzd0240-0221,nzd0240-0222,nzd0240-0223,nzd0240-0224,nzd0240-0225,nzd0240-0226,nzd0240-0227,nzd0240-0228,nzd0240-0229,nzd0240-0230,nzd0240-0231,nzd0240-0232,nzd0240-0233,nzd0240-0234,nzd0240-0235,nzd0240-0236,nzd0240-0237,nzd0240-0238,nzd0240-0239,nzd0240-0240,nzd0240-0241,nzd0240-0242,nzd0240-0243,nzd0240-0244,nzd0240-0245,nzd0240-0246,nzd0240-0247,nzd0240-0248,nzd0240-0249,nzd0240-0250,nzd0240-0251,nzd0240-0252,nzd0240-0253,nzd0240-0254,nzd0240-0264,nzd0240-0265,nzd0240-0266,nzd0240-0267,nzd0240-0268,nzd0240-0269,nzd0240-0270,nzd0240-0271,nzd0240-0272,nzd0240-0273,nzd0240-0274,nzd0240-0275,nzd0240-0276,nzd0240-0277,nzd0240-0278,nzd0240-0279,nzd0240-0280,nzd0240-0281,nzd0240-0282,nzd0240-0283,nzd0240-0284,nzd0240-0285,nzd0240-0286,nzd0240-0287,nzd0240-0288,nzd0240-0289,nzd0240-0290,nzd0240-0291,nzd0240-0292,nzd0240-0293,nzd0240-0294,nzd0240-0295,satname
1999-08-21 21:46:33+00:00,334.9676923,335.62,339.9385714,334.9,330.26,331.54,334.4585714,334.9185714,331.92,336.1,340,351.41,353.92,348.8185714,337.86,339.32,341.42,350.03,347.8785714,337.91,334.91,341.79,330.6485714,327.5585714,341.27,341.7285714,339.0185714,337.8685714,341.5685714,334.8485714,342.7585714,335.4285714,334.7385714,348.34,348.3885714,338.0685714,333.9085714,334.37,337.6366667,336.71,335.4766667,328.85,337.4666667,345.06,342.61,336.7331579,335.3166667,340.3885714,337.5066667,335.1966667,333.1566667,345.92,344.94,332.32,331.9085714,340.3,339.83,340.5885714,334.08,337.09,333.4885714,350.0866667,344.6885714,339.01,353.29,350.06,334.21,335.35,333.31,341.44,343.4885714,347.51,356.2666667,345.46,350.5166667,344.63,349.2985714,354.8685714,353.7685714,343.6685714,346.1185714,347.6866667,343.68,346.4566667,344.07,347.06,346.95,349.75,349.5885714,351.5385714,349.6166667,343.2985714,338.4066667,336.16,347.49,345.84,347.49,348.36,356.49,357.16,358.53,363.45,354.57,347.8,354.96,362.4585714,361.47,359.38,359.26,,,,,,,,,,,,,,386.4685714,385.39,392.4166667,382.3,377.0266667,371.0485714,376.16,375.2985714,383.5385714,383.96,388.93,381.93,386.1385714,376.97,372.0885714,368.6185714,373.1085714,364.2385714,362.7485714,363.4185714,371.3085714,L7
1999-09-22 21:46:36+00:00,366.5684615,343.19,354.8171429,354.27,352.08,352.72,361.1771429,353.1271429,341.79,346.17,361.04,363.39,365.09,366.5571429,357.59,352.83,364.88,365.78,354.3871429,353.08,344.81,363.59,362.0671429,354.8871429,350.54,347.3871429,349.8171429,353.3171429,361.5471429,365.9371429,370.6371429,358.0871429,354.5971429,354.69,356.0271429,352.0571429,344.1971429,361.37,356.4766667,326.56,352.1966667,350.97,355.2966667,349.99,355.69,356.2984211,356.5866667,351.4971429,342.9666667,348.9466667,353.3366667,357.35,345.35,356.89,347.5171429,354.51,357.96,360.4771429,349.58,353.64,351.1571429,356.3766667,360.8071429,364.9,359.76,351.42,351.31,340.35,328.67,353.96,371.5871429,362.19,353.6966667,366.25,364.0566667,355.86,365.0171429,356.9171429,364.1771429,372.8871429,366.3571429,363.0966667,352.61,371.5566667,358.27,372.03,365.5,360.45,364.9471429,368.7071429,363.5466667,365.9971429,367.2566667,350.47,352.6,361.6,363.53,368.64,365.3,376.41,375.42,368.84,369.41,372.07,376.64,365.5171429,384.81,379.01,380.12,384.08,373.2171429,382.9266667,374.9466667,388.52,,,389.48,395.04,404.23,393.14,400.0571429,407.2671429,406.4271429,409.12,408.6266667,390.67,385.5166667,391.1971429,385.68,384.6971429,392.8871429,388.09,399.85,409.13,395.5671429,383.05,383.1671429,368.2871429,369.8571429,379.6171429,382.1971429,372.3171429,377.3371429,L7
1999-09-29 21:52:52+00:00,365.9407692,365.2766667,371.6128571,361.8566667,370.8466667,367.8666667,360.4528571,359.1928571,368.67,374.84,374.4666667,377.1466667,377.2066667,369.6628571,366.7466667,363.68,360.42,365.67,366.6828571,356.61,378.22,368.25,368.6628571,365.5628571,366.6866667,362.8428571,370.5628571,367.0328571,365.5228571,365.1928571,364.3128571,373.9528571,350.7728571,368.4566667,371.0628571,360.3928571,370.1528571,369.7666667,352.3811111,351.96,350.0211111,368.4066667,356.7611111,359.95,356.55,360.37,357.8111111,361.1828571,350.4711111,352.0311111,357.1611111,360.88,368.23,365.1066667,370.0028571,364.76,360.19,363.6828571,375.9466667,362.58,366.2228571,359.4511111,375.6028571,369.18,363.76,359.72,372.69,372.9866667,374.24,365.9566667,377.4128571,378.0766667,366.2311111,366.25,367.4911111,380.81,366.6528571,372.8128571,368.6328571,378.3328571,371.1728571,358.9111111,363.13,367.6111111,389.41,377.91,371.88,366.42,382.7628571,377.6628571,369.3011111,379.4428571,369.1211111,382.0966667,371.61,372.95,370.26,381.05,382.9066667,378.42,380.27,374.37,373.9,390.9966667,378.64,380.0628571,388.79,393.8766667,395.6966667,389.89,387.7028571,386.6811111,371.7411111,373.08,,,376.27,,,,413.3928571,414.4228571,410.8828571,408.7,398.9011111,399.98,389.9711111,404.0028571,402.1766667,402.0128571,402.0528571,403.69,406.41,412.74,411.1628571,402.3966667,392.8628571,384.6328571,381.3128571,386.9228571,390.3328571,386.2928571,389.8428571,L7
1999-10-24 21:46:32+00:00,347.8646154,346.41,345.1942857,342.69,339.33,345.22,345.1542857,350.6542857,347.73,351.7,352.52,359.51,356.87,357.4042857,356.24,353.01,352.66,343.83,339.1442857,346.86,348.93,351.52,359.6442857,357.2942857,343.82,345.8642857,345.1942857,339.5542857,344.0542857,355.5642857,355.9242857,347.2342857,343.9842857,349.54,356.5242857,352.9842857,347.4842857,337.77,337.7966667,345.67,350.0266667,343.89,349.2266667,351.68,349.21,349.5521053,349.1266667,332.2642857,343.4366667,348.9966667,347.9566667,351.67,351.92,345.66,343.1942857,345.71,357.24,356.3042857,349.2,351.44,344.0242857,342.9466667,350.5842857,347.09,341.28,351.16,350.13,348.97,345.06,354.64,352.6542857,348.43,357.5866667,365.27,368.7266667,360.82,355.2442857,355.0942857,360.4842857,357.0242857,358.6542857,362.2366667,360.28,363.7866667,359.83,354,351.6,359.71,360.5142857,357.1442857,364.4066667,359.9042857,367.3566667,361.13,355.78,352,358.47,355.88,356.32,365.52,365.27,366.73,370.87,369.57,374.5,374.4242857,374.04,376.84,374.18,376.17,378.7142857,377.9566667,374.3566667,377.71,382.3942857,,385.95,389.47,390.83,399.98,400.4242857,395.5242857,396.6042857,393.53,386.5066667,387.35,393.1066667,389.2842857,387.29,384.0542857,388.2042857,387.1,396.28,395.99,397.2042857,386.67,370.4642857,361.9642857,364.6442857,370.0942857,372.5942857,371.9842857,381.3242857,L7
2000-01-12 21:46:30+00:00,370.4146154,365.91,361.34,360.87,363.5,361.64,355.7,355.97,357.77,365.99,367.57,366.61,365.29,359.55,355.25,356.26,347.02,350.03,352.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.35,358.35,354.66,356.14,363.99,361.72,364.25,373.6,371.68,365.78,356.36,368.8,358.98,362.22,360.45,362.51,369.07,377.5,382.08,369.87,370.68,373.78,380.36,379.98,375.1,384.68,381.63,384.17,388.16,381.1,381.14,379.75,381.44,386.85,389.06,,382.34,390.8,396.98,405.71,402.26,410.7,410.72,395.45,380.55,375.32,384.17,,,,,,,,,,,,,,,,,L7
2000-02-04 21:52:37+00:00,354.7884615,351.0466667,348.9585714,346.6466667,343.8066667,343.5066667,348.0185714,341.8385714,349.24,341.4,349.5566667,352.5066667,347.4366667,348.3785714,346.8766667,353.52,344.54,343.9,342.3185714,343.62,349.34,350.71,349.0085714,343.4485714,349.3666667,354.2285714,348.7685714,344.9685714,348.0985714,344.5885714,347.4185714,344.7985714,345.2285714,348.8966667,341.5485714,347.2285714,347.3985714,357.0966667,353.0511111,353.23,342.8011111,343.6966667,344.6911111,340.3,345.75,345.0026316,348.1511111,345.3285714,348.2511111,346.1711111,343.1911111,341.99,338.05,341.7566667,337.2785714,341.36,342.83,338.4385714,346.4666667,347.21,351.0085714,341.8011111,347.7385714,345.56,348.55,354.18,357.41,350.5866667,345.09,340.1866667,359.8785714,370.4266667,369.0111111,360.86,361.8411111,363.63,361.4085714,352.9185714,357.7485714,359.8985714,362.3085714,359.7511111,357.07,351.7311111,350.66,356.87,354.25,355.83,358.3985714,353.2485714,353.5911111,347.3885714,348.4711111,347.7866667,353.98,350.87,350.4,360.92,357.7766667,363.96,361.25,364.61,368.47,363.9666667,360.3,370.7385714,368.8,364.5566667,366.6266667,370.9,370.4185714,371.1511111,364.5111111,367.63,374.8685714,,374.34,394.39,388.87,397.18,395.0585714,396.3785714,392.3785714,392.32,389.0111111,387.91,379.8311111,382.2485714,380.5566667,385.2185714,379.0485714,384.56,387.13,395.38,398.9585714,386.2466667,372.1385714,365.5985714,361.2085714,355.5785714,366.8585714,371.5685714,373.5885714,L7
2000-02-20 21:52:29+00:00,362.6907692,363.4566667,359.44,361.6966667,360.0666667,360.3766667,355.01,356.13,361.65,361.3,356.5766667,365.0866667,363.5966667,353.7,360.7366667,356.75,360.67,354.21,353.26,351.92,360.64,359.32,362.33,363.68,360.7266667,353.37,356.98,357.58,354.75,352.23,358.47,351.85,354.89,358.4366667,350.41,345.13,355.47,360.5166667,349.1944444,354.68,340.9944444,353.0066667,346.8144444,346.96,341.91,350.2494737,348.9444444,350.97,355.2144444,352.0244444,350.4044444,348.45,352.72,,,,348.78,349.73,365.8966667,360.28,,,,362.53,357.63,356.53,369.57,364.9266667,363.5,354.2766667,371.06,374.4266667,372.1044444,370.76,361.9744444,369.88,366.34,362.76,363.88,367.15,365.38,360.1744444,367.01,359.9044444,369.05,361.41,364.49,354.94,361.32,365.69,355.2744444,363.56,359.2944444,,,363.12,362.59,369.62,375.8966667,373.36,372.95,368.96,377.05,380.2966667,374,379.55,382.46,387.9566667,385.0166667,380.99,380.9,381.3144444,367.7044444,376.28,370.89,,367.87,,,,405.36,406.83,400.62,403.84,395.5144444,400.41,388.5944444,395.09,397.4966667,399.31,392.11,397.88,399.61,406.59,407.65,390.8466667,381.48,370.98,365.95,363.49,375.41,376.02,380.39,L7
2000-03-16 21:46:15+00:00,352.9192308,353.78,358.7157143,357.13,352.27,350.03,350.5357143,348.7157143,348.6,350.27,357.49,352.54,352.98,360.2457143,356.73,349.33,344.46,356.69,352.8057143,350.23,338.94,356.51,355.9257143,352.7957143,345.11,348.8257143,344.1257143,351.6357143,362.0657143,352.2757143,347.4557143,357.8757143,362.1757143,348.32,346.2657143,354.0457143,351.2257143,340.38,353.5466667,350.18,351.1166667,348.57,353.5366667,341.36,342.48,347.8836842,347.5066667,342.9157143,349.3766667,349.0266667,349.3166667,345.5,346.03,335.85,340.6257143,350.67,344.32,347.1857143,348.66,357.54,349.6457143,354.1266667,339.8157143,358.78,352.21,354.44,345.36,346.76,347.69,350.14,358.1957143,357.92,368.8866667,369.09,364.3366667,356.58,357.9057143,354.8157143,358.9557143,355.6457143,353.0857143,356.9166667,361.96,361.7766667,343.16,357.5,361.79,356.33,352.6257143,357.7757143,359.1766667,346.5157143,343.9466667,346.35,348.62,355.05,360.23,365.11,358.95,361.76,361.46,363.89,364.29,360.2,371.35,364.3757143,366.28,362.12,360.32,364.89,366.6957143,382.3866667,371.7866667,376.22,406.4757143,406.68,430.54,422.24,411.64,405.61,404.7557143,394.8157143,391.6257143,386.19,387.4966667,385.02,388.5866667,375.3057143,374.37,374.8157143,389.9357143,391.34,398.24,401.21,392.6957143,389.91,382.4557143,369.0857143,361.1857143,354.7757143,369.6657143,371.1757143,372.6657143,L7
2000-05-03 21:45:55+00:00,354.0238462,353.8966667,353.3414286,356.3666667,356.8666667,354.0866667,357.4714286,354.6914286,353.29,351.48,358.5066667,354.5366667,360.4166667,358.5214286,352.3666667,350.99,350.17,346.31,354.7114286,355.4,354.01,360.91,363.2514286,362.6814286,359.4466667,358.2014286,358.5214286,359.9914286,358.6514286,355.5014286,353.5614286,350.9514286,351.7614286,356.5466667,354.7114286,350.4414286,351.1714286,358.2466667,357.1977778,355.05,349.9277778,350.0466667,350.7477778,349.43,346.87,347.28,347.8377778,353.1614286,354.1677778,356.2777778,348.3777778,355.69,353.38,349.5066667,345.8314286,343.93,354.22,351.8914286,351.4966667,357.58,359.1014286,357.8477778,359.7414286,363.04,364.51,359.66,355.48,349.0766667,353.26,353.7066667,367.4014286,367.5166667,368.1077778,366.54,370.7077778,357.97,353.7014286,356.0914286,360.5814286,355.6214286,360.8514286,361.3077778,358.17,355.9877778,359.28,356.99,365.82,366.05,360.5714286,366.0714286,363.4177778,360.1014286,353.2277778,357.5666667,356.47,358.57,363.93,367.62,372.2266667,369.21,364.5,374.05,372.89,370.9766667,376.38,373.8514286,374.86,376.7366667,376.9466667,374.76,377.3514286,387.5277778,381.3277778,384.77,381.1114286,,,392.22,404.13,401.1,406.7414286,397.9714286,400.2414286,392.58,395.7877778,388.81,392.2177778,385.1514286,387.8666667,385.2614286,393.5214286,395.11,398.49,395.78,395.7014286,384.7666667,375.7514286,366.1714286,363.6314286,361.8514286,366.8414286,370.1814286,376.6614286,L7
2000-05-26 21:51:48+00:00,363.0353846,362.4733333,371.2271429,370.2133333,370.9533333,371.2933333,363.4271429,370.0471429,355.76,359.91,356.4433333,361.4433333,367.0833333,361.4671429,358.8633333,355.45,360.55,365.01,369.5971429,366.56,374.05,377.53,373.7971429,375.9071429,371.4933333,374.6471429,372.4671429,370.8971429,365.5471429,365.8471429,363.3471429,369.5271429,367.3871429,365.5833333,363.5771429,359.5571429,368.1571429,365.8533333,360.5355556,355.42,360.3655556,348.6933333,361.3555556,358.25,356.36,362.8742105,365.2955556,364.9071429,357.3055556,362.3855556,352.8655556,358.47,357.22,351.8033333,356.0771429,362.43,361.76,358.6571429,355.4933333,359.08,359.8471429,360.7255556,356.5771429,364.43,366.87,,,,,,,,,,376.3855556,371.41,377.0071429,376.0671429,372.0171429,372.9971429,372.1871429,368.3055556,362.13,370.3355556,367.79,368.69,374.2,367.87,370.1271429,366.3971429,367.5955556,363.6171429,370.0655556,364.4933333,371.25,378.9,377.35,383.74,381.0033333,375.61,387.03,381.73,386.84,385.2033333,384.81,388.3371429,393.66,390.9833333,387.8933333,394.79,390.4671429,,,,,,,,,,,405.4971429,411.1571429,409.53,403.0555556,400.28,399.0655556,391.7971429,393.9833333,393.7971429,399.4271429,399.59,405.68,409.56,403.1971429,398.9633333,386.7871429,377.2571429,374.7371429,378.8471429,381.4971429,385.4571429,385.8871429,L7
