dates,nzd0277-0015,nzd0277-0016,nzd0277-0017,nzd0277-0018,nzd0277-0019,nzd0277-0020,nzd0277-0021,nzd0277-0022,nzd0277-0023,nzd0277-0024,nzd0277-0025,nzd0277-0026,nzd0277-0027,nzd0277-0028,nzd0277-0029,nzd0277-0030,nzd0277-0031,nzd0277-0032,nzd0277-0033,nzd0277-0034,nzd0277-0035,nzd0277-0036,nzd0277-0037,nzd0277-0038,nzd0277-0039,nzd0277-0040,nzd0277-0041,nzd0277-0042,nzd0277-0043,nzd0277-0044,nzd0277-0045,nzd0277-0046,nzd0277-0047,nzd0277-0048,nzd0277-0049,nzd0277-0050,satname
1999-07-09 22:05:23+00:00,334.8,333.8192308,331.1992308,327.7518182,328.4718182,323.2892308,325.1692308,325.0592308,320.81,320.5992308,311.895,301.1794737,296.42,310.4209091,322.1994118,338.2666667,344.6709091,347.14,347.6494118,341.82,330.8609091,326.6294118,318.48,316.53,322.0594118,328.735,327.3194118,317.2194118,302.895,287.9394118,285.5794118,282.565,276.4194118,277.5066667,280.6466667,285.01,L7
1999-07-25 22:05:27+00:00,332.15,328.5761538,324.9161538,321.7527273,316.9027273,306.2761538,307.8861538,311.7161538,310.11,306.5961538,303.955,290.5684211,291.7,302.4963636,314.72,334.6466667,334.2763636,337.3671429,341.53,330.87,326.8963636,323.16,319.21,314.2,319.53,326.325,322.43,318.14,299.265,281.12,282.56,270.185,269.3,272.1366667,277.0866667,287.66,L7
1999-08-26 22:05:32+00:00,337.4166667,335.4884615,337.1184615,333.4145455,329.9245455,324.3684615,324.4984615,324.1984615,321.1466667,316.5884615,308.31,297.8268421,292.1,311.8372727,321.4405882,337.9255556,337.1272727,341.3833333,344.2305882,338.25,336.2772727,329.0705882,324.9466667,323.1766667,326.2105882,335.56,326.3405882,322.0405882,303.81,283.4205882,285.7405882,281.41,283.0305882,282.8055556,292.2755556,303.3166667,L7
1999-09-27 22:05:36+00:00,,332.7969231,329.5169231,327.7490909,323.5590909,316.7069231,309.8969231,315.2169231,313.5266667,316.8469231,301.905,286.0310526,290.71,306.4945455,320.6876471,333.4922222,333.7145455,335.787619,338.7476471,329.24,324.7345455,328.1576471,323.8866667,319.1766667,322.9476471,329.585,325.1676471,315.3776471,300.405,286.1576471,288.4276471,280.615,272.8576471,275.2522222,278.9022222,294.1566667,L7
1999-10-13 22:05:36+00:00,325.6033333,321.5653846,320.9353846,319.2081818,313.5481818,308.2253846,305.2653846,309.4053846,304.3133333,302.8953846,293.085,285.0863158,283.43,304.3890909,313.1088235,330.6377778,333.3390909,333.7452381,339.5388235,327.73,321.6290909,319.7688235,313.5033333,310.3433333,315.9788235,321.785,316.5188235,308.4588235,291.885,279.9688235,277.0988235,272.335,267.0788235,267.3877778,275.7977778,286.2933333,L7
1999-11-30 22:05:23+00:00,322.9266667,320.1738462,,303.9327273,304.7727273,296.0838462,298.0538462,301.3838462,298.2666667,300.6938462,288.745,282.9078947,267.95,290.0663636,299.9323529,311.3755556,325.0463636,326.7604762,329.5223529,321.53,320.0263636,313.9923529,306.2766667,306.2566667,314.0123529,326.775,312.6423529,306.6923529,293.715,278.0323529,281.0123529,261.805,261.5423529,262.6655556,269.7055556,282.1566667,L7
1999-12-09 21:59:21+00:00,338.23,336.0469231,333.9369231,331.5418182,324.4718182,314.1569231,314.5669231,317.8269231,308.76,301.1569231,296.405,290.8042105,293.71,306.1709091,321.8988235,337.9133333,331.7709091,338.4114286,334.7688235,330.03,328.9209091,323.2788235,320.33,314.97,317.7488235,327.425,324.9788235,309.2088235,297.225,284.5988235,284.7988235,275.015,273.6588235,274.5233333,281.8633333,288.58,L7
1999-12-25 21:59:16+00:00,335.4166667,331.1584615,325.7984615,324.2227273,320.8927273,313.3184615,315.7984615,316.0384615,305.6166667,308.0084615,297.78,289.5663158,294.6,307.4663636,322.7141176,338.1288889,339.4963636,344.9247619,342.8041176,319.97,314.3163636,319.8441176,316.6066667,306.3666667,316.8041176,325.06,327.1841176,315.6641176,298.31,286.9641176,288.4541176,282.02,272.5741176,274.8488889,284.1388889,290.6466667,L7
2000-01-10 21:59:16+00:00,334.43,329.8369231,327.4569231,325.75,323.21,314.3269231,315.1169231,317.7769231,313.09,310.1569231,300.175,295.7536842,295.04,311.86,321.0523529,334.7766667,337.11,340.2028571,336.8723529,333.58,333.46,329.5223529,322.14,316.55,316.6823529,327.545,327.7623529,316.2923529,301.695,286.7423529,286.1023529,279.225,275.1423529,274.7166667,281.3566667,292.06,L7
2000-01-26 21:59:14+00:00,340.25,337.7546154,332.2746154,348.7345455,346.5545455,329.3846154,322.1246154,320.3446154,323.46,336.2746154,306.275,305.2968421,298.22,320.5772727,334.1423529,341.5933333,342.7272727,352.8685714,345.0323529,338.45,334.0672727,336.0123529,337,330.21,334.9623529,335.835,338.8323529,324.0423529,324.875,294.6023529,288.5523529,300.895,293.2523529,290.7533333,289.5333333,294.46,L7
