dates,nzd0295-0000,nzd0295-0001,nzd0295-0002,nzd0295-0003,nzd0295-0004,nzd0295-0005,nzd0295-0006,nzd0295-0007,nzd0295-0008,nzd0295-0009,nzd0295-0010,nzd0295-0011,nzd0295-0012,nzd0295-0013,nzd0295-0014,nzd0295-0015,nzd0295-0016,nzd0295-0017,nzd0295-0018,nzd0295-0019,nzd0295-0020,nzd0295-0021,nzd0295-0022,nzd0295-0023,nzd0295-0024,nzd0295-0025,nzd0295-0026,nzd0295-0027,nzd0295-0028,nzd0295-0029,nzd0295-0030,nzd0295-0031,nzd0295-0032,nzd0295-0033,nzd0295-0034,nzd0295-0035,nzd0295-0036,nzd0295-0037,nzd0295-0038,nzd0295-0039,nzd0295-0040,nzd0295-0041,nzd0295-0042,nzd0295-0043,nzd0295-0044,nzd0295-0045,nzd0295-0046,nzd0295-0047,nzd0295-0048,nzd0295-0049,nzd0295-0050,nzd0295-0051,nzd0295-0052,nzd0295-0053,nzd0295-0054,nzd0295-0055,nzd0295-0056,nzd0295-0057,nzd0295-0058,nzd0295-0059,nzd0295-0060,nzd0295-0061,nzd0295-0062,nzd0295-0063,nzd0295-0064,nzd0295-0065,nzd0295-0066,nzd0295-0067,nzd0295-0068,nzd0295-0069,nzd0295-0070,nzd0295-0071,nzd0295-0072,nzd0295-0073,nzd0295-0074,nzd0295-0075,nzd0295-0076,nzd0295-0077,nzd0295-0078,nzd0295-0079,nzd0295-0080,nzd0295-0081,satname
1999-08-05 21:47:23+00:00,,,,,345.1744444,335.3144444,320.4844444,327.49,329.0844444,332.93,337.0444444,342.71,348.35,349.5844444,357.1244444,350.79,344.95,,,349.29,354.6844444,354.79,359.2444444,363.59,361.0344444,347.05,,,,,,343.33,346.17,340.1844444,341.62,343.7042857,355.83,366.8544444,371.0244444,367.72,364.17,357.7144444,367.34,373.26,381.0144444,381.93,380.1944444,374.54,364.7066667,387.89,385.9944444,381.43,366.16,366.06,370.5,370.4244444,371.0044444,372.2344444,369.98,360.6644444,351.5944444,349.41,341.5,331.4042857,345.6542857,334.9242857,340.48,339.14,328.4442857,335.6042857,326.7242857,338.5,334.88,320.0744444,316.4144444,312.59,304.44,297.28,315.9544444,315.43,317.91,325.71,L7
1999-08-12 21:53:08+00:00,370.8533333,377.7114286,371.49,358.2033333,345.8633333,342.3933333,341.8633333,342.92,346.9733333,350.92,359.7633333,360.57,365.32,372.1533333,379.1033333,374.66,376.86,373.45,369.6333333,370.92,373.1333333,373.24,376.8833333,376.46,376.5933333,380.34,388.4333333,392.7333333,385.1414286,382.8133333,377.8133333,378.72,373.78,364.9733333,369.82,373.8314286,374.64,383.4633333,374.5733333,369.76,371.84,372.2833333,381.29,399.4,402.6133333,397.99,394.5033333,389.05,389.83,398.28,405.4733333,395.3,382.21,377.34,380.88,382.1333333,381.4833333,388.0433333,388.03,368.9333333,355.0033333,352.39,357.16,370.5714286,372.1314286,372.5814286,360.85,343.3,348.0214286,350.5814286,353.8914286,356.34,344.69,335.4433333,332.8133333,330.27,324.77,332.72,333.3133333,336.3,334.02,340.22,L7
1999-08-21 21:47:20+00:00,373.3433333,376.31,363.95,358.9633333,353.5733333,344.3733333,335.8733333,337.8,341.0233333,347.66,351.5633333,358.87,365.84,372.4833333,376.3233333,375.31,376.49,373.82,370.2133333,371.65,365.6133333,367.88,372.5633333,372.35,380.9933333,382.93,385.0533333,388.7533333,388.62,382.5733333,381.0033333,377.15,373.44,364.8033333,369.16,368.12,373.98,373.9233333,370.0333333,372.91,371.4,375.7133333,393.2,395.24,400.0833333,396.84,386.9833333,384.78,380.99,398.31,393.8333333,389.56,375.9,371.7,380.08,382.1433333,385.1733333,389.1833333,386.36,368.8833333,351.9833333,355.34,359.26,356.86,365.68,368.46,361.76,343.12,343.55,346.84,346.04,356.02,349.97,337.3733333,335.5233333,330.32,323.12,321.39,329.4533333,336.89,332.56,337.63,L7
1999-09-22 21:47:24+00:00,367.6866667,378.7585714,365.7,361.0966667,360.6766667,344.4366667,349.6266667,348.62,345.3966667,352.14,350.4166667,357.22,361.7,369.9366667,376.1866667,376.73,373.45,368.05,372.5766667,367.45,369.1366667,367.97,372.3066667,373.72,373.7366667,384.01,383.7566667,383.7466667,377.9485714,367.1466667,370.4166667,393.47,383.67,379.3966667,371.96,372.7185714,371.87,371.6366667,372.2066667,384.27,394.95,390.5466667,393.01,397.23,387.8366667,386.56,388.2366667,398.37,386.31,389.63,388.3466667,392.44,381.77,377.56,373.5,376.2166667,377.6366667,377.2166667,364.19,365.6566667,358.1866667,364.71,372.23,366.7785714,360.3185714,358.2285714,364.49,348.37,346.6985714,345.0785714,334.8485714,352.01,359.82,353.0066667,340.4566667,314.35,315.53,338.81,353.3166667,349.05,343.21,345.85,L7
1999-09-29 21:53:40+00:00,367.4633333,380.9757143,372.2,362.7333333,360.5933333,353.7033333,340.4733333,346.2,343.0633333,343.43,349.2333333,356.89,359.11,365.2933333,372.5433333,369.42,368.77,365.24,368.1133333,366.53,368.7233333,374,370.8433333,377.48,379.4433333,379.96,379.1333333,388.8033333,383.7557143,377.1733333,378.3033333,379.32,379.18,371.6933333,374.41,372.1757143,370.78,361.0433333,371.0233333,374.2,378.94,387.0033333,382.94,390.92,391.4333333,389.75,392.0733333,390.86,386.94,393.24,390.7033333,384.13,380.9,381.59,382.44,383.7733333,383.9833333,381.3733333,381.56,373.8833333,366.3033333,368.92,364.33,360.7757143,363.5157143,354.3657143,354.21,348.87,342.7157143,345.5957143,340.6457143,353.18,352.69,345.5833333,328.9533333,323.29,325.69,326.98,334.7433333,337.22,337.84,344.09,L7
1999-10-24 21:47:20+00:00,374.1377778,382.3757143,378.5,381.0277778,380.5877778,377.6077778,375.1777778,368.3,372.7277778,378.07,384.3177778,380.47,392.17,394.6377778,399.6677778,403.12,401.42,385.87,388.7977778,383.7,387.5277778,376.54,384.7777778,385.1,392.0377778,395.46,400.6277778,405.9377778,394.7957143,391.4577778,386.3577778,384.77,381.16,374.0277778,369.77,371.2357143,373.81,374.9877778,390.1377778,410.89,413.5,406.6477778,405.93,398.56,397.8377778,399.34,396.6777778,411.26,405.6466667,403.73,395.8077778,397.13,399.54,386.58,386.03,395.8677778,392.4577778,388.0677778,388.47,387.5377778,388.2477778,383.75,376.06,368.9257143,369.0357143,370.5157143,369.2,358.72,364.6357143,366.2757143,369.0557143,372.83,382.74,380.7977778,360.4877778,346.51,342,349.1,351.3677778,350.27,353.43,352.84,L7
1999-10-31 21:53:08+00:00,374.0822222,387.9742857,384.65,371.0822222,369.2422222,367.1622222,379.2922222,384.7,386.1922222,381.93,386.7522222,383.7,379.5,382.5222222,389.2922222,388.48,380.36,377.19,378.3122222,376.1,375.9122222,382.62,388.1522222,395.83,396.4622222,409.81,409.5122222,416.8122222,407.8342857,392.8822222,386.1122222,380.05,377.64,375.7222222,378.1,384.9842857,379.96,378.3422222,385.3522222,388.97,399.79,405.8922222,400.67,401.52,405.3622222,404.23,407.3522222,408.4,402.5233333,404.89,401.0422222,399.4,396.53,391.85,394.21,392.4222222,391.3922222,391.5922222,388.26,386.5422222,378.3622222,378.9,374.37,372.0942857,368.5742857,368.6842857,366.51,362.14,362.6442857,366.2642857,360.8042857,364.32,361.59,356.6322222,350.0622222,346.07,346.98,345.06,343.5622222,347.1,354.97,358.82,L7
1999-11-16 21:53:32+00:00,388.7977778,394.79,386.19,377.8077778,372.4277778,369.7577778,372.5077778,378.21,375.8677778,379.1,382.4777778,385.05,392.96,396.9477778,404.6577778,406.27,399.87,390.75,388.6377778,385.82,383.9577778,383.73,381.4777778,388.87,395.1377778,398.84,403.3277778,410.7077778,411.17,399.8277778,395.6177778,394.09,389.17,389.2677778,387.08,387.75,385.98,390.5077778,394.5977778,392.44,396.52,394.3877778,395.4,400.06,405.9977778,417.41,416.9677778,414.53,399.1466667,398.88,397.2377778,392.17,389.76,387.86,388.8,396.9377778,393.4077778,398.6577778,396.64,392.0077778,387.6677778,385.56,373.99,370.78,370.07,379.31,373.82,369.86,363.16,373.87,380,381.01,380.85,367.6277778,366.4077778,347.87,345.72,350.43,344.8477778,354.46,362.07,365.55,L7
2000-01-19 21:53:25+00:00,366.8633333,375.6914286,382.05,373.5733333,366.9133333,359.8533333,367.7733333,362.41,346.0933333,354.22,365.8833333,366.67,368.52,364.5033333,366.9633333,367.58,369.84,370.97,359.9533333,361.65,363.1833333,358.89,365.9933333,365.78,376.1733333,397.09,395.9133333,394.0933333,377.7814286,384.9933333,379.5533333,365.53,367.67,378.2333333,386.5,388.0614286,384.59,385.1333333,377.6533333,382.53,369.57,369.6433333,385.74,396.94,396.8933333,391.52,396.0933333,395.43,393.1,394.36,395.2233333,379.75,375,385.08,375.07,375.8333333,381.9633333,378.6133333,380.65,377.8033333,378.0933333,391.25,387.32,373.3214286,377.5214286,372.0714286,372.43,366.69,358.8614286,358.4314286,348.1714286,354.71,352.28,343.0033333,335.2433333,336.37,337.24,333.49,341.4233333,334.72,337.85,336.75,L7
2000-02-20 21:52:53+00:00,370.9377778,379.3642857,386.1,373.6977778,365.0277778,360.2877778,358.1277778,348.46,358.0977778,360.49,358.3677778,360.95,363.05,374.3577778,380.7877778,378.25,372.25,373.17,373.4877778,378.3,369.5777778,369.35,374.0877778,376.58,380.3077778,380.79,385.6377778,392.1877778,382.6442857,379.9477778,371.4577778,372.44,370.24,367.2177778,371.16,376.2242857,389.37,389.4377778,386.5577778,369.13,365.17,386.1477778,395.4,398.42,396.6977778,396.42,398.3477778,396.04,392.2666667,391.98,385.3677778,381.02,376.11,379.07,379.24,384.6377778,384.1377778,386.5377778,385.15,377.7477778,374.2177778,375.05,371.94,372.5542857,373.9542857,376.2642857,357.18,354.98,367.7542857,369.1242857,368.4142857,368.31,356.82,352.9377778,347.4177778,340.65,343.49,345.25,348.0077778,340.14,345.93,348.39,L7
