dates,nzd0315-0100,nzd0315-0101,nzd0315-0102,nzd0315-0103,nzd0315-0104,nzd0315-0105,nzd0315-0106,nzd0315-0107,nzd0315-0108,nzd0315-0109,nzd0315-0110,nzd0315-0111,nzd0315-0112,nzd0315-0113,nzd0315-0114,nzd0315-0115,nzd0315-0116,nzd0315-0117,nzd0315-0118,nzd0315-0119,nzd0315-0120,nzd0315-0121,nzd0315-0122,nzd0315-0123,nzd0315-0124,nzd0315-0125,nzd0315-0126,nzd0315-0127,nzd0315-0128,nzd0315-0129,nzd0315-0130,nzd0315-0131,nzd0315-0132,nzd0315-0133,nzd0315-0134,nzd0315-0135,nzd0315-0136,nzd0315-0137,nzd0315-0138,nzd0315-0139,nzd0315-0140,nzd0315-0141,nzd0315-0142,nzd0315-0143,nzd0315-0144,nzd0315-0145,nzd0315-0146,nzd0315-0147,nzd0315-0148,nzd0315-0149,nzd0315-0150,nzd0315-0151,nzd0315-0152,nzd0315-0153,nzd0315-0154,nzd0315-0155,nzd0315-0156,nzd0315-0157,nzd0315-0158,nzd0315-0159,nzd0315-0160,nzd0315-0161,nzd0315-0162,nzd0315-0163,nzd0315-0164,nzd0315-0165,nzd0315-0166,nzd0315-0167,nzd0315-0168,nzd0315-0169,nzd0315-0170,nzd0315-0171,nzd0315-0172,nzd0315-0173,nzd0315-0174,nzd0315-0175,nzd0315-0176,nzd0315-0177,nzd0315-0178,nzd0315-0179,nzd0315-0180,nzd0315-0181,nzd0315-0182,nzd0315-0183,nzd0315-0184,nzd0315-0185,nzd0315-0186,nzd0315-0187,nzd0315-0188,nzd0315-0189,nzd0315-0190,nzd0315-0191,nzd0315-0192,nzd0315-0193,nzd0315-0194,nzd0315-0195,nzd0315-0196,nzd0315-0197,nzd0315-0198,nzd0315-0199,nzd0315-0200,nzd0315-0201,nzd0315-0202,nzd0315-0203,nzd0315-0204,nzd0315-0205,nzd0315-0206,nzd0315-0207,nzd0315-0208,nzd0315-0209,nzd0315-0210,nzd0315-0211,nzd0315-0212,nzd0315-0213,nzd0315-0214,nzd0315-0215,nzd0315-0216,nzd0315-0217,nzd0315-0218,nzd0315-0219,nzd0315-0220,nzd0315-0221,nzd0315-0222,nzd0315-0223,nzd0315-0224,nzd0315-0225,nzd0315-0226,nzd0315-0227,nzd0315-0228,nzd0315-0229,nzd0315-0230,satname
1999-08-12 21:53:32+00:00,357.17,352.8,348.4766667,344.68,353.75,355.21,356.33,356.42,364.47,346.35,344,343.2,339.87,344.01,341.68,343.26,345.61,347.14,353.72,345.77,351.47,364.94,362.04,353.04,356.51,347.12,355.09,340.5966667,345.37,343.82,339.6,340.2,340.41,348.8,346.03,337.97,333.77,322.02,329.86,328.03,339.76,353.08,352.6,363.04,369.52,370.22,373.81,376.24,369.45,371.83,374.3,373.59,363.97,365.68,359.66,355.61,356.41,353.4,354.63,349.32,345.47,338.33,330.59,331.45,345.13,353.14,345.96,339.19,341.97,354.68,348.11,359.5,358.13,355.7866667,351.6627273,357.3766667,354.0566667,359.6666667,355.8366667,356.0027273,373.54,368.19,376.98,375.23,381.97,373.44,371.63,371.82,366.74,369.47,360.67,359.42,,360.02,,,359.65,,,362.84,364.7,366.91,360.85,352.53,358.44,356.87,350.51,349.42,360.5,351.5,356.34,348.75,355.12,360.28,355.33,346.51,340.72,350.11,347.96,346.72,346.21,346.76,347.85,348.96,343.08,343.16,328.54,340.12,331.47,352.78,330,L7
1999-11-16 21:53:32+00:00,366.49,360.0742857,353.2944444,353.44,343.3266667,336.8,338.94,332.37,333.9,343.0766667,337.0766667,337.2366667,338.6642857,337.9866667,342.4942857,342.3642857,339.4966667,343.4366667,334.8,339.9342857,341.2766667,340.48,343.08,351.2566667,349.1966667,352.3642857,345.7166667,343.7344444,335.3642857,337.8666667,330.5766667,328.8866667,326.15,322.9,320.95,324.8,317.95,322.0566667,331.7666667,339.9,341.1242857,339.78,347.1366667,344.54,348.32,353.33,356.01,359.84,371.6366667,373.1766667,383.1142857,385.1042857,377,372.0866667,356.8766667,350.3466667,347.1366667,339.77,338.18,342.16,344.28,340.32,329.46,325.27,323.81,332.64,332.28,333.5766667,335.92,336.87,345.3942857,343.0966667,353.4,356.2444444,365.7218182,361.1344444,364.4144444,370.4244444,367.8844444,372.4618182,363.6166667,366.3242857,368.6042857,367.3442857,361.5366667,355.9866667,355.2266667,350.33,347.72,338.88,338.04,338.68,331.8033333,331.51,,,327.35,,,332.03,335.45,342.31,344.79,354.3142857,357.4666667,357.4442857,357.31,353.31,350.1366667,345.4042857,345.6866667,343.1542857,339.67,332.08,328.43,329.05,328.52,325.93,322.56,321.03,323.99,321.25,319.88,318.86,319.31,321.45,328.25,328.73,326.49,316.0133333,325,L7
1999-12-09 21:59:45+00:00,367.38,364.3814286,354.1044444,356.87,359.5666667,366.82,361.07,365.4,367.17,359.8066667,352.7866667,347.9566667,345.9614286,349.8266667,351.1814286,349.0314286,357.2466667,355.9366667,363.1,355.7014286,361.5366667,366.22,366.34,366.1366667,361.3966667,357.2214286,358.6366667,343.6844444,351.9414286,349.1166667,351.0566667,345.8766667,350.3,353.54,350.84,343.56,340.5,339.3766667,338.4766667,342.8,345.0514286,361.81,361.2266667,366.45,371.41,374.79,379.97,382.92,378.0466667,383.2566667,386.7914286,385.0714286,376.32,378.3266667,367.8666667,369.6266667,360.4566667,362.31,356.68,356.06,353.99,348.62,351.32,352.04,354.33,360.31,353.95,351.6966667,360.85,361.7,361.0514286,365.7166667,362.07,358.3744444,359.4281818,361.1244444,365.3344444,361.8044444,365.5144444,363.8481818,375.7666667,377.7414286,376.6814286,378.5014286,381.7166667,378.3766667,371.5066667,375.98,369.96,374.99,357.96,365.01,370.2333333,363.68,373.5533333,372.2533333,363.43,372.2633333,373.6833333,364.36,367.83,366.3,362.09,356.0814286,361.4366667,357.6214286,359.72,353.62,361.9266667,363.1014286,359.3366667,358.3314286,357.81,362.32,358.76,354.66,343.44,352.27,348.49,348.73,349.19,345.14,346.04,348.91,346.69,350.66,346.98,355.67,343.02,361.5033333,341.42,L7
2000-01-19 21:53:25+00:00,356.81,362.0942857,351.58,349.25,357.51,361.18,360.93,358.85,369.39,349.13,340.11,345.28,338.3842857,348.22,340.7842857,346.4142857,349.67,357.31,363.13,353.9642857,357.55,364.74,367.67,355.7,362.76,354.7442857,359.53,343.6,349.2142857,353.9,347.51,349.49,346.13,359.51,350.75,337.07,339.43,327.45,334.2,331.5,347.5842857,357.54,362.89,366.54,376.9,375.97,384.9,382.38,372.65,379.2,377.3042857,378.9842857,371.27,371.18,368.85,361.92,359.93,360.66,359.67,351.65,350.64,344.76,351.85,352.24,357.86,366.27,356.62,353.95,366.04,368.22,363.3542857,365.78,362.59,358.26,350.1036364,360.47,353.79,358.19,357.93,359.2136364,383.46,379.8842857,378.6342857,372.9342857,383.14,378.78,376.88,374.02,366.88,368.52,362,370.62,382.11,368.34,382.5,383.17,371.73,380.72,383.02,374.97,365.97,369.07,360.58,347.6642857,358.3,360.5442857,354.81,353.1,361.33,354.4642857,357.79,350.6042857,359.77,365.56,361.91,355.51,343.97,355.77,353.63,352.6,357.42,347.55,350.73,345.72,349.15,353.29,339.25,351.16,342.93,358.92,339.74,L7
2000-01-26 21:59:38+00:00,,387.85,390.8166667,378.28,376.87,374.2,369.09,365.64,356.27,359.42,366.44,364.49,371.4,363.59,364.84,371.75,366.02,367.77,369.64,379.03,380.47,369.8,368.37,373.15,381.85,381.28,372.64,374.6766667,372.15,367.9,370.59,366.65,366.58,354.83,353.68,351.29,346.53,354.11,357.97,369.27,373.81,370.75,375.78,369.56,380.75,391.19,388.4,393.26,402.02,406.28,410.37,410.37,403.89,399.3,395.32,389.08,386.26,376.16,367.96,368.82,368.98,359.37,336.37,352.44,367.51,371.54,365.38,371.11,371.25,379.05,384.39,386.64,387.81,388.7766667,400.7936364,401.7766667,399.6866667,400.0166667,393.8766667,408.5536364,403.94,402.76,398.62,398.71,399.8,396.08,391.46,387.37,384.41,378.59,374.72,374.16,368.91,379.4,368.27,367.43,368.61,347.03,348.14,361.16,372.43,372.42,374.2,379.59,376.9,391.15,,384.11,374.16,373.82,374.87,376.47,368.43,359.34,358.24,359.37,368.95,365.12,362.77,354.78,348.13,340.78,345.04,348.02,352.12,348.04,351.81,348.3,359.89,341.9,355.49,L7
2000-03-14 21:59:23+00:00,381.81,381.6042857,377.8555556,372.3,370.5533333,365.85,366.35,363.57,358.77,358.8033333,355.5833333,358.4733333,363.3042857,358.1433333,363.2442857,364.4942857,363.9733333,368.6133333,367.28,367.4542857,371.8533333,366.96,360.98,367.1933333,374.6833333,377.0142857,376.6033333,375.1455556,370.9842857,358.8833333,358.4033333,358.4333333,350.57,341.58,337.69,340.9,345.67,346.1933333,353.0233333,356.77,363.5142857,364.48,371.8633333,373.28,378.95,375.49,381.43,390.62,398.9033333,404.1133333,404.8042857,402.0342857,398.87,391.2333333,387.1633333,376.8533333,371.9833333,368.99,365.47,358.51,359,358.25,352.41,347.95,354.12,355.81,361.6,370.4733333,366.07,372.28,375.8042857,377.8033333,378.5,377.4655556,377.0672727,381.7155556,386.9855556,387.8655556,389.5355556,392.6972727,388.6033333,388.7042857,386.7142857,390.1942857,393.0533333,393.9233333,380.1133333,374.59,379.22,376.06,380.32,366.52,353.4066667,356.08,352.5566667,355.0266667,359.53,350.6066667,351.6966667,354.05,357.63,356.48,361.51,367.8642857,370.0933333,375.9142857,375.35,371.38,366.4433333,365.9742857,360.6133333,368.6242857,366.96,361.27,356.09,350.95,355.14,349.51,344.38,341.25,340.76,341.64,338.97,338.55,338.39,338.43,344.95,350.24,351.1,341.5066667,348.46,L7
2000-06-18 21:58:39+00:00,326.27,323.3785714,320.5011111,317.11,326.6066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.53,343.47,334.0666667,349.5366667,353.0585714,352.6985714,339.03,342.0966667,335.9766667,329.9966667,325.2966667,326.72,318.63,312.64,,302.91,296.22,290.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.4733333,326.47,337.1133333,330.8233333,,,,,324.9,326.05,321.97,,319.8966667,321.4785714,323.49,327.83,335.0566667,325.7685714,325.7866667,324.2785714,323.08,330.8,330,327.41,319.11,318.63,315.62,317.12,316.79,313.12,316.88,316.58,316.64,317.14,311.27,319.72,312.32,334.1133333,312.83,L7
2000-07-13 21:52:07+00:00,,,,356.35,354.6466667,362.79,353.52,346.19,356.25,339.9366667,344.5666667,336.8966667,346.3128571,346.7866667,347.7428571,343.5728571,352.3466667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.7077778,367.0377778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2000-08-05 21:57:56+00:00,360.54,356.7671429,356.5277778,348.7,345.9366667,343.73,340.35,338.78,333.84,336.0066667,342.8666667,342.7466667,,,340.0671429,343.1571429,346.0466667,347.8166667,344.8,348.3171429,353.3366667,350.49,351.97,348.4366667,349.3266667,350.4371429,343.8466667,347.9277778,345.7971429,335.2166667,336.8366667,326.7566667,315.76,313.5,321.83,325.18,315.66,320.5166667,333.1366667,335.62,337.6571429,333.34,344.2966667,346.14,348.59,351.97,353.53,358.55,371.6166667,372.8466667,376.7371429,378.7771429,371.65,365.3666667,360.7866667,353.8666667,347.0366667,334.79,330.83,340.1,348.26,337.54,325.67,323.07,317.89,326.88,333.76,338.1066667,339.89,351.24,361.9071429,352.2266667,354.82,354.6077778,356.2163636,360.4977778,364.2977778,360.2777778,367.4277778,364.8463636,364.0166667,367.3971429,363.7871429,368.9271429,368.3466667,358.1166667,353.1566667,351.74,345.42,337.13,345.35,336.63,323.8733333,329.37,317.2533333,322.1933333,327.17,320.4833333,322.7333333,326.49,331,339.48,350.47,360.1871429,,,,,,,,,,,,,,,,,,325.98,325.66,328.79,333.81,327.64,328.14,326.17,336.4,319.9233333,328.92,L7
2000-10-17 21:50:49+00:00,,,,344.54,344.0533333,338.84,339.73,333.48,331.92,335.3033333,331.9533333,326.4633333,328.7942857,327.0033333,337.3542857,337.8142857,336.5233333,339.7833333,338.88,350.2042857,345.9733333,339.5,338.07,345.3833333,348.2733333,348.6242857,343.4633333,336.8522222,336.5742857,332.1333333,329.8933333,326.1533333,317.56,317.05,312.78,309.76,316.3,318.6533333,328.9633333,333.66,332.2442857,339.84,340.0433333,345.73,347.3,355.82,354.78,356.46,359.0233333,363.4733333,368.0942857,367.4242857,370.33,356.8333333,352.9433333,351.0233333,352.8533333,353.47,351.15,341.99,335.89,322.84,306.25,318.79,319.05,318.94,329.09,331.3733333,335.33,340.54,346.5342857,349.9333333,350.08,354.4322222,358.8054545,355.7722222,352.9322222,356.6522222,360.2622222,365.8454545,367.6233333,367.7742857,364.3442857,369.2942857,368.3933333,359.1733333,357.5733333,350.74,352.73,355.49,342.71,338.16,334.0066667,333.54,327.0966667,322.5466667,326.11,326.2566667,326.8766667,328.86,331.13,338.89,340.22,345.7142857,349.8933333,347.5742857,350.81,349.8,347.7233333,343.4742857,341.5933333,335.6242857,335.32,329.95,331.38,327.99,326.43,321.82,321.05,317.93,321.13,323.13,325.25,323.15,319.22,318.8,313.83,313.55,316.98,314.6766667,319.87,L7
