dates,nzd0321-0045,nzd0321-0046,nzd0321-0047,nzd0321-0048,nzd0321-0049,nzd0321-0050,nzd0321-0051,nzd0321-0052,nzd0321-0053,nzd0321-0054,nzd0321-0055,nzd0321-0056,nzd0321-0057,nzd0321-0058,nzd0321-0059,nzd0321-0060,nzd0321-0061,nzd0321-0062,nzd0321-0063,nzd0321-0064,nzd0321-0065,nzd0321-0066,nzd0321-0067,nzd0321-0068,nzd0321-0069,nzd0321-0070,nzd0321-0071,nzd0321-0072,nzd0321-0073,nzd0321-0074,nzd0321-0075,nzd0321-0076,nzd0321-0077,nzd0321-0078,nzd0321-0079,nzd0321-0080,nzd0321-0081,nzd0321-0082,nzd0321-0083,nzd0321-0084,nzd0321-0085,nzd0321-0086,nzd0321-0087,nzd0321-0088,nzd0321-0089,nzd0321-0090,nzd0321-0091,nzd0321-0092,nzd0321-0093,nzd0321-0094,nzd0321-0095,nzd0321-0096,nzd0321-0097,nzd0321-0098,nzd0321-0099,nzd0321-0100,nzd0321-0101,nzd0321-0102,nzd0321-0103,nzd0321-0104,nzd0321-0105,nzd0321-0106,nzd0321-0107,nzd0321-0108,nzd0321-0109,nzd0321-0110,nzd0321-0111,nzd0321-0112,nzd0321-0113,nzd0321-0114,nzd0321-0115,nzd0321-0116,nzd0321-0117,nzd0321-0118,nzd0321-0119,nzd0321-0120,nzd0321-0121,nzd0321-0122,nzd0321-0123,nzd0321-0124,nzd0321-0125,nzd0321-0126,nzd0321-0127,nzd0321-0128,nzd0321-0129,nzd0321-0130,nzd0321-0131,nzd0321-0132,nzd0321-0133,nzd0321-0134,nzd0321-0135,nzd0321-0136,nzd0321-0137,nzd0321-0138,nzd0321-0139,nzd0321-0140,nzd0321-0141,nzd0321-0142,nzd0321-0143,nzd0321-0144,nzd0321-0145,nzd0321-0146,nzd0321-0147,nzd0321-0148,nzd0321-0149,nzd0321-0150,satname
1999-08-28 21:53:35+00:00,414.2928571,410.1128571,411.4128571,413.8933333,412.2033333,408.3733333,404.9528571,408.6328571,406.5,406.34,408.67,410.94,412.06,408.1988889,413.53,417.7928571,407.3988889,415.2028571,415.1628571,411.8428571,407.4728571,407.6528571,414.4528571,408.55,403.46,404.11,404.7788889,408.38,409.6,411.02,413.83,408.79,407.01,412.1028571,413.7728571,418.0228571,414.95,421.05,421.3528571,416.8028571,411.4,412.01,411.0488889,412.31,409.96,412.2828571,410.8228571,413.0328571,411.9328571,415.99,411.8633333,412.5,401.1833333,388.1533333,398.7228571,395.63,386.2888889,389.9228571,385.0428571,377.6328571,380.4633333,370.1228571,369.0228571,366.7928571,364.8928571,359.72,360.4728571,361.3328571,364.3828571,362.94,368.2428571,369.6633333,367.6233333,370.7233333,365.1828571,370.1828571,370.1328571,374.61,376.36,376.56,380.4688889,377.81,381.0428571,378.42,382.1028571,378.1028571,373.1528571,371.7828571,366.0528571,356.58,359.62,363.46,365.84,371.29,364.8888889,364.85,356.78,369.21,372.8428571,370.1928571,363.92,357.95,359.62,356.95,346.6518182,356.4,L7
1999-09-29 21:53:40+00:00,406.6571429,396.6871429,397.3571429,402.0833333,402.0233333,398.1533333,397.2271429,396.8471429,393.97,397.84,398.6,403.17,405.41,403.6755556,402.65,407.5771429,404.5655556,402.3471429,404.0471429,404.9171429,402.1971429,402.5571429,405.4471429,400.18,397.82,393.27,395.2255556,400.42,396.99,399.17,404.93,405.22,401.92,402.3571429,400.5971429,403.7271429,405.4,408.56,404.6071429,403.6071429,402.24,400.87,398.2655556,401.54,399.24,400.9271429,401.8171429,402.9771429,405.5871429,402.17,397.4833333,388.09,385.4033333,388.3733333,388.2471429,387.74,386.0055556,379.0271429,375.9071429,371.2471429,364.2933333,364.8771429,360.2771429,353.9671429,348.8871429,346.44,343.6371429,350.1371429,347.2771429,352.86,357.5471429,353.3633333,356.4233333,360.8633333,360.3571429,362.4571429,360.8771429,357.45,361.55,364.24,368.6955556,367.93,366.6171429,370.58,368.0671429,366.7971429,367.2371429,365.6171429,369.1571429,368.09,364.29,366.19,368.37,368.49,367.0055556,363.47,357.72,360.42,361.0971429,361.2171429,358.55,355.66,353.67,355.22,353.96,352.02,L7
1999-11-16 21:53:32+00:00,397.8285714,396.7885714,393.0585714,389.6466667,391.1566667,388.6466667,387.1185714,386.4185714,390.8,392.88,394.92,396.52,397.17,400.2077778,401.88,402.5085714,397.4477778,390.8285714,396.1285714,395.0885714,390.4785714,397.5085714,401.3585714,393.15,391.99,394.74,393.8277778,394.9,396.12,402.16,403.2,396.89,392.82,395.0085714,395.1085714,403.3485714,402.39,404.88,401.5485714,401.7785714,403.64,400.34,398.5977778,397.12,397.16,393.9585714,395.0485714,390.3285714,393.7585714,391.06,389.3366667,387.35,390.8666667,384.7466667,380.5285714,380.11,375.3977778,372.1185714,373.2085714,363.3785714,357.8166667,357.2185714,352.8985714,352.9285714,345.3985714,346.15,349.1385714,349.1885714,350.0985714,353.06,350.6585714,349.4366667,348.3066667,350.2966667,353.5285714,346.1885714,352.4385714,353.87,355.78,360.05,365.5877778,366,363.7185714,361.94,367.7285714,366.2985714,360.0785714,359.9385714,360.9185714,361.61,360.01,361.74,362.96,364.18,368.5877778,362.56,360.51,356.86,355.2285714,354.9885714,353.8,352.52,347.12,345.51,347.9527273,346.77,L7
1999-12-25 21:59:40+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,402.41,402.7011111,405.58,409.79,408.84,410.34,407.26,403.41,409.2014286,408.6914286,412.0914286,416.9,420.47,416.6714286,414.3914286,411.15,411.6,407.5011111,409.09,408.51,406.1314286,407.3314286,405.4314286,407.5614286,411.83,405.8366667,408.86,396.8466667,396.3466667,395.6614286,395.75,388.0211111,382.6914286,379.8814286,378.3114286,372.6766667,364.3814286,365.1814286,363.5614286,361.5514286,357.47,359.2714286,356.5214286,359.8914286,362.24,360.4914286,363.6166667,359.1466667,363.9566667,364.1014286,365.5514286,364.6114286,368.2,369.87,371.84,374.9411111,380.13,376.7614286,374.48,377.5414286,375.4514286,372.7014286,372.2414286,372.3914286,371.5,372.08,374.38,376.21,376.4,373.5011111,371.72,371.37,365.88,366.4914286,364.3314286,359.33,361.01,357.05,355.25,353.6118182,354.87,L7
2000-03-14 21:59:23+00:00,410.5571429,408.3171429,404.4271429,405.4066667,406.8366667,401.5266667,400.9271429,399.9971429,402.2,406.7,404.97,410.23,412.74,413.3244444,411.09,417.7671429,418.4944444,412.3271429,413.4271429,416.2071429,410.0271429,412.7471429,414.5771429,410.41,409.48,408.98,412.8044444,414.97,414.93,416.41,419.97,415.58,413.79,418.6271429,422.2971429,421.2971429,421,423.84,425.5271429,426.5871429,422.37,417.22,413.4844444,412.79,418.47,416.9871429,419.7171429,415.8071429,413.1871429,416.79,414.2166667,406.55,402.2166667,403.7066667,402.8771429,402.8,399.6544444,389.8771429,388.2971429,387.1771429,382.1366667,376.0071429,369.5671429,368.0571429,365.8271429,360.23,364.4171429,363.5471429,366.6771429,368.03,368.4071429,367.3566667,367.1766667,370.0366667,373.1771429,373.0571429,374.1571429,377.18,375.44,377.61,378.5644444,380.74,377.8271429,373.83,375.8071429,381.8071429,376.0571429,372.1171429,375.1671429,375.24,375.36,375.77,377.4,375,376.3244444,376.92,376.47,368.13,367.7871429,368.2671429,369.77,363.89,357.9,353.44,355.4445455,352.3,L7
2000-05-01 21:59:06+00:00,404.1657143,402.4557143,401.4057143,404.9033333,,,,,,,,401.55,400.96,402.8122222,406.51,409.1857143,404.4422222,409.2157143,409.0557143,409.2157143,406.4357143,408.1557143,412.3657143,,,,,,,,,,,,413.3157143,412.9657143,413.29,413.73,414.1957143,413.2457143,405.11,407.64,404.2022222,404.15,403.71,408.5757143,409.7157143,412.8057143,407.2657143,419.43,407.7733333,408.17,386.8533333,395.6133333,390.8257143,387.71,383.2022222,384.0157143,383.0557143,381.5157143,373.6833333,,,,,,,,,,,,,,,,,,,,,,378.4557143,368.26,366.8757143,373.1157143,373.6157143,373.1457143,373.7757143,371.06,370.7,369.5,373.06,371.81,371.3622222,371.82,367.42,366.46,367.0057143,364.7257143,360.74,360.69,357,359.68,352.7463636,346.01,L7
2000-05-26 21:52:36+00:00,,410.6528571,405.4428571,402.8133333,402.8633333,398.6633333,,,,,,,,,,,,,,,,,,,,404.19,406.9855556,406.53,410.25,411.18,410.33,411.41,408.65,405.7728571,411.0928571,414.7928571,417.34,418.83,416.0128571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.14,377.9155556,374.33,374.8,367.55,364.8128571,361.6028571,364.3,362.06,357.15,354.86,358.7109091,356.77,L7
2000-06-18 21:58:39+00:00,399.6485714,394.2285714,392.4685714,398.9433333,395.0633333,393.2833333,388.7085714,391.9485714,388.73,389.7,390.43,391.2,388.2,391.1055556,388.73,394.6785714,391.8055556,393.9185714,396.9085714,399.7985714,393.1385714,392.6785714,394.5485714,383.97,381.08,380.85,377.2655556,379.4,378.67,382.89,380.07,377.66,378.25,386.4585714,390.1985714,393.3085714,391.51,391.81,393.2485714,396.0685714,383.5,386.3,381.5155556,384.55,383.91,379.3085714,384.8685714,390.9685714,385.5185714,383.45,365.6933333,358.88,366.3333333,374.0333333,366.1185714,365.49,360.0155556,359.1485714,357.5385714,355.5585714,359.9133333,354.8185714,344.7285714,347.1385714,341.7585714,334.84,338.3785714,337.0185714,333.8285714,333.87,337.7185714,339.9133333,341.8233333,342.5133333,342.4885714,347.1885714,344.7285714,345.5,351.77,353.22,356.9955556,356.81,362.0385714,357.97,361.6885714,361.6785714,355.1985714,359.2085714,358.4885714,360.66,358.27,361.35,363.42,367.8,366.4055556,362.94,363.66,354.93,358.3485714,358.6685714,352.67,345.52,346.69,346.21,338.5009091,347.81,L7
2000-07-13 21:52:07+00:00,408.1085714,404.2285714,406.0085714,405.8266667,405.1266667,406.9766667,399.0485714,401.8585714,405.31,400.03,402.63,404.33,403.84,405.8144444,408.64,409.3885714,405.6444444,409.2985714,409.9985714,407.7285714,405.1885714,409.0185714,413.5485714,404.25,404.87,399.69,401.2944444,399.95,401.75,405.79,405.88,402.76,401,403.5285714,409.9985714,408.5285714,412.28,415.82,415.2685714,412.3685714,407.32,406.94,405.4344444,404.24,403.69,405.0285714,407.9585714,405.6985714,407.4085714,409.16,402.1466667,387.36,392.8566667,391.8466667,390.7285714,386.22,380.7944444,381.3285714,378.4185714,375.2385714,368.5166667,366.8685714,365.3285714,364.6085714,361.0985714,357.74,358.7385714,358.1185714,358.7085714,358.15,359.8085714,360.3566667,,,,,,,,,,,,,,,,,,,,,,,373.8944444,373.09,372.95,367.86,368.2385714,363.6985714,362.33,360.02,356.51,359.74,352.6154545,356.57,L7
2000-08-05 21:57:56+00:00,411.1371429,407.9271429,411.5071429,408.83,408.31,407.75,404.8571429,401.6471429,406.16,407.52,410.1,409,408.91,413.4233333,409.57,409.3871429,410.5733333,405.0771429,408.5171429,404.3671429,401.5171429,410.7571429,412.9971429,408.24,405.93,400.72,400.2533333,406.59,401.87,408.24,407.39,404.74,404.41,401.2871429,405.3571429,412.5671429,413.35,415.22,411.0271429,411.2671429,406.8,405.26,408.7133333,400.21,404.17,401.4871429,403.9271429,407.9571429,406.9471429,405.74,407.74,402.85,402.76,388.61,390.1471429,392.79,388.7933333,379.2471429,370.7671429,367.7971429,365.76,369.0871429,364.1471429,363.0471429,355.4971429,350.38,348.8471429,355.9871429,354.7971429,351.68,348.3271429,359.62,354.72,355.39,358.5371429,363.1571429,365.5071429,369.96,364.24,369.01,369.8633333,373.42,369.8671429,370.53,366.2971429,368.5671429,365.2271429,365.2871429,367.6071429,365.17,368.48,369.65,372.49,371.92,371.4633333,370.51,362.52,360.2,359.7671429,354.9771429,356.33,352.69,351.98,347.76,354.3690909,349.12,L7
