dates,nzd0330-0000,nzd0330-0001,nzd0330-0002,nzd0330-0003,nzd0330-0004,nzd0330-0005,nzd0330-0006,nzd0330-0007,nzd0330-0008,nzd0330-0009,nzd0330-0010,nzd0330-0011,nzd0330-0012,nzd0330-0013,nzd0330-0014,nzd0330-0015,nzd0330-0016,nzd0330-0017,nzd0330-0018,nzd0330-0019,nzd0330-0020,nzd0330-0021,nzd0330-0022,nzd0330-0023,nzd0330-0024,nzd0330-0025,nzd0330-0026,nzd0330-0027,nzd0330-0041,nzd0330-0042,nzd0330-0043,nzd0330-0044,nzd0330-0045,nzd0330-0046,nzd0330-0047,nzd0330-0048,nzd0330-0049,nzd0330-0050,nzd0330-0051,nzd0330-0052,nzd0330-0053,nzd0330-0054,nzd0330-0055,nzd0330-0056,nzd0330-0057,nzd0330-0058,nzd0330-0059,nzd0330-0060,nzd0330-0061,nzd0330-0062,satname
1999-08-21 21:47:20+00:00,358.4288889,348.9945455,359.0461538,362.33,355.4545455,360.5445455,363.7645455,359.12,352.9061538,346.7966667,343.3866667,348.3966667,340.45,335.9,334.3688889,339.8188889,344.2288889,348.24,350.7545455,358.3245455,359.9145455,348.1866667,345.0466667,345.7561538,340.5766667,342.6745455,342.4645455,345.32,340.83,344.97,345.39,353,348.77,348.4,340.23,,,,,,,,,,,,,,,,L7
1999-08-28 21:53:35+00:00,,,,,,,,,,,,,,,,313.3,314.68,,333.5136364,328.6836364,322.6636364,329.64,327.78,330.4353846,323.07,321.4536364,328.5536364,328.61,320.71,337.3685714,329.51,335.4085714,325.33,321.17,313.39,319.5685714,344.16,341.3385714,,,,,,,,,,,,,L7
1999-09-22 21:47:48+00:00,355.1833333,357.1727273,352.4853846,345.92,346.5027273,350.2727273,347.4027273,,349.8953846,345.25,347.74,347.43,339.99,334.9,330.2733333,337.8433333,341.4533333,343.27,345.5927273,351.5627273,352.4027273,345.8,337.8,335.5053846,336.49,336.6627273,339.6327273,346.23,338.82,347.0757143,340.7,343.3957143,339.78,343.52,333.23,341.5957143,379.67,361.7757143,360.49,341.69,384.08,379.66,372.58,375.52,352.1457143,358.58,370.02,369.4557143,366.22,373.36,L7
1999-09-29 21:53:40+00:00,344.11,350.5109091,345.9369231,351.4,349.4609091,,344.6009091,,343.3869231,342.58,341.73,332.31,329.09,324.97,325.45,330.35,317.7,338.94,342.8109091,345.1509091,344.5509091,340.64,338.33,336.4069231,329.79,332.9009091,331.5009091,330.64,331.44,338.5814286,327.95,338.4114286,328.7,335.91,327.58,332.6914286,361.89,347.2714286,353.85,350.4,378.15,379.6,361.92,354.91,339.2914286,356.95,368.31,362.8614286,353.03,355.36,L7
1999-10-24 21:47:44+00:00,347.2022222,347.2072727,345.7415385,344.93,337.5172727,343.6272727,349.6472727,,342.5515385,344.6466667,334.9866667,339.5066667,337.73,330.64,325.3222222,332.5022222,334.3422222,334.7,337.6372727,335.1672727,336.6272727,334.7466667,332.7166667,327.0015385,324.2866667,332.6872727,332.9972727,337.7,328.33,335.9657143,330.01,330.2457143,321.96,327.18,317.23,325.3857143,354.75,340.9857143,343.06,331.5133333,366.78,363.75,366.3833333,344.5133333,331.8057143,339.1533333,345.1733333,347.2057143,343.73,347.76,L7
2000-01-19 21:53:25+00:00,346.2044444,345.1163636,349.3961538,347.16,347.9563636,350.8463636,349.2563636,343.4,345.3961538,343.8733333,343.8533333,347.8233333,335.06,327.92,326.3044444,332.6044444,336.3044444,342.73,346.8663636,345.4463636,345.8563636,338.9433333,328.6433333,321.9161538,322.2533333,324.9063636,333.7863636,338.9,317.59,330.6685714,318.34,331.1485714,320.55,327.72,315.68,320.9285714,342.8,334.3885714,336.11,,350.41,353.26,347.6066667,342.5566667,327.1585714,334.6266667,342.1066667,345.6285714,341.05,347.58,L7
2000-04-17 21:47:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,333.8090909,347.8690909,350.03,333.77,341.2314286,327.66,332.7814286,332.11,330.03,311.48,319.8914286,351.22,338.1814286,338.42,329.3466667,366.94,368.51,363.4166667,356.4366667,345.5514286,353.0166667,353.8366667,347.8414286,340.9,344.11,L7
2000-05-03 21:47:07+00:00,348.2466667,348.9809091,352.8192308,356.58,356.1309091,359.5609091,358.9009091,352.37,357.6692308,361.98,358.11,342.85,340.41,329.84,335.1566667,341.7566667,,,,,,,,,,,,,324.65,335.2171429,322.13,328.1671429,329.33,335.36,329.33,334.9171429,365,345.4371429,351.77,335.59,359.19,355.92,354.88,347.14,331.8671429,347.74,357.55,360.0771429,350.78,359.2,L7
2000-05-19 21:46:31+00:00,,,,,,,,,,,,,,,,,,,,,,,335.42,335.8453846,329.63,335.0736364,339.0836364,346.78,323.33,334.8485714,333.71,341.4085714,336.65,334.82,331.01,329.3185714,348.02,341.8885714,344.06,344.67,364.32,,,,,,,,,,L7
2000-05-26 21:52:36+00:00,,358.9427273,359.5992308,,355.0027273,357.6027273,358.5727273,,361.1192308,356.11,353.67,361.25,351.25,341.37,351.68,354.54,351.42,350.28,347.7727273,343.7827273,346.5427273,339.94,341.5,335.7492308,335.39,339.9727273,342.4327273,349.36,328.8,340.2328571,329.67,342.0328571,330.25,335.21,327.9,334.3328571,355.58,352.5028571,346.92,354.86,372.35,376.29,357.96,355.27,345.1028571,358.56,361.16,361.6728571,353.39,354.5,L7
