dates,nzd0029-0000,nzd0029-0001,nzd0029-0002,nzd0029-0003,nzd0029-0004,nzd0029-0005,nzd0029-0006,nzd0029-0007,nzd0029-0008,nzd0029-0009,nzd0029-0010,nzd0029-0011,nzd0029-0012,nzd0029-0013,nzd0029-0014,nzd0029-0015,nzd0029-0016,nzd0029-0017,nzd0029-0018,nzd0029-0019,nzd0029-0020,nzd0029-0021,nzd0029-0022,nzd0029-0023,nzd0029-0024,nzd0029-0025,nzd0029-0026,nzd0029-0027,nzd0029-0028,nzd0029-0029,nzd0029-0030,nzd0029-0031,nzd0029-0032,nzd0029-0033,nzd0029-0034,nzd0029-0035,nzd0029-0036,nzd0029-0037,nzd0029-0038,nzd0029-0039,nzd0029-0040,nzd0029-0041,nzd0029-0042,nzd0029-0043,nzd0029-0044,nzd0029-0045,nzd0029-0046,nzd0029-0047,nzd0029-0048,nzd0029-0049,nzd0029-0050,nzd0029-0051,nzd0029-0052,nzd0029-0053,nzd0029-0054,nzd0029-0055,nzd0029-0056,nzd0029-0057,nzd0029-0058,nzd0029-0059,nzd0029-0060,nzd0029-0061,nzd0029-0062,nzd0029-0063,nzd0029-0064,nzd0029-0065,nzd0029-0066,nzd0029-0067,nzd0029-0068,nzd0029-0069,nzd0029-0070,nzd0029-0071,nzd0029-0072,nzd0029-0073,nzd0029-0074,nzd0029-0075,nzd0029-0076,nzd0029-0077,nzd0029-0078,nzd0029-0079,nzd0029-0080,nzd0029-0081,nzd0029-0082,nzd0029-0083,nzd0029-0084,nzd0029-0085,nzd0029-0086,nzd0029-0087,nzd0029-0088,nzd0029-0089,nzd0029-0090,nzd0029-0091,nzd0029-0092,nzd0029-0093,nzd0029-0094,nzd0029-0095,nzd0029-0096,nzd0029-0097,nzd0029-0098,nzd0029-0099,nzd0029-0100,nzd0029-0101,nzd0029-0102,nzd0029-0103,nzd0029-0104,nzd0029-0105,nzd0029-0106,nzd0029-0107,nzd0029-0108,nzd0029-0109,nzd0029-0110,nzd0029-0111,nzd0029-0112,nzd0029-0113,nzd0029-0114,nzd0029-0115,nzd0029-0116,nzd0029-0117,nzd0029-0118,nzd0029-0119,nzd0029-0120,nzd0029-0121,nzd0029-0122,nzd0029-0123,nzd0029-0124,nzd0029-0125,nzd0029-0126,nzd0029-0127,nzd0029-0128,nzd0029-0129,nzd0029-0130,nzd0029-0131,nzd0029-0132,nzd0029-0133,nzd0029-0134,nzd0029-0135,nzd0029-0136,nzd0029-0137,nzd0029-0138,nzd0029-0139,nzd0029-0140,nzd0029-0141,nzd0029-0142,nzd0029-0143,nzd0029-0144,nzd0029-0145,nzd0029-0146,nzd0029-0147,nzd0029-0148,nzd0029-0149,nzd0029-0150,nzd0029-0151,nzd0029-0152,nzd0029-0153,nzd0029-0154,nzd0029-0155,nzd0029-0156,nzd0029-0157,nzd0029-0158,nzd0029-0159,nzd0029-0160,nzd0029-0161,nzd0029-0162,nzd0029-0163,nzd0029-0164,nzd0029-0165,nzd0029-0166,nzd0029-0167,nzd0029-0168,nzd0029-0169,nzd0029-0170,nzd0029-0171,nzd0029-0172,nzd0029-0173,nzd0029-0174,nzd0029-0175,nzd0029-0176,nzd0029-0177,nzd0029-0178,satname
1999-10-04 22:10:38+00:00,,,,,,354.97,358.12,359.8571429,358.6971429,375.4271429,380.8771429,390.2671429,379.7271429,380.9371429,389.9471429,378.3571429,375.33,376.84,391.23,395.58,400.13,389.9071429,388.12,368.3771429,361.33,369.4671429,,,,,,,,,,,,,,,,,,,369.5971429,374.49,373.96,371.36,377.2271429,379.45,369.5371429,366.9271429,,421.93,425.84,,413.01,412.28,,369.34,364.31,367.65,364.72,363.96,371.02,359.06,370.75,,415.1871429,,415.07,413.18,384.1071429,,356.36,,396.3671429,400.7071429,410.83,,390.9171429,388.16,382.07,386.8571429,390.2271429,412.58,375.59,353.56,340.52,344.82,347.47,376.52,346.58,363.8,339.2,355.7,342.9,358.93,345.62,329.5927273,331.08,366.16,363.8627273,370.05,372.02,355.73,360.55,381.48,376.17,367.32,379.7727273,,404.09,410.3411765,405.7571429,419.8851724,404.36,410.9167742,,,,393.675122,413.3727273,402.57,398.2330435,379.542766,365.52,373.1784615,377.5885714,381.11,368.6963415,381.9548649,403.9827273,387.07,369.055,386.28,400.7327273,381.38,381.54,374.8184615,356.3184615,376.6984615,414.7384615,390.35,378.9827273,402.2330435,409.63,,399.2658824,423.1427273,419.2727273,420.4427273,412.0127273,408.6625,421.8125806,432.75,445.36,448.64,441.5127273,459.3730769,447.7893878,446.8013043,435.3927907,430.41,431.44,433.96,438.55,432.1971429,437.4071429,443.2171429,451.7971429,469.32,459.27,455.47,,,,455.5,466.1,L7
2000-02-09 22:10:19+00:00,,,,,,,356.5,366.8185714,364.7785714,365.9585714,368.3085714,373.8885714,373.4985714,367.1185714,380.5585714,365.9485714,363.1033333,372.92,,,,,,,,,,,,,,398.1966667,392.3066667,388.9685714,391.4566667,395.3866667,406.0666667,403.7685714,406.4985714,401.2985714,387.57,390.0285714,384.95,402.1685714,400.4985714,402.35,399.88,400.3,416.7885714,409.69,408.5685714,406.4085714,418.4985714,412.4877778,410.9,416.8966667,418,416.9866667,410.87,404.61,396.34,399.1577778,397.1577778,401.24,396.37,389.48,391.01,411.2285714,412.3085714,406.4385714,397.17,400.68,396.6385714,392.28,395.49,406.14,398.2585714,401.7685714,406.79,414.8685714,408.6385714,419.0666667,418.3566667,417.9485714,422.3285714,416.98,403.48,387.0577778,369.7,364.7777778,371.64,370.4077778,356.7277778,357.3477778,371.26,369.6977778,370,373.8477778,364.6577778,353.4318182,356.9877778,374.81,377.6818182,396.59,398.2577778,388.2377778,382.59,398,388.84,366.2377778,375.8618182,,,,,,,,,,,,,,,400.0889362,389.9933333,384.8923077,380.7742857,380.5466667,385.2443902,394.5424324,406.6218182,399.7651852,393.845,384.36,382.1718182,370.8933333,380.54,376.9923077,386.9323077,389.7523077,391.0023077,389.4833333,400.3818182,409.4282609,410.1533333,415.9871429,422.3658824,424.1718182,424.4718182,431.2218182,420.2918182,418.3475,425.0758065,434.86,445.41,452.03,435.9118182,450.0953846,447.6832653,450.2178261,435.8376744,434.51,,,,,,,,,,,,472.51,475.73,476.77,462.97,L7
2000-04-29 22:09:53+00:00,411.5028571,,,380.2328571,363.28,352.05,346.35,351.4928571,359.0328571,366.6228571,366.4328571,374.0728571,375.3828571,380.3228571,396.0228571,392.7328571,394.2166667,396.18,406.73,408.67,410.97,409.1228571,407.6188889,388.7928571,388.8933333,389.4328571,,394.1428571,,400.52,389.6928571,394.7733333,393.1233333,395.8028571,389.8933333,400.2033333,408.7233333,404.6628571,410.7928571,396.1728571,390.04,385.4928571,392.6,416.5428571,413.1828571,413.4,399.84,390.51,401.0628571,400.59,399.4428571,407.4828571,424.0928571,431.2788889,433.8,429.7433333,420.87,418.3633333,421.06,416.06,404.71,408.7588889,400.1788889,406.96,399.44,396.11,410.89,437.7928571,431.3528571,431.5928571,426.91,407.62,399.7628571,384.92,399.14,401.73,407.0028571,399.4228571,413.9,427.9428571,426.8028571,429.3633333,435.0933333,432.1428571,436.1728571,424.08,417.1,403.3988889,380.71,384.2588889,378.67,385.6188889,376.5388889,379.5888889,384.78,384.1388889,384.81,387.7788889,382.4988889,361.4827273,368.5388889,393.32,395.7027273,406.13,412.4288889,402.4888889,388.43,406.57,406.45,391.8088889,402.8327273,,441.5,435.3276471,436.1928571,437.6641379,429.7966667,421.9841935,419.03,,437.0989474,433.5578049,428.8427273,421.6111111,419.8091304,412.8074468,402.6766667,402.1630769,397.5414286,403.1333333,400.2558537,413.4024324,416.3327273,412.2592593,409.895,403.31,396.3627273,388.6766667,393.95,396.3330769,401.6830769,403.7730769,406.9830769,411.9666667,413.7327273,421.2691304,425.5866667,431.2357143,438.5382353,437.4227273,442.4027273,439.9427273,434.2327273,429.1475,437.2006452,442.43,456.68,456.73,445.6927273,450.3738462,447.6191837,451.633913,446.0290698,446.11,444.36,443.57,445.7788889,449.3128571,450.3728571,454.2128571,461.6328571,467.72,446.65,433.93,444.02,451.19,456.7,464.99,464.71,L7
2000-09-20 22:08:03+00:00,,,,,,,,,,,334.9828571,341.3528571,337.6628571,340.5828571,354.8228571,346.5528571,350.8566667,350.5,358.78,363.2,368.66,363.8328571,360.0088889,352.3328571,344.8733333,350.1328571,352.5828571,356.5028571,352.6928571,368.72,366.3328571,364.8833333,359.1633333,356.1228571,358.3833333,360.3133333,370.2633333,366.8328571,369.9928571,369.7728571,355.68,363.9528571,359.02,364.5328571,367.3628571,366.74,365.82,369.79,375.4728571,375.36,382.4128571,387.6728571,401.7228571,402.8588889,401.03,399.3533333,381.69,376.4733333,366.03,360.67,355.17,367.6588889,366.0288889,371.71,383.22,377.87,374.21,390.9628571,394.7628571,388.2428571,379.35,368.38,370.0228571,362.27,358.84,378.06,377.1728571,374.0728571,381.1,384.9928571,381.7428571,387.4633333,389.9333333,381.1628571,380.8428571,379.78,384.09,375.5688889,358.69,349.4488889,358.03,350.5988889,348.4488889,342.1688889,346.1,346.2188889,333.86,338.2388889,341.2288889,316.9772727,315.3988889,,,,,366.2488889,371.95,391.95,394.77,375.7488889,374.6072727,382.77,396.83,395.0911765,393.0328571,394.5734483,383.5966667,377.4822581,,394.5542857,409.1521053,406.0304878,404.1672727,382.1711111,,,,,,,,356.4186486,351.7872727,356.9025926,362.08,366.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L7
2001-01-26 22:08:07+00:00,407.7685714,410.7985714,384.0785714,369.1285714,,,,,,,,,,,,,,,,,,,370.9577778,365.2885714,366.7666667,372.3885714,377.2485714,377.9685714,373.7785714,382.76,388.6385714,392.2366667,382.0166667,380.0885714,379.0066667,384.5066667,396.4266667,396.0485714,394.5485714,390.7985714,376.13,379.3485714,378.29,386.0785714,389.6885714,383.86,382.69,389.15,397.0785714,401.38,396.2885714,399.8485714,408.2385714,405.9177778,403.12,410.8766667,411.53,400.1066667,392.44,388.68,382.9,383.0477778,390.2977778,390.83,399.95,384.04,393.99,406.7085714,410.3285714,396.2885714,388.7,385.96,391.8285714,383.66,385.32,394.78,390.4985714,398.0585714,403.99,416.2985714,404.6585714,415.1266667,413.1966667,408.4585714,407.4385714,406.71,392.27,381.0877778,367.79,366.4777778,369.74,366.0477778,355.2777778,354.4877778,369.17,367.5277778,367.21,357.0077778,357.9577778,336.0718182,341.4077778,354.95,366.0718182,386.2,393.5877778,390.8477778,395.67,404.97,409.62,394.4277778,401.6818182,398.46,412.92,407.0011765,418.9685714,422.1517241,419.4933333,402.8377419,420.62,429.9128571,427.7368421,416.3258537,420.2118182,412.7722222,408.8582609,393.4789362,371.7133333,371.6723077,361.2442857,368.7666667,372.4843902,392.6824324,390.7018182,387.9351852,377.925,391.56,380.9618182,376.1233333,380.75,383.8123077,376.1223077,388.0823077,390.9423077,,,,401.8633333,,,,,,,,,,,,,,,,,,462.25,468.5,453.6577778,459.2685714,453.3385714,455.3885714,464.0785714,476,463.48,448.11,452,458.4,471.25,450.54,437.74,L7
2001-06-03 22:07:16+00:00,391.6542857,397.5642857,370.1542857,361.5742857,351.66,346.14,331.43,331.1142857,334.6042857,331.2742857,336.3442857,338.4242857,338.0742857,334.6742857,354.8142857,346.4442857,346.6166667,347.6,355.33,362.44,362.07,355.1742857,358.1988889,347.8542857,338.0833333,349.0242857,347.9042857,355.2442857,354.0342857,355.5,357.6342857,352.7433333,,396.1942857,390.2933333,389.4233333,386.6233333,400.0342857,381.0242857,365.1542857,384.16,349.6342857,348.32,362.2542857,357.4742857,358.06,386.69,376.08,366.8142857,371.24,366.9342857,371.1842857,380.8542857,390.7288889,401.96,419.9733333,,384.2633333,385.37,360.98,347.52,385.9788889,395.6788889,388.38,389.75,361.41,370.45,383.4342857,386.9242857,373.0642857,389.5,353.18,375.1442857,350.92,356.02,362.15,,,386.95,384.4142857,382.0742857,412.1633333,395.2133333,377.9242857,382.9642857,369.62,369.52,,365.57,341.6388889,349.57,342.1788889,355.2988889,347.2988889,370.1,348.3888889,343.98,335.6788889,346.1988889,328.1090909,333.8088889,340.5,353.5790909,354.46,368.2388889,360.1788889,363.16,384.26,398.17,371.2588889,391.4490909,390.44,390.45,399.8152941,400.4242857,396.0468966,378.7866667,,415.79,411.0914286,405.3136842,419.8539024,,407.2311111,384.5043478,371.4093617,371.4766667,371.0876923,339.4071429,349.9133333,354.3529268,371.4918919,367.9890909,375.0425926,364.6,356.95,357.2790909,346.2366667,357.82,353.4176923,360.2276923,370.3776923,373.7276923,368.5566667,376.8190909,383.2143478,404.2966667,409.1785714,404.7864706,400.6790909,414.0590909,410.9590909,404.1190909,401.335,411.5325806,418.83,426.14,414.42,416.9590909,408.7846154,415.5959184,421.6904348,416.782093,425.48,435.99,455.33,449.7388889,442.1842857,420.2642857,425.3942857,443.3042857,453.83,456.62,430.43,432.13,419.12,434.8,443.27,456.9,L7
2002-06-22 22:06:03+00:00,,,,,,,340.04,336.0571429,328.9171429,325.9671429,318.6271429,303.0571429,302.3071429,324.5371429,355.5471429,345.5071429,,,,,,,,,,,,,,,,,,,,371.66,371.07,375.3571429,370.1671429,363.5571429,351.09,350.3271429,350.2,360.2371429,366.6471429,348.5,352.54,362.83,370.7271429,370.87,362.9471429,373.0271429,383.1471429,390.9466667,392.5,395.14,386.42,376.38,363.29,353.78,347.36,325.7566667,,,,339.18,361.41,380.3871429,387.1071429,369.0371429,365.37,359.81,353.2171429,353.02,353.6,354.29,363.9371429,358.5871429,382.57,388.7871429,387.9171429,383.64,389.51,386.2271429,387.3671429,382.08,366.03,359.8766667,343.13,342.7566667,346.59,340.4766667,333.3666667,332.2766667,345.96,348.8566667,353.16,351.1866667,339.4666667,338.5009091,333.6266667,346.76,356.7509091,361.27,364.8066667,362.2766667,364.08,373.12,379.38,364.0266667,384.0909091,390.47,394.25,397.6423529,,,,,,,,,,,,,,347.5292308,339.1685714,345.42,350.9395122,354.0002703,355.7209091,357.3511111,358.29,351.63,351.8309091,340.78,349.31,355.4792308,362.5492308,364.8392308,363.7792308,363.08,363.6509091,363.7352174,373.17,366.6142857,379.0317647,382.8109091,378.3809091,382.2209091,386.4209091,386.73,381.3570968,,,387.67,380.5909091,400.8315385,413.075102,418.7465217,411.6065116,424.5,432.77,457.07,475.3166667,,,,,,,,,,,,,L7
2002-08-09 22:05:46+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.7466667,369.6266667,362.76,366.7966667,371.1266667,379.9166667,374.06,375.14,375.98,358.23,365.46,364.55,376.79,382.28,378.57,378.88,375.44,386.83,,,,,,,,,,,,,,,,,,,,,,,,371.39,,,,,,,,,,,,,,,,,,,,,,,,,,,335.2618182,334.9244444,348.2,357.1318182,367.14,372.6144444,368.0844444,361.85,374.61,,,,,,,,,,,,,,,,,382.5791304,369.2419149,364.5533333,350.3153846,343.89,342.7766667,344.795122,352.6610811,359.4018182,355.3362963,356.49,358.92,354.9918182,343.9833333,350.38,357.8053846,356.3953846,357.4953846,352.9553846,361.1033333,365.8118182,370.8991304,367.5633333,370.97,368.6723529,375.5718182,374.9218182,384.7018182,377.3318182,381.08,386.5687097,389.42,401.46,399.26,393.7418182,411.5392308,424.7885714,427.283913,427.0232558,432.82,445.65,,,,,,,,,,,,,,,L7
2003-05-08 22:06:20+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.2585714,362.12,362.7985714,352.07,360.9285714,365.6885714,359.12,360.76,368.43,367.8985714,374.57,373.5385714,385.9085714,402.0385714,404.4011111,405.11,399.1966667,386.2,371.3066667,369.93,360.88,358.67,365.1811111,370.4911111,358.11,375.45,367.4,373.96,390.3585714,393.3585714,384.9685714,375.12,373.59,370.1585714,365.87,371.08,378.73,380.6685714,387.8485714,404.05,410.8985714,400.7685714,404.8566667,400.3466667,398.4985714,400.9485714,394.05,386.72,378.7111111,362.16,362.6511111,368.7,364.4611111,349.4411111,355.3011111,365.15,362.8711111,358.42,354.7411111,354.2911111,342.2290909,348.1311111,363.46,375.1490909,383.96,389.8511111,381.6111111,385.21,394.77,401.67,390.4811111,395.9090909,400.63,410.37,406.6864706,411.5685714,417.2893103,,402.7003226,415.65,423.2828571,419.2426316,423.3756098,432.0290909,418.9588889,412.6195652,394.3610638,373.4833333,367.4192308,345.2642857,352.6966667,346.8417073,361.4808108,363.9590909,365.9207407,364.085,362.76,356.1390909,353.1433333,361.47,364.6892308,366.2892308,375.9292308,375.6992308,374.2633333,379.5290909,373.7895652,380.3833333,374.8471429,384.8123529,390.9090909,393.9890909,391.6190909,394.9690909,398.4975,401.0177419,406.68,416.74,415.62,411.9790909,422.6715385,425.1104082,431.7269565,431.7327907,440.51,456.23,457.58,455.8111111,448.7385714,443.5585714,452.1985714,465.6785714,480.66,479.14,471.62,462.35,463.47,467.81,483.93,488.56,L7
2003-05-24 22:06:17+00:00,393.6685714,399.0385714,373.3285714,357.3085714,341.54,343.55,333.1,334.8885714,330.8785714,329.5985714,332.4885714,339.4785714,334.8685714,332.4285714,348.3885714,347.4485714,348.8333333,344.58,352.1,356.94,361.03,356.7985714,360.6311111,349.6685714,333.1166667,348.2085714,348.4185714,347.1885714,345.8285714,358.8,360.4385714,360.1266667,356.0366667,358.4385714,356.7366667,364.1966667,360.8266667,368.5985714,369.0785714,364.2085714,356.57,356.6985714,357.32,365.7185714,368.0185714,366.91,362.53,366.25,370.8685714,370.28,368.0085714,378.1885714,391.0985714,401.4011111,395.94,387.5166667,378.51,368.7466667,362.11,357.51,347.89,356.5711111,360.3211111,359.31,370.44,362.71,372.58,390.4485714,391.7585714,376.5785714,370.17,365.65,361.6585714,355.08,358.64,364.74,370.7085714,366.5985714,389.14,393.5685714,391.8085714,387.3966667,389.9866667,393.2185714,392.9685714,387.66,376.71,365.8911111,353.15,350.6611111,365.65,357.3011111,346.7411111,347.9011111,354.31,354.1311111,355.09,356.9911111,350.4911111,333.8945455,335.9311111,360.39,363.0845455,369.94,377.6711111,368.2611111,372.87,387.22,392.69,384.0111111,393.9145455,400.11,402.38,399.9029412,394.9085714,400.1,366.3233333,392.8122581,400.49,407.0428571,404.5594737,415.3129268,421.5745455,406.4788889,404.8930435,387.1176596,367.7133333,360.0769231,350.4642857,345.6366667,349.7821951,352.5045946,358.5245455,355.7674074,359.33,347.93,351.3945455,345.0633333,355.85,356.7269231,362.3369231,367.2169231,363.9869231,365.4833333,368.0445455,366.8330435,371.0533333,371.8071429,376.4847059,382.5645455,379.2645455,384.8945455,384.4745455,385.255,384.0541935,394.8,402.9,404.97,402.8245455,411.9961538,415.3032653,419.7213043,413.4416279,436.18,450.65,462.04,447.4511111,427.4285714,421.3385714,422.1285714,449.3185714,469.55,461.77,465.78,462.07,463.09,449.39,469.94,481.07,L7
