dates,nzd0100-0000,nzd0100-0001,nzd0100-0002,nzd0100-0003,nzd0100-0004,nzd0100-0005,nzd0100-0006,nzd0100-0007,nzd0100-0008,nzd0100-0009,nzd0100-0010,nzd0100-0011,nzd0100-0012,nzd0100-0013,nzd0100-0014,nzd0100-0015,nzd0100-0016,nzd0100-0017,nzd0100-0018,nzd0100-0019,nzd0100-0020,nzd0100-0021,nzd0100-0022,nzd0100-0023,nzd0100-0024,nzd0100-0025,nzd0100-0026,nzd0100-0027,nzd0100-0028,nzd0100-0029,nzd0100-0030,nzd0100-0031,nzd0100-0032,nzd0100-0033,nzd0100-0034,nzd0100-0035,nzd0100-0036,nzd0100-0037,nzd0100-0038,nzd0100-0039,nzd0100-0040,nzd0100-0041,nzd0100-0042,nzd0100-0043,nzd0100-0044,nzd0100-0045,nzd0100-0046,nzd0100-0047,nzd0100-0048,nzd0100-0049,nzd0100-0050,nzd0100-0051,nzd0100-0052,nzd0100-0053,nzd0100-0054,nzd0100-0055,nzd0100-0056,nzd0100-0057,nzd0100-0058,nzd0100-0059,nzd0100-0060,nzd0100-0061,nzd0100-0062,nzd0100-0063,nzd0100-0064,nzd0100-0065,nzd0100-0066,nzd0100-0067,nzd0100-0068,nzd0100-0069,nzd0100-0070,nzd0100-0071,nzd0100-0072,nzd0100-0073,satname
1999-09-27 22:04:48+00:00,360.0966667,346.8909091,364.3033333,354.3530769,332.1271429,336.3888889,333.42,338.7588889,343.55,344.0509091,355.58,361.2809091,370.3666667,383.7066667,381.5366667,378.88,391.69,385.4466667,391.9966667,383.0888889,365.3809091,388.8409091,387.2915385,381.8566667,393.4809091,391.3766667,392.7709091,378.2015385,394.3033333,396.6566667,385.7815385,374.6066667,377.6966667,392.3366667,388.6966667,395.4809091,402.4466667,402.4809091,406.7766667,401.2166667,407.6766667,407.7909091,400.9209091,385.1809091,386.9566667,394.8409091,399.5315385,409.4466667,412.6666667,414.3466667,402.0566667,399.5166667,386.1415385,394.7909091,402.6309091,403.1809091,405.5309091,402.5566667,402.8785714,411.5585714,426.8466667,464.61,424.0888889,400.2766667,397.3366667,408.4009091,401.3866667,395.2315385,397.0015385,407.0509091,414.5166667,401.7385714,406.62,404.7115385,L7
1999-11-14 22:04:42+00:00,347.97,329.1663636,332.99,341.0930769,330.74,342.6033333,341.97,332.7333333,339.25,343.6963636,345.64,350.0363636,364.63,370.55,373.49,368.57,377.69,375.81,381.67,382.4333333,358.7263636,374.0363636,388.0615385,390.34,382.6763636,387.85,372.0763636,366.1415385,394.18,394.03,384.5415385,365.61,363.38,391.13,386.92,390.8463636,394.86,394.2363636,402.6,392.83,391.77,399.5563636,399.0763636,373.2763636,366.85,379.4863636,381.2215385,388.08,404.46,405.67,388.21,398.17,374.3415385,386.7663636,383.2263636,376.2763636,390.9163636,396.16,405.66,415.21,422.89,457.59,416.5733333,400.17,388.88,398.1163636,397.53,387.6115385,387.6415385,398.8063636,395.09,390.48,399.61,392.2615385,L7
2000-05-24 22:03:46+00:00,,,,,,,,,,,,,,,,,,371.45,377.67,381.4133333,353.1736364,371.4236364,382.3923077,377.4,376.1736364,,,,,,,,,,,,,,,,,,,,,,,398.01,402.37,400.84,389.74,389,385.9423077,401.3136364,375.3736364,380.5436364,380.8936364,381.89,391.9485714,398.0285714,410.2,444.44,411.1733333,402.15,396.72,405.9036364,400.54,398.1523077,400.5323077,406.5636364,402.86,397.2485714,398.06,394.6423077,L7
2000-08-12 22:02:54+00:00,,,,,,,,,,,,,,353.92,354.37,354.19,367.99,357.01,357.94,353.9266667,339.8172727,349.1372727,364.9138462,368.94,365.0472727,356.41,349.8372727,349.3138462,382.47,379.57,375.0038462,355.04,352.06,367.08,361.17,359.9072727,372.55,374.7872727,375.31,359.18,367.68,367.3272727,373.2072727,351.2572727,344.79,355.5772727,365.9938462,368.55,366.1,364.64,352.27,366.16,355.4238462,349.6072727,352.1172727,350.8872727,351.6272727,365.41,370.7442857,381.1742857,390.87,444.175,408.8366667,387.3,375.29,383.6372727,381.41,382.6938462,380.5538462,384.4872727,379.5,366.6542857,371.25,366.6438462,L7
2000-09-13 22:02:26+00:00,346.18,332.2218182,297.85,302.8323077,299.5385714,298.9366667,309.4,308.9366667,322.4,336.0118182,341.75,338.6218182,350.28,366.43,351.87,349.51,359.43,356.42,369.55,361.0466667,327.2818182,347.9018182,365.3861538,364.53,375.4318182,364.39,352.7418182,348.7961538,369.53,370.52,364.2961538,358.1,355.68,367.81,366.03,364.4518182,368.7,370.5718182,376.46,365.05,371.37,366.9118182,365.3718182,364.0718182,361.01,371.0318182,371.9861538,374.71,388.22,380.98,357.59,359.99,358.7161538,360.9118182,349.4518182,353.0718182,362.0718182,367.34,379.1442857,383.6742857,391.26,442.76,398.4966667,381.97,374.64,387.4818182,375.78,377.5461538,377.7261538,383.3218182,380.23,364.5642857,367.71,363.7961538,L7
2000-12-18 22:02:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.2776923,370.4663636,364.68,350.2014286,358.92,352.9776923,L7
2001-01-03 22:02:12+00:00,355.1466667,342.0890909,340.2233333,343.5892308,332.3228571,330.2122222,346.89,337.5322222,341.36,346.9690909,338.73,341.8490909,349.4066667,367.8966667,366.9566667,344.15,358.82,358.7966667,355.2666667,360.5922222,343.7790909,354.1190909,372.7646154,369.8066667,372.1390909,365.8466667,357.2490909,342.2346154,364.2633333,380.3766667,383.7746154,366.9066667,354.1166667,371.2066667,368.8966667,374.7090909,382.0666667,371.2290909,375.3566667,376.6066667,379.5466667,375.5190909,383.2190909,374.0390909,364.4366667,372.6490909,373.1346154,370.1466667,381.9066667,392.2066667,382.3566667,385.8166667,371.1746154,361.2390909,358.3290909,360.8190909,352.7690909,365.1166667,378.5114286,383.8114286,394.3366667,442.265,394.1622222,388.1466667,380.9866667,391.3290909,384.1566667,378.6646154,384.6246154,391.4690909,384.3366667,365.2314286,376.89,373.7146154,L7
2001-06-28 22:01:09+00:00,366.5766667,350.1209091,305.6033333,343.7576923,362.8328571,355.5355556,332.02,333.5355556,330.89,334.3609091,341.31,349.7609091,360.5566667,355.6566667,355.6866667,352.39,361.79,363.3866667,381.8066667,366.5955556,351.7509091,369.9409091,375.7038462,355.1566667,358.6309091,358.0766667,371.4309091,360.7238462,383.4133333,388.4566667,383.6538462,354.3566667,347.1166667,364.6466667,368.0166667,381.9609091,381.4466667,372.1209091,379.2166667,365.1366667,377.7266667,382.2209091,389.0009091,376.5509091,362.9066667,367.7909091,369.6838462,372.7666667,386.9466667,388.6466667,375.0966667,374.1066667,362.9438462,364.8309091,359.6209091,357.0309091,351.2309091,363.6666667,368.3614286,378.6114286,391.6966667,432.55,399.1955556,392.2066667,378.2566667,385.0709091,387.2066667,388.4038462,382.5638462,383.3509091,385.0466667,377.1914286,384.23,376.8838462,L7
2001-08-15 22:00:38+00:00,371.89,358.7963636,349.8,359.5976923,,332.98,337.19,334.72,329.44,335.7763636,344.17,346.3063636,354.85,355.81,353.3,345.03,374.53,377.08,387.51,371.85,373.0863636,372.5363636,374.9438462,351.62,356.0463636,365.06,361.5663636,352.1638462,379.59,380.79,378.9938462,346.35,342.09,370.04,369.54,370.3063636,393.81,382.5363636,381.37,366.86,375.44,368.6363636,378.0663636,365.7963636,356.4,357.8663636,359.2638462,373.78,391.72,410.31,378.25,367.15,350.8738462,358.6563636,357.9463636,355.9563636,346.5163636,353.16,364.8028571,376.7928571,382.98,442.54,405.88,387.41,379.9,382.8463636,380.48,,,,,,,,L7
2002-01-22 22:00:40+00:00,351.7766667,339.5136364,338.3533333,355.2161538,355.7457143,359.0555556,361.32,366.5055556,372.2,,389.09,,386.5466667,385.7966667,380.3466667,374.59,385.74,388.3766667,395.1966667,378.8155556,372.1036364,400.9936364,409.0430769,401.7866667,400.9236364,386.6666667,381.2936364,371.2030769,394.6733333,399.8666667,393.4630769,381.3066667,373.4366667,389.0866667,382.5966667,396.9136364,407.9966667,397.5036364,398.7666667,390.2666667,394.7666667,398.6436364,404.5936364,396.7436364,390.4466667,395.2836364,398.1630769,407.1166667,414.9166667,423.9166667,406.0166667,405.3766667,389.7230769,385.6836364,368.5736364,373.6436364,376.0536364,386.5366667,391.5728571,404.2028571,420.7166667,455.36,407.7555556,390.4866667,385.5366667,394.9336364,394.4766667,384.5930769,390.3430769,404.4636364,398.9766667,384.4628571,397.61,401.8430769,L7
2002-03-27 22:00:37+00:00,340.6633333,326.9309091,313.4366667,322.0369231,324.6485714,320.7644444,330.5,333.3744444,338.69,345.2209091,349.77,345.2509091,349.7433333,359.1933333,353.4833333,347.21,359.68,357.6433333,364.4133333,356.3444444,339.9609091,359.2509091,369.4384615,362.1333333,362.2509091,361.9133333,358.5209091,351.5184615,376.9866667,375.5433333,369.2184615,351.2433333,346.6833333,364.5833333,367.3533333,372.3009091,370.4833333,366.0009091,365.2433333,363.9833333,363.1933333,363.1509091,372.7209091,362.8809091,355.0433333,361.0409091,363.0384615,372.9033333,382.2333333,382.6333333,371.7333333,368.9333333,355.4184615,351.7009091,349.5309091,349.1809091,354.8709091,360.2933333,360.2642857,373.0242857,390.0933333,433.83,386.2344444,379.5933333,368.9833333,376.2309091,382.5233333,373.3784615,378.2584615,388.2209091,379.7633333,370.7642857,378.15,366.5984615,L7
2002-07-17 22:00:08+00:00,350.1733333,338.8136364,294.3066667,323.4115385,317.9628571,329.4511111,325.94,318.2811111,337.55,341.6236364,343.85,357.9236364,362.5033333,377.5133333,364.8733333,355.69,368.57,368.3633333,372.6533333,359.9411111,342.6536364,369.5736364,384.6107692,377.7733333,373.0636364,369.7833333,369.7136364,365.3707692,388.9666667,391.3133333,374.7607692,352.0333333,352.9133333,374.6633333,371.0933333,386.2536364,391.3633333,391.0436364,380.9233333,360.1433333,373.5333333,386.8636364,393.8136364,374.2336364,369.7233333,369.6836364,374.0407692,390.7433333,398.0133333,402.0933333,383.5333333,376.6733333,362.0007692,368.3236364,360.8036364,356.5136364,362.2636364,374.7733333,383.6014286,392.9914286,401.2633333,448.995,407.0711111,386.6233333,377.9533333,381.0936364,384.8533333,392.2407692,387.5307692,386.6536364,387.8433333,385.2414286,385,392.4507692,L7
2003-08-05 22:00:11+00:00,340.83,330.2918182,279.73,315.4584615,328.66,328.7633333,320.45,,,328.2618182,347.96,360.2518182,361.85,359.77,352.74,342.99,365.39,376.39,374.21,355.4133333,,,,365.26,365.3018182,365.23,366.0418182,372.7792308,401.22,391.98,367.5592308,340.81,333.74,359.88,,,391.28,383.6618182,379.23,361.71,361.71,371.1418182,376.3218182,370.1818182,373.52,376.8018182,380.2692308,393.44,,,,379.71,356.2992308,359.1718182,350.7718182,347.7518182,345.9818182,355.32,364.51,381.95,389.75,438.325,404.7033333,384.87,,,,387.5492308,385.5492308,388.4618182,387.24,363.26,368.53,371.6292308,L7
2003-11-09 22:00:18+00:00,354.1066667,330.8236364,,,329.3328571,330.3622222,336.47,337.9222222,340.38,349.7536364,357.97,356.1136364,362.6966667,375.4566667,,,,,,,,,,371.8266667,375.4036364,375.4566667,375.4436364,370.1169231,,,,358.4966667,360.4366667,380.3966667,376.6966667,382.1336364,386.9266667,385.3036364,380.7766667,,,,,,,,381.9769231,384.6666667,385.2766667,387.3366667,379.5566667,378.6566667,354.3169231,357.9036364,352.7936364,355.3636364,364.7736364,,,,,461.16,416.6822222,400.0066667,382.7966667,388.3536364,391.4866667,385.7169231,386.6869231,397.9836364,398.1366667,384.0814286,397.59,,L7
2003-12-19 21:50:27+00:00,368.1766667,352.4854545,363.2333333,350.9607692,349.5271429,357.0255556,357.33,355.0855556,343.7,352.2554545,359.27,362.0054545,365.3666667,376.6266667,387.6366667,379.77,382.37,374.6866667,378.9666667,370.6555556,353.7154545,360.1754545,369.0153846,363.9466667,364.4054545,362.6066667,363.7954545,367.0953846,400.8633333,393.7466667,385.1253846,366.6466667,365.6266667,382.3566667,377.4866667,374.2454545,373.4366667,372.0354545,374.7966667,361.5966667,364.3966667,370.1254545,388.4354545,382.9754545,383.3766667,385.7354545,384.4653846,390.3566667,392.1666667,380.3866667,364.7266667,360.3766667,346.8153846,350.1754545,343.3254545,350.9354545,368.3454545,374.1666667,385.5285714,401.0785714,417.6466667,449.84,,389.7266667,362.7966667,370.5254545,373.0466667,372.4753846,376.7353846,384.3154545,382.0166667,380.8085714,403.55,400.7553846,L5
2004-01-28 22:00:52+00:00,365.1633333,362.6209091,,,382.5671429,378.3877778,382.65,379.3577778,386.92,395.7209091,396.65,404.0909091,401.5333333,,,,,421.3633333,416.7933333,407.3477778,382.1209091,,408.2053846,400.6833333,,406.0233333,403.6609091,401.8553846,,,,394.6133333,398.5533333,410.3633333,408.5733333,417.6909091,416.4233333,413.6109091,409.6933333,397.1633333,397.8333333,402.2309091,,,,404.0309091,406.7153846,413.7733333,417.6633333,413.1233333,399.8533333,395.5833333,383.5253846,390.8609091,388.0809091,389.9209091,,,,,,,,,,,,,,,415.1633333,405.7785714,413.88,,L7
2004-04-01 22:01:04+00:00,355.23,,,345.9076923,351.0285714,364.2366667,367.48,360.2566667,372.36,382.3972727,391.17,393.1572727,401.11,,,,408.63,403.73,403.02,385.0466667,367.8572727,396.7872727,412.4738462,401.5,,406.98,399.3772727,,,413.56,394.4638462,379.21,375.43,397.15,399.42,401.4772727,403.79,394.6572727,396.27,378.44,384.84,,,,391.72,401.0472727,405.8538462,406.81,406.13,405.02,399.15,400.26,381.4638462,385.6272727,383.4272727,378.0372727,,,,420.2742857,427.55,452.685,418.3366667,399.55,390,407.6772727,410.87,406.9238462,413.0538462,424.4072727,418.62,,,,L7
2004-05-03 22:00:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,334.0118182,370.9866667,379.1718182,372.9869231,387.9733333,387.2166667,,,370.9966667,380.0666667,379.7466667,383.4318182,381.3966667,377.6718182,379.1066667,370.4166667,381.3266667,382.1018182,386.9318182,385.8918182,,,,395.0566667,389.9466667,386.4966667,381.1866667,376.0766667,355.5469231,358.3718182,350.6318182,366.6018182,362.6218182,366.6066667,378.7585714,,,,,,,,,,,,,,,,L7
