dates,nzd0104-0000,nzd0104-0001,nzd0104-0002,nzd0104-0003,nzd0104-0004,nzd0104-0005,nzd0104-0006,nzd0104-0007,nzd0104-0008,nzd0104-0009,nzd0104-0010,nzd0104-0011,nzd0104-0012,nzd0104-0013,nzd0104-0014,nzd0104-0015,nzd0104-0016,nzd0104-0017,nzd0104-0018,nzd0104-0019,nzd0104-0020,nzd0104-0021,nzd0104-0022,nzd0104-0023,nzd0104-0024,nzd0104-0025,nzd0104-0026,nzd0104-0027,nzd0104-0028,nzd0104-0029,nzd0104-0030,nzd0104-0031,nzd0104-0032,nzd0104-0033,nzd0104-0034,nzd0104-0035,nzd0104-0036,nzd0104-0037,nzd0104-0038,nzd0104-0039,nzd0104-0040,nzd0104-0041,nzd0104-0042,nzd0104-0043,nzd0104-0044,nzd0104-0045,nzd0104-0046,nzd0104-0047,nzd0104-0048,nzd0104-0049,nzd0104-0050,nzd0104-0051,nzd0104-0052,nzd0104-0053,nzd0104-0054,nzd0104-0055,nzd0104-0056,nzd0104-0057,nzd0104-0058,nzd0104-0059,nzd0104-0060,nzd0104-0061,nzd0104-0062,nzd0104-0063,nzd0104-0064,nzd0104-0065,nzd0104-0066,nzd0104-0067,nzd0104-0068,nzd0104-0069,nzd0104-0070,nzd0104-0071,nzd0104-0072,nzd0104-0073,nzd0104-0074,nzd0104-0075,nzd0104-0076,nzd0104-0077,nzd0104-0078,nzd0104-0079,nzd0104-0080,nzd0104-0081,nzd0104-0082,nzd0104-0083,nzd0104-0084,nzd0104-0085,nzd0104-0086,nzd0104-0087,nzd0104-0088,nzd0104-0089,nzd0104-0090,nzd0104-0091,nzd0104-0092,nzd0104-0093,nzd0104-0094,satname,average value
1999-08-26 22:04:44+00:00,344.1242857,372,,378.04,376.2066667,381.6242857,388.9066667,382.1842857,382.19,382.2477778,378.0377778,374.6877778,373.5877778,370.4077778,373.25,366.2377778,369.4077778,367.9181818,366.1361538,368.6261538,370.1333333,376.6961538,371.5833333,366.2033333,365.7881818,361.3161538,363.2961538,364.8961538,364.1161538,370.7833333,368.7981818,367.3533333,377.2833333,373.4233333,377.1533333,372.5661538,367.9761538,368.6933333,363.1881818,356.1181818,350.7871429,350.5481818,357.9,352.7181818,359.9881818,365.6781818,370.0833333,372.4181818,374.0681818,373.7181818,379.21,379.4277778,369.7577778,366.29,361.0177778,357.5381818,354.25,348.92,359.1377778,353.5581818,355.4481818,356.8677778,357.3377778,362.6681818,359.2633333,351.27,358.0877778,356.53,349.7981818,342.11,342.0681818,341.6081818,347.6342857,346.9677778,347.09,350.7977778,351.7642857,342.47,347.28,345.89,352.5977778,347.9381818,355.8171429,367.2533333,364.9677778,366.5577778,367.8177778,365.0433333,363.5,364.2377778,357.03,349.3242857,352.1366667,349.19,363.44,L7,
1999-09-27 22:04:48+00:00,365.55,404.52,410.23,391.34,386.7866667,382.83,389.7966667,391.59,387.94,385.7977778,385.6077778,378.6877778,378.9377778,377.8077778,375.08,360.0277778,378.5177778,371.4681818,366.6069231,370.5469231,367.4133333,369.5369231,367.2933333,359.1633333,361.9481818,358.5969231,359.6669231,364.1069231,367.3769231,367.7433333,374.1181818,374.8233333,372.8533333,375.5833333,371.8033333,368.2169231,370.6269231,369.5633333,362.9181818,362.3181818,352.78,360.2981818,364,363.5281818,367.6581818,366.8781818,370.0333333,366.6481818,367.6081818,364.9081818,375.27,371.1477778,370.2877778,367.83,362.6577778,352.7981818,361.02,353.77,361.3877778,357.2681818,349.6381818,358.4477778,358.5177778,359.5681818,354.8933333,355.08,358.8277778,357,355.3481818,348.07,344.7881818,345.0781818,356.63,346.0477778,340.79,338.7877778,353.42,340.59,344.61,351.14,348.2777778,355.7581818,363.23,373.4833333,361.1077778,363.2177778,366.1177778,358.7033333,371.27,364.6977778,368.55,360.23,366.9166667,375.3,391.13,L7,
1999-11-14 22:04:42+00:00,,391.44,393.21,382.31,383.2266667,390.8414286,397.0066667,386.1714286,386.02,383.1077778,379.9877778,378.6477778,380.3277778,377.5077778,377.62,368.6577778,377.8777778,379.8,377.1592308,372.9292308,379.8233333,379.9692308,369.3333333,363.5733333,359.88,364.3592308,363.1792308,367.3492308,373.2292308,376.9233333,380.89,373.8833333,373.4133333,374.6933333,373.4733333,375.3092308,369.8292308,368.5933333,364.65,356.15,354.1357143,352.15,359.26,360.52,364.58,365.86,364.8533333,364.59,359.64,362.93,363.24,366.8777778,361.3077778,361.17,358.3177778,354.64,357.91,353.27,354.7677778,351.08,347.19,354.7077778,354.0377778,355.47,351.4333333,352.44,348.2177778,355.09,350.38,341.75,340.02,340.03,340.2414286,341.0177778,334.99,329.8177778,336.7314286,330.96,332.58,336.78,339.2077778,342.33,349.8257143,361.2833333,352.8177778,367.0877778,364.3877778,367.7233333,366.55,,,,,,,L7,
2000-01-01 22:04:37+00:00,,360.48,372.15,368.62,373.8533333,387.3728571,378.0833333,373.9028571,373.28,371.9488889,368.1488889,366.5688889,363.2488889,364.0088889,371.24,360.4288889,366.5188889,366.3627273,367.3630769,366.5930769,367.2866667,371.2430769,360.7666667,353.5266667,350.8427273,355.3030769,355.8830769,359.9930769,362.9530769,363.6666667,365.9127273,369.0066667,373.2266667,373.5366667,374.4066667,373.2430769,370.8730769,366.7566667,361.9427273,357.7327273,360.0714286,359.4527273,361.08,365.8227273,365.0827273,366.8027273,363.0266667,361.9027273,367.4427273,365.7827273,371.67,372.5988889,366.4188889,359.31,358.9288889,360.6227273,352.09,352.84,356.0888889,362.5527273,361.5227273,353.4188889,357.5888889,347.3227273,350.0966667,338.12,344.9788889,353.8,342.7627273,337.41,336.5327273,333.8827273,330.5428571,327.3088889,336.46,328.8188889,316.5828571,329.56,325.99,325.66,339.4688889,344.9127273,343.6914286,353.5466667,354.5188889,356.1788889,361.2988889,356.5066667,362.68,372.5388889,363.13,349.2728571,,,,L7,
2001-01-03 22:02:12+00:00,,373.64,367.12,361.63,365.11,369.8171429,372.73,371.9071429,371.6,372.54,369.66,367.88,369.77,364.98,365.11,362.56,356.61,354.4772727,355.7107692,355.8807692,359.47,360.9307692,355.4,353.41,344.7672727,350.1207692,357.3607692,353.7807692,356.5907692,359.06,354.9672727,352.91,359.05,361.8,360.62,362.0207692,350.4207692,343.1,348.7472727,349.6872727,340.6485714,342.4972727,337.66,341.8272727,341.2272727,342.3372727,342.21,337.1872727,342.9772727,359.3372727,368.14,362.48,361.28,358.99,348.64,332.1072727,338.65,342.45,339.49,342.6472727,337.1672727,336.5,345.86,342.2872727,343.1,338.91,336.95,343.67,338.6372727,323.69,321.7372727,318.0672727,317.9871429,326.65,326.24,332.8,333.8871429,333.26,337.18,338.63,335.96,333.5672727,340.6785714,343.53,345.39,339.98,345.66,354.41,352.38,349.5,345.92,342.9271429,341.13,357.48,351.94,L7,
2001-05-11 22:01:45+00:00,,,,,,,379.8933333,376.6342857,,,,,,,,,,,,,,,,,,,335.4123077,344.9123077,339.0023077,339.6466667,345.2581818,347.1866667,344.4166667,348.9266667,342.1966667,349.2623077,349.9623077,,,,,,,,336.5981818,339.9081818,336.2466667,338.6381818,,,,,,,338.5388889,338.9481818,,,,,,,,,,,,,,,,,,,,327.1388889,,,,,,,,344.8366667,336.5688889,337.3588889,345.7888889,340.8166667,345.13,349.1488889,,,,,,L7,
2001-12-05 22:00:18+00:00,,401.11,396.75,381.56,373.0533333,374.14,380.9733333,361.36,363.21,370.1422222,372.6622222,373.4022222,373.8122222,366.4722222,366.21,365.6422222,358.1622222,363.5454545,359.29,370.25,367.8766667,369.02,365.4466667,352.8166667,354.5154545,350.59,345.78,350.38,349.46,348.7766667,348.1054545,354.7366667,359.0966667,353.4966667,352.5966667,352.3,353.44,348.0166667,347.7254545,346.9754545,345.98,343.1954545,344.57,345.7054545,345.1654545,345.0754545,342.1966667,341.9854545,343.4154545,348.4054545,356.19,357.8722222,350.6622222,351.97,344.4522222,331.9254545,338.85,341.03,344.4622222,343.4554545,338.7754545,347.6422222,344.8122222,344.2454545,340.8266667,341.27,334.7122222,335.24,328.5654545,332.39,322.1954545,325.7854545,339.55,337.7222222,334.93,328.6322222,334.35,325.63,323.89,329.31,329.3922222,325.0454545,326.72,334.1766667,344.7522222,350.8122222,353.1722222,349.4066667,360.1,354.3422222,352.71,344.19,356.6633333,361.83,347.69,L7,
2002-01-22 22:00:40+00:00,,386.59,383.05,373.95,370.6133333,369.4857143,365.7833333,354.8457143,373.39,376.9155556,376.8255556,376.6455556,375.3155556,372.9455556,375.69,369.0455556,370.1555556,371.5636364,370.7830769,372.7630769,375.0466667,375.2630769,369.2266667,364.2066667,359.8836364,357.2830769,360.3930769,361.4730769,361.6630769,364.2366667,366.8536364,370.1466667,373.4566667,375.4266667,373.9066667,375.4230769,375.3330769,371.5966667,371.0736364,370.9236364,371.8128571,368.1936364,370.49,378.8736364,375.2836364,373.5036364,373.4566667,371.4236364,368.9636364,380.4836364,385.95,384.5155556,378.2555556,375.26,368.3255556,364.0336364,357.81,361.66,365.0855556,364.9336364,362.7136364,364.9355556,370.1755556,373.4436364,374.8866667,363.79,359.1355556,362.83,356.7436364,353.96,346.0936364,351.8836364,355.2957143,361.0955556,365.21,363.0855556,350.7957143,348.79,346.89,340.06,348.1555556,340.9336364,347.6128571,355.3066667,354.0455556,351.3555556,357.8955556,364.0166667,362.01,363.5955556,352.36,349.8057143,359.8633333,384.71,,L7,
2002-04-28 22:00:38+00:00,348.1014286,395.2,395.7,382.45,376.4066667,367.3914286,373.7266667,364.5814286,365.27,371.1411111,375.3711111,375.1211111,372.6911111,374.3411111,374.15,368.2411111,367.6411111,364.5163636,366.0307692,369.9707692,368.8433333,370.8607692,362.6633333,347.9533333,347.4263636,347.5807692,350.0407692,349.9307692,347.5807692,352.9733333,361.9563636,359.3233333,360.4233333,362.8933333,370.4033333,362.6007692,362.5807692,364.4733333,359.1063636,354.8563636,351.5857143,352.2463636,355.14,361.6663636,358.1763636,359.1463636,355.7933333,354.8563636,355.3963636,356.2563636,359.29,357.2011111,352.9611111,353.31,346.9511111,343.3963636,344.19,346.23,342.4311111,344.7963636,341.7263636,352.8311111,357.7311111,352.5563636,349.2233333,345.85,344.5411111,344.52,334.2763636,332.61,327.1463636,328.4663636,339.9314286,340.2511111,338.4,331.3611111,333.9514286,323.05,326.67,329.41,329.6311111,331.1863636,333.3657143,344.1733333,347.1711111,350.6511111,353.5511111,342.2333333,350.75,350.3811111,346.36,345.3314286,355.0966667,359.14,350.24,L7,
2002-07-17 22:00:08+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357.2169231,358.4366667,,,,,,,,,,,,,,,,,,348.8818182,349.0118182,342.9318182,350.37,352.1488889,350.4288889,346.76,345.2888889,334.8918182,339.62,336.81,338.8788889,338.5518182,333.9318182,350.5688889,350.9688889,343.8718182,342.3766667,337.12,336.4188889,339.05,343.4018182,343.9,332.1418182,330.1118182,326.2871429,327.9988889,326.99,332.1388889,320.2671429,327.55,319.9,325.05,328.3188889,333.4918182,340.1485714,339.5166667,342.4088889,345.0388889,345.9888889,,,,,,,,,L7,
