dates,nzd0170-0000,nzd0170-0001,nzd0170-0002,nzd0170-0003,nzd0170-0004,nzd0170-0005,satname
1999-07-18 21:58:49+00:00,339.8866667,347.4931579,357.8523529,355.74,351.1728571,344.8366667,L7
1999-09-20 21:58:56+00:00,328.6066667,329.0521053,338.4352941,348.95,346.79,341.1166667,L7
1999-10-22 21:58:52+00:00,327.7,334.9726316,347.1852941,352.57,346.6314286,350.19,L7
1999-11-07 21:58:32+00:00,,,,335.44,334.1271429,335.5233333,L7
1999-12-09 21:58:57+00:00,334.68,338.1442105,339.7229412,352.05,347.0042857,343.95,L7
2000-02-27 21:58:40+00:00,332.3066667,341.7989474,356.7694118,355.48,355.1285714,359.5166667,L7
2000-03-14 21:58:11+00:00,324.0966667,331.4810526,345.05,349.3,346.4228571,349.4366667,L7
2000-03-30 21:58:09+00:00,325.5833333,335.4984211,347.9335294,355.83,350.3842857,353.2133333,L7
2000-05-01 21:58:18+00:00,320.1866667,335.4831579,342.3405882,348.85,346.0571429,351.8366667,L7
2000-08-05 21:56:44+00:00,301.4833333,304.3236842,320.5876471,335.16,333.6285714,331.5833333,L7
2000-09-22 21:56:05+00:00,324.0633333,329.62,335.3494118,346.89,348.4514286,348.0033333,L7
2000-10-24 21:56:17+00:00,310.3466667,310.2757895,323.7717647,337.76,333.3914286,328.8266667,L7
2001-01-12 21:56:30+00:00,305.9833333,295.7336842,312.3435294,326.31,324.0814286,325.8533333,L7
2001-03-01 21:56:21+00:00,314.8166667,322.7789474,335.7552941,338.53,331.9214286,338.7166667,L7
2001-06-05 21:55:40+00:00,321.4033333,330.2047368,333.5270588,341.99,,335.2633333,L7
2001-06-21 21:55:29+00:00,323.6666667,326.3673684,336.2635294,343,,353.2766667,L7
2001-09-09 21:54:36+00:00,308.5566667,312.62,321.2805882,327.23,322.9585714,334.0866667,L7
2001-10-11 21:53:46+00:00,324.5466667,331.6552632,338.0270588,345.13,335.0442857,352.7266667,L7
2002-01-15 21:54:23+00:00,335.6133333,335.3842105,349.5882353,356.5,365.0985714,359.6233333,L7
2002-01-31 21:54:26+00:00,313.39,316.0884211,333.2558824,341.44,338.1885714,340.47,L7
2002-02-16 21:54:54+00:00,288.2966667,288.3094737,296.1858824,313.61,314.5214286,316.4566667,L7
