nzd_name,orientation,coordinate,location,y,x,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",N,-34.429002,172.946715,4,0.008380643333203182,2.0,-0.22859132095163032
nzd0006,95.1,"-34.460544,172.999415",N,-34.460544,172.999415,2,,,
nzd0011,232.4,"-34.714696,172.929167",W,-34.714696,172.929167,3,0.1924599551479354,1.0,-0.11202713513299956
nzd0019,330.08,"-34.804460,173.394798",N,-34.80446,173.394798,4,,,
nzd0025,234.93,"-34.828244,173.028933",W,-34.828244,173.028933,3,0.3181108665084393,0.0,0.0834859859282752
nzd0029,14.44,"-34.875018,173.202629",N,-34.875018,173.202629,1,0.0020787119161890947,3.0,-0.30288717499041384
nzd0036,330.03,"-34.963229,173.677262",N,-34.963229,173.677262,4,0.001177054178580649,1.0,-0.21401824925056642
nzd0046,251.25,"-35.020317,173.164765",W,-35.020317,173.164765,3,0.004327389115410506,0.0,0.24147655965633702
nzd0053,104.04,"-35.033276,173.909632",N,-35.033276,173.909632,2,0.003615876018363834,2.0,-0.19366285086913015
nzd0054,267.93,"-35.082333,173.180023",W,-35.082333,173.180023,3,0.03844282042572984,0.0,0.16978591680008737
nzd0059,235.0,"-35.152967,173.163400",W,-35.152967,173.1634,3,0.026552102811677986,1.0,-0.19234449145040483
nzd0070,232.56,"-35.411860,173.260164",W,-35.41186,173.260164,3,0.2796665710005619,0.0,0.07530595034974054
nzd0075,112.46,"-35.435482,174.425048",N,-35.435482,174.425048,2,0.059845419750711,2.0,0.136789804248388
nzd0090,20.4,"-35.563843,174.489134",N,-35.563843,174.489134,1,,,
nzd0100,62.1,"-35.820410,174.557552",N,-35.82041,174.557552,1,0.07544424519650318,3.0,-0.13836155533409994
nzd0106,69.89,"-35.983841,174.474238",N,-35.983841,174.474238,1,0.02713529919007933,3.0,-0.1867704760823075
nzd0115,240.4,"-36.115880,173.890577",W,-36.11588,173.890577,3,0.0026656139597191837,0.0,0.2460361144135603
nzd0119,49.92,"-36.212040,174.699727",N,-36.21204,174.699727,1,0.024826603749096263,1.0,-0.15596376587778743
nzd0121,250.31,"-36.289352,174.008503",W,-36.289352,174.008503,3,0.22146847019475724,2.0,0.10631578111605647
nzd0161,238.91,"-36.685865,174.334589",W,-36.685865,174.334589,3,0.0003329481099117528,0.0,0.25435369863298296
nzd0191,96.52,"-37.087958,175.883102",N,-37.084162,175.883443,2,0.5331597265702772,2.0,-0.039596971419608745
nzd0205,245.66,"-37.489125,174.738749",W,-37.489125,174.738749,3,,,
nzd0215,40.18,"-37.665481,178.506463",N,-37.665481,178.506463,1,0.23207246381958402,3.0,-0.08597259295388396
nzd0231,19.31,"-37.901067,176.837798",N,-37.901067,176.837798,1,0.1362920608474023,3.0,-0.10075660901046816
nzd0236,338.24,"-37.932388,177.506280",N,-37.932388,177.50628,4,0.09989416665125589,1.0,0.10206941756645996
nzd0232,251.76,"-37.901906,174.772844",W,-37.901906,174.772844,3,0.022894415732561638,0.0,0.17000700766034021
nzd0240,355.21,"-37.991170,177.334113",N,-37.99117,177.334113,4,0.007571661426003492,3.0,-0.16464973897453722
nzd0242,112.55,"-38.003452,178.336959",E,-38.003452,178.336959,2,0.2511195613240378,3.0,-0.08012297219294302
nzd0251,12.09,"-38.252944,178.323944",E,-38.252944,178.323944,1,,,
nzd0254,109.27,"-38.308032,178.322004",E,-38.308032,178.322004,2,,,
nzd0257,291.14,"-38.373922,174.664813",W,-38.373922,174.664813,4,0.03980481141914738,3.0,0.15424969243492417
nzd0263,105.71,"-38.565705,178.228058",E,-38.565705,178.228058,2,0.1117417590710006,1.0,-0.10608220463595221
nzd0266,274.03,"-38.596155,174.632046",W,-38.596155,174.632046,4,,,
nzd0273,281.44,"-38.791640,174.596652",W,-38.79164,174.596652,4,0.5721449726532789,1.0,0.03977935945148668
nzd0275,104.74,"-38.802263,177.918341",E,-38.802263,177.918341,2,0.011886859552078924,1.0,-0.17208313562655264
nzd0277,310.72,"-39.007556,174.174006",W,-39.007556,174.174006,4,0.011187860310167849,1.0,-0.15561803688596498
nzd0279,82.04,"-39.036133,177.884430",E,-39.036133,177.88443,1,0.6811368264144901,0.0,0.02852010404006332
nzd0286,74.62,"-39.182892,177.920762",E,-39.182892,177.920762,1,0.03765294683688178,3.0,0.14859752160529416
nzd0295,123.88,"-39.716367,177.022420",E,-39.716367,177.02242,2,0.0024804148914059133,3.0,-0.18760868675635942
nzd0299,199.78,"-39.857357,174.806918",W,-39.857124,174.806073,3,0.34052601764544277,0.0,0.07632202154351561
nzd0305,92.35,"-40.050120,176.875841",E,-40.05012,176.875841,2,,,
nzd0315,279.08,"-40.521342,175.205215",W,-40.521342,175.205215,4,0.0029245276785044814,0.0,0.19412179388821724
nzd0321,294.62,"-40.793391,175.085263",W,-40.793391,175.085263,4,0.00727649544262259,0.0,0.18341560963565226
nzd0324,106.51,"-40.886570,176.215881",E,-40.88657,176.215881,2,0.048637467898630125,3.0,-0.12484216084114626
nzd0332,289.1,"-40.959957,174.970738",W,-40.959957,174.970738,4,,,
nzd0343,118.76,"-41.137874,176.044767",E,-41.137874,176.044767,2,0.0027516483621957953,3.0,-0.19785601567444594
nzd0348,149.61,"-41.270162,175.884555",E,-41.270162,175.884555,2,0.027288194740208632,1.0,0.15456665737982728
