Year-Month,nzd0263_Average_Value,month,climatology,monthly_anomaly,Value,Smooth_Value
1999-10,-0.0008495723677060887,10,-0.0008495723677044652,-1.6234843330797943e-15,1.0,1.1312349407057403
2000-01,-0.0008495723677060891,1,-0.0008495723677044302,-1.6589377441200703e-15,0.7,1.1293715202819472
2000-02,-0.0008495723677060894,2,-0.0008495723677042161,-1.8732845136204546e-15,1.7,1.0896577821776416
2000-04,-0.0008495723677060895,4,-0.0008495723677042728,-1.8166891602167112e-15,1.2,0.8508163657425184
2000-05,-0.0008495723677060899,5,-0.0008495723677043391,-1.7507696681295926e-15,0.4,0.6999413282758778
2000-08,-0.0008495723677060907,8,-0.0008495723677041971,-1.8935590942459335e-15,0.7,0.6937838586036505
2000-12,-0.0008495723677060911,12,-0.0008495723677043641,-1.72702564055216e-15,0.8,1.1016301344203876
2001-04,-0.0008495723677060919,4,-0.0008495723677042728,-1.8190744049961793e-15,0.2,0.4534222049762527
2001-05,-0.000849572367706093,5,-0.0008495723677043391,-1.7539138544298005e-15,-0.5,0.22928290793435718
2001-07,-0.0008495723677060937,7,-0.0008495723677044277,-1.6659850582412261e-15,-0.2,-0.015451580642582645
2001-08,-0.0008495723677060943,8,-0.0008495723677041971,-1.8972453816323842e-15,-0.4,-0.04066598657656731
2001-09,-0.0008495723677060957,9,-0.0008495723677050704,-1.025221574302293e-15,0.2,-0.006887446005250628
2001-10,-0.0008495723677060973,10,-0.0008495723677044652,-1.6320495302424298e-15,-0.0,0.050846618677595115
2002-01,-0.0008495723677060986,1,-0.0008495723677044302,-1.6683703030206942e-15,0.4,0.2031183553382666
2002-02,-0.0008495723677060997,2,-0.0008495723677042161,-1.883584434259067e-15,1.1,0.20072911547736277
2002-03,-0.0008495723677061007,3,-0.0008495723677046583,-1.4424225702747151e-15,0.2,0.11335055679177658
2002-09,-0.0008495723677061023,9,-0.0008495723677050704,-1.0318352075544546e-15,-0.6,-0.6105144835348872
2003-01,-0.0008495723677061043,1,-0.0008495723677044302,-1.6741165745348674e-15,-0.2,-0.45250304256820195
2003-02,-0.000849572367706106,2,-0.0008495723677042161,-1.8898728068594828e-15,-0.7,-0.32796122956757046
2003-03,-0.0008495723677061078,3,-0.0008495723677046583,-1.4494698843958709e-15,0.3,-0.18867411338421397
2003-05,-0.0008495723677061099,5,-0.0008495723677043391,-1.7707189881033258e-15,-0.3,0.02670635975240887
2003-07,-0.0008495723677061119,7,-0.0008495723677044277,-1.6841996547389826e-15,0.3,0.13021080500016283
2003-08,-0.0008495723677061132,8,-0.0008495723677041971,-1.916110499433632e-15,0.1,0.12182520502729159
2003-09,-0.0008495723677061145,9,-0.0008495723677050704,-1.0440866921035408e-15,-0.1,0.10170633079667826
2003-10,-0.0008495723677061158,10,-0.0008495723677044652,-1.650589387391932e-15,0.0,0.09268481780810067
2003-11,-0.0008495723677061185,11,-0.0008495723677044195,-1.699053224502034e-15,-0.3,0.10231638691507099
2003-12,-0.0008495723677061229,12,-0.0008495723677043641,-1.7587927642059853e-15,1.1,0.13113787822783673
2004-01,-0.0008495723677061257,1,-0.0008495723677044302,-1.6954753573328318e-15,-1.3,0.1492193217835568
2004-02,-0.0008495723677061272,2,-0.0008495723677042161,-1.9111231694401987e-15,1.2,0.20000120731501475
2004-03,-0.0008495723677061297,3,-0.0008495723677046583,-1.471370768280078e-15,0.4,0.21717684231966178
2004-04,-0.0008495723677061318,4,-0.0008495723677042728,-1.858973044943646e-15,-0.9,0.21016792687589114
2004-05,-0.0008495723677061333,5,-0.0008495723677043391,-1.7941377550290127e-15,1.0,0.20224108163498
2004-06,-0.0008495723677061353,6,-0.0008495723677043518,-1.7835125737386548e-15,0.8,0.13259159315039448
2004-07,-0.0008495723677061374,7,-0.0008495723677044277,-1.709678405792392e-15,-0.5,0.0008278214681042423
2004-08,-0.00084957236770614,8,-0.0008495723677041971,-1.942890293094024e-15,-0.3,-0.14290004650028554
2004-09,-0.0008495723677061428,9,-0.0008495723677050704,-1.0723843688054124e-15,-0.3,-0.2863687555125189
2004-10,-0.0008495723677061452,10,-0.0008495723677044652,-1.6799712662662891e-15,-0.1,-0.42925199164277067
2004-11,-0.0008495723677061472,11,-0.0008495723677044195,-1.7276761618556513e-15,-0.7,-0.5722557144454079
2004-12,-0.0008495723677061482,12,-0.0008495723677043641,-1.784163095042146e-15,-0.8,-0.6911521292907223
2005-01,-0.0008495723677061491,1,-0.0008495723677044302,-1.7188941242585187e-15,0.3,-0.7713873226348781
2005-02,-0.0008495723677061506,2,-0.0008495723677042161,-1.9345419363658856e-15,-3.1,-0.8066502651704671
2005-03,-0.0008495723677061518,3,-0.0008495723677046583,-1.4934884925987824e-15,0.3,-0.7094953898603986
2005-04,-0.0008495723677061522,4,-0.0008495723677042728,-1.879464466003622e-15,-0.6,-0.566149028388844
2005-05,-0.0008495723677061527,5,-0.0008495723677043391,-1.8135449739165033e-15,-0.8,-0.3863899569516913
2005-06,-0.0008495723677061524,6,-0.0008495723677043518,-1.8005345478466772e-15,0.4,-0.18256043450717763
2005-07,-0.0008495723677061513,7,-0.0008495723677044277,-1.7235561936002064e-15,0.2,0.0016752184554831712
