nzd_name,orientation,coordinate,location,y,x,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",N,-34.429002,172.946715,4,0.002499656392960415,3.0,-0.2620339651841702
nzd0006,95.1,"-34.460544,172.999415",N,-34.460544,172.999415,2,,,
nzd0011,232.4,"-34.714696,172.929167",W,-34.714696,172.929167,3,0.4893522272350051,3.0,-0.060005368079245475
nzd0019,330.08,"-34.804460,173.394798",N,-34.80446,173.394798,4,,,
nzd0025,234.93,"-34.828244,173.028933",W,-34.828244,173.028933,3,0.5306831497048976,0.0,0.05248484261909914
nzd0029,14.44,"-34.875018,173.202629",N,-34.875018,173.202629,1,3.2699514466100314e-07,3.0,-0.4823062940168512
nzd0036,330.03,"-34.963229,173.677262",N,-34.963229,173.677262,4,9.364077435310441e-10,3.0,-0.39359721894277677
nzd0046,251.25,"-35.020317,173.164765",W,-35.020317,173.164765,3,0.0009734572312263334,0.0,0.2777336139048741
nzd0053,104.04,"-35.033276,173.909632",N,-35.033276,173.909632,2,6.618402397502107e-05,1.0,-0.26274872343539984
nzd0054,267.93,"-35.082333,173.180023",W,-35.082333,173.180023,3,0.08677232950650017,0.0,0.14079376913907796
nzd0059,235.0,"-35.152967,173.163400",W,-35.152967,173.1634,3,0.0008763290607979282,2.0,-0.2862578728870051
nzd0070,232.56,"-35.411860,173.260164",W,-35.41186,173.260164,3,0.09238240546342345,0.0,0.11699639624887931
nzd0075,112.46,"-35.435482,174.425048",N,-35.435482,174.425048,2,0.2765346969546284,3.0,0.07955254426704492
nzd0090,20.4,"-35.563843,174.489134",N,-35.563843,174.489134,1,,,
nzd0100,62.1,"-35.820410,174.557552",N,-35.82041,174.557552,1,0.0009999319626116938,3.0,-0.2531360502148526
nzd0106,69.89,"-35.983841,174.474238",N,-35.983841,174.474238,1,4.127758874780369e-05,3.0,-0.33923923522460164
nzd0115,240.4,"-36.115880,173.890577",W,-36.11588,173.890577,3,5.810139159699995e-06,0.0,0.3640845480395371
nzd0119,49.92,"-36.212040,174.699727",N,-36.21204,174.699727,1,9.789782024052843e-05,3.0,-0.2687122962098847
nzd0121,250.31,"-36.289352,174.008503",W,-36.289352,174.008503,3,0.04643506761616426,0.0,0.1710806083550359
nzd0161,238.91,"-36.685865,174.334589",W,-36.685865,174.334589,3,2.902467531230824e-06,0.0,0.32777700601372606
nzd0191,96.52,"-37.087958,175.883102",N,-37.084162,175.883443,2,0.1024422625280964,3.0,-0.10373779089736954
nzd0205,245.66,"-37.489125,174.738749",W,-37.489125,174.738749,3,,,
nzd0215,40.18,"-37.665481,178.506463",N,-37.665481,178.506463,1,0.02415309775594182,3.0,-0.16143870041925074
nzd0231,19.31,"-37.901067,176.837798",N,-37.901067,176.837798,1,0.004030432321365532,3.0,-0.19315554029381887
nzd0236,338.24,"-37.932388,177.506280",N,-37.932388,177.50628,4,0.004306865109679934,0.0,0.17583259179921848
nzd0232,251.76,"-37.901906,174.772844",W,-37.901906,174.772844,3,0.05018332819660045,0.0,0.14661271007977406
nzd0240,355.21,"-37.991170,177.334113",N,-37.99117,177.334113,4,4.595686239969798e-06,3.0,-0.2788040034927095
nzd0242,112.55,"-38.003452,178.336959",E,-38.003452,178.336959,2,0.05362202542424624,3.0,-0.13434058988362438
nzd0251,12.09,"-38.252944,178.323944",E,-38.252944,178.323944,1,,,
nzd0254,109.27,"-38.308032,178.322004",E,-38.308032,178.322004,2,,,
nzd0257,291.14,"-38.373922,174.664813",W,-38.373922,174.664813,4,1.2795437872017297e-06,2.0,0.3527432004231732
nzd0263,105.71,"-38.565705,178.228058",E,-38.565705,178.228058,2,0.08360216628592829,3.0,-0.11585958843568929
nzd0266,274.03,"-38.596155,174.632046",W,-38.596155,174.632046,4,,,
nzd0273,281.44,"-38.791640,174.596652",W,-38.79164,174.596652,4,0.18527058743796704,3.0,-0.09358166453040555
nzd0275,104.74,"-38.802263,177.918341",E,-38.802263,177.918341,2,0.03212117185226242,0.0,-0.14655209878113815
nzd0277,310.72,"-39.007556,174.174006",W,-39.007556,174.174006,4,0.00015341815434149897,2.0,-0.2309187898675768
nzd0279,82.04,"-39.036133,177.884430",E,-39.036133,177.88443,1,0.34723987761753256,0.0,0.06518321149791177
nzd0286,74.62,"-39.182892,177.920762",E,-39.182892,177.920762,1,0.007286664902159141,0.0,0.1896895584428283
nzd0295,123.88,"-39.716367,177.022420",E,-39.716367,177.02242,2,2.9315310135993086e-05,3.0,-0.25702014253098393
nzd0299,199.78,"-39.857357,174.806918",W,-39.857124,174.806073,3,0.6401199439182661,3.0,0.03784589070890673
nzd0305,92.35,"-40.050120,176.875841",E,-40.05012,176.875841,2,,,
nzd0315,279.08,"-40.521342,175.205215",W,-40.521342,175.205215,4,1.3684715406189477e-05,0.0,0.2806653367464151
nzd0321,294.62,"-40.793391,175.085263",W,-40.793391,175.085263,4,0.0008927428759725475,0.0,0.2260182465635403
nzd0324,106.51,"-40.886570,176.215881",E,-40.88657,176.215881,2,0.0015548770559324272,3.0,-0.19911440660462149
nzd0332,289.1,"-40.959957,174.970738",W,-40.959957,174.970738,4,,,
nzd0343,118.76,"-41.137874,176.044767",E,-41.137874,176.044767,2,1.3384938743154528e-05,3.0,-0.2845414722170857
nzd0348,149.61,"-41.270162,175.884555",E,-41.270162,175.884555,2,0.38873844073752406,1.0,0.060662753794001434
