Year-Month,nzd0236_Average_Value,month,climatology,monthly_anomaly
1999-08,5.657350240389109,8,2.2038620969226295,3.4534881434664793
1999-09,6.647609585994006,9,-0.04438992474331217,6.691999510737318
1999-10,7.495389365977514,10,-1.359575917213029,8.854965283190543
2000-02,7.841863904783749,2,-3.6171771571897704,11.459041061973519
2000-03,8.084894676826083,3,-1.308055432866042,9.392950109692126
2000-05,8.518183711664683,5,3.9164772296451194,4.601706482019564
2000-07,8.73814760093841,7,4.17787823535363,4.56026936558478
2000-08,8.319850491886875,8,2.2038620969226295,6.115988394964246
2000-09,7.143007310601412,9,-0.04438992474331217,7.187397235344724
2000-11,5.96636650548515,11,-3.1275371678161794,9.093903673301329
2000-12,4.3643234521870315,12,-4.291432962922357,8.655756415109389
2001-01,3.6011831809353643,1,-4.651086422688906,8.25226960362427
2001-03,3.9141463327074857,3,-1.308055432866042,5.222201765573528
2001-04,4.5918514164118385,4,1.1823044780861371,3.4095469383257013
2001-07,4.824180267802246,7,4.17787823535363,0.6463020324486166
2001-08,4.3795017058167796,8,2.2038620969226295,2.17563960889415
2001-09,3.4925471302514204,9,-0.04438992474331217,3.5369370549947328
2001-10,2.8244467256651333,10,-1.359575917213029,4.184022642878162
2002-02,3.0733600812904474,2,-3.6171771571897704,6.690537238480218
2002-03,3.9625777582659643,3,-1.308055432866042,5.270633191132006
2002-04,4.315677927980546,4,1.1823044780861371,3.1333734498944086
2002-05,4.532351473107096,5,3.9164772296451194,0.6158742434619766
2002-06,4.3801636902141565,6,4.882787130662814,-0.5026234404486578
2002-07,3.9887537355910228,7,4.17787823535363,-0.18912449976260692
2002-08,3.4671701101279973,8,2.2038620969226295,1.2633080132053678
2002-09,2.548794171571883,9,-0.04438992474331217,2.5931840963151953
2002-10,1.659538927768518,10,-1.359575917213029,3.019114844981547
2002-11,0.8126550517861193,11,-3.1275371678161794,3.9401922196022987
2003-01,0.2119138636837704,1,-4.651086422688906,4.863000286372677
2003-02,0.10030589142101544,2,-3.6171771571897704,3.7174830486107857
2003-03,0.38483303546668357,3,-1.308055432866042,1.6928884683327257
2003-04,1.613233737151932,4,1.1823044780861371,0.43092925906579493
2003-05,3.239108344446792,5,3.9164772296451194,-0.6773688851983275
2003-07,3.2809443165120458,7,4.17787823535363,-0.8969339188415839
2003-08,2.326758125748202,8,2.2038620969226295,0.12289602882557249
2003-11,-1.4541730523652787,11,-3.1275371678161794,1.6733641154509007
2003-12,-4.7358786914902575,12,-4.291432962922357,-0.4444457285679002
2004-01,-4.988161860080217,1,-4.651086422688906,-0.3370754373913103
2004-02,-4.025900787731442,2,-3.6171771571897704,-0.4087236305416715
2004-03,-2.8499677617775663,3,-1.308055432866042,-1.5419123289115242
2004-04,-0.8590867941401295,4,1.1823044780861371,-2.0413912722262664
2004-05,0.9686672171251283,5,3.9164772296451194,-2.947810012519991
2004-06,2.772163997086613,6,4.882787130662814,-2.110623133576201
2004-08,3.5449200337982063,8,2.2038620969226295,1.3410579368755768
2004-09,1.075399205423367,9,-0.04438992474331217,1.1197891301666791
2004-10,-3.3852760865056517,10,-1.359575917213029,-2.0257001692926226
2004-11,-7.548558470747237,11,-3.1275371678161794,-4.421021302931058
2004-12,-10.541018859934555,12,-4.291432962922357,-6.249585897012198
2005-01,-10.876692289882552,1,-4.651086422688906,-6.225605867193646
2005-02,-8.269677825352998,2,-3.6171771571897704,-4.652500668163228
2005-03,-3.8840535534398346,3,-1.308055432866042,-2.5759981205737925
2005-04,0.6173268408142915,4,1.1823044780861371,-0.5649776372718457
2005-05,2.1745300545036037,5,3.9164772296451194,-1.7419471751415156
2005-06,1.160913672186632,6,4.882787130662814,-3.7218734584761823
2005-07,0.2612142801819357,7,4.17787823535363,-3.916663955171694
2005-08,-0.22901609698123088,8,2.2038620969226295,-2.43287819390386
2005-09,-0.5652218786635652,9,-0.04438992474331217,-0.520831953920253
2005-10,-1.000703517636236,10,-1.359575917213029,0.35887239957679307
2005-11,-2.045720847458858,11,-3.1275371678161794,1.0818163203573214
2005-12,-3.940268513381536,12,-4.291432962922357,0.35116444954082127
2006-02,-6.854555162424944,2,-3.6171771571897704,-3.2373780052351737
2006-03,-9.526767016307806,3,-1.308055432866042,-8.218711583441763
2006-04,-7.904222973655244,4,1.1823044780861371,-9.086527451741382
2006-05,-1.6126514805495655,5,3.9164772296451194,-5.529128710194685
2006-06,2.4581818140751266,6,4.882787130662814,-2.4246053165876877
2006-07,4.110947464269835,7,4.17787823535363,-0.0669307710837943
2006-08,4.0623279673675,8,2.2038620969226295,1.8584658704448702
2006-09,4.5205253145490705,9,-0.04438992474331217,4.564915239292382
2006-10,5.005824661799864,10,-1.359575917213029,6.365400579012894
2006-11,6.5211551739180855,11,-3.1275371678161794,9.648692341734264
2006-12,4.6148519009086835,12,-4.291432962922357,8.90628486383104
2007-01,-1.6549532146944608,1,-4.651086422688906,2.9961332079944456
2007-02,-1.8146246197826135,2,-3.6171771571897704,1.802552537407157
2007-04,1.3956867410725466,4,1.1823044780861371,0.2133822629864095
2007-05,2.7158750001529444,5,3.9164772296451194,-1.200602229492175
2007-06,1.5508814850617232,6,4.882787130662814,-3.331905645601091
2007-07,0.08185672631890706,7,4.17787823535363,-4.096021509034722
2007-08,-1.1156370057805125,8,2.2038620969226295,-3.319499102703142
2007-10,-2.364361202978925,10,-1.359575917213029,-1.0047852857658959
2007-12,-3.645519281499854,12,-4.291432962922357,0.6459136814225035
2008-01,-5.0603518502875575,1,-4.651086422688906,-0.40926542759865114
2008-02,-4.355825238569347,2,-3.6171771571897704,-0.7386480813795764
2008-03,-3.2224061393797223,3,-1.308055432866042,-1.9143507065136802
2008-04,-2.0586430581139066,4,1.1823044780861371,-3.2409475362000437
2008-06,-1.101507728431929,6,4.882787130662814,-5.984294859094743
2008-07,-0.07715870932359592,7,4.17787823535363,-4.255036944677226
2008-08,0.9236728809548761,8,2.2038620969226295,-1.2801892159677535
2008-09,-0.2829815657260834,9,-0.04438992474331217,-0.23859164098277125
2008-11,-1.5967590522739843,11,-3.1275371678161794,1.5307781155421951
2009-01,-1.9303717082166432,1,-4.651086422688906,2.720714714472263
2009-02,-1.238843330747863,2,-3.6171771571897704,2.3783338264419074
2009-03,1.0834622015901378,3,-1.308055432866042,2.39151763445618
2009-04,2.8684439534189274,4,1.1823044780861371,1.6861394753327903
2009-05,2.9052380099799016,5,3.9164772296451194,-1.0112392196652178
2009-06,2.2369182276277444,6,4.882787130662814,-2.64586890303507
2009-07,1.012534849932524,7,4.17787823535363,-3.1653433854211057
2009-08,-0.28401130641349215,8,2.2038620969226295,-2.4878734033361214
2009-09,-2.4059492471481176,9,-0.04438992474331217,-2.3615593224048053
2009-10,-4.593478568401367,10,-1.359575917213029,-3.233902651188338
2009-11,-5.863152784207467,11,-3.1275371678161794,-2.735615616391288
2009-12,-6.599947707950193,12,-4.291432962922357,-2.3085147450278356
2010-01,-4.5648187925452035,1,-4.651086422688906,0.08626763014370287
2010-03,-0.0772314685139932,3,-1.308055432866042,1.2308239643520489
2010-04,4.390133605593826,4,1.1823044780861371,3.207829127507689
2010-05,6.826819281935455,5,3.9164772296451194,2.9103420522903356
2010-06,7.583479263359906,6,4.882787130662814,2.7006921326970916
2010-07,6.716101906664356,7,4.17787823535363,2.5382236713107265
2010-08,4.02119504042211,8,2.2038620969226295,1.8173329434994803
2010-09,1.0933585321137524,9,-0.04438992474331217,1.1377484568570646
2010-10,-1.3486810358956718,10,-1.359575917213029,0.010894881317357274
2010-12,-3.0384323894217675,12,-4.291432962922357,1.2530005735005898
2011-01,-4.029864350558532,1,-4.651086422688906,0.6212220721303741
2011-02,-3.171696889894557,2,-3.6171771571897704,0.4454802672952134
2011-03,0.3224039871493015,3,-1.308055432866042,1.6304594200153435
2011-04,2.6216171706834377,4,1.1823044780861371,1.4393126925973005
2011-05,3.074037419009828,5,3.9164772296451194,-0.8424398106352915
2011-06,3.1363949177159167,6,4.882787130662814,-1.7463922129468976
2011-07,2.8499893780908288,7,4.17787823535363,-1.327888857262801
2011-08,2.229927054251136,8,2.2038620969226295,0.026064957328506555
2011-09,1.3100976922052208,9,-0.04438992474331217,1.354487616948533
2011-10,0.5580454287470368,10,-1.359575917213029,1.917621345960066
2011-11,0.45478434953352076,11,-3.1275371678161794,3.5823215173497003
2012-01,0.976742926378668,1,-4.651086422688906,5.627829349067574
2012-04,2.626465952622805,4,1.1823044780861371,1.444161474536668
2012-05,4.814965393909118,5,3.9164772296451194,0.8984881642639984
2012-06,4.1487933952148275,6,4.882787130662814,-0.7339937354479869
2012-07,0.5480979072660839,7,4.17787823535363,-3.629780328087546
2012-08,-2.0576517171715665,8,2.2038620969226295,-4.2615138140941955
2012-09,-4.638442642789679,9,-0.04438992474331217,-4.594052718046367
2012-10,-6.700559243104351,10,-1.359575917213029,-5.340983325891322
2012-11,-8.11538279519926,11,-3.1275371678161794,-4.987845627383081
2012-12,-8.51963898887109,12,-4.291432962922357,-4.228206025948733
2013-02,-6.7917731382291615,2,-3.6171771571897704,-3.174595981039391
2013-03,-2.768523825929801,3,-1.308055432866042,-1.460468393063759
2013-04,1.4416243493287197,4,1.1823044780861371,0.2593198712425826
2013-05,4.2265055191979695,5,3.9164772296451194,0.3100282895528501
2013-06,6.073255266204453,6,4.882787130662814,1.1904681355416384
2013-07,5.6926300196921655,7,4.17787823535363,1.5147517843385359
2013-08,0.5068934427699112,8,2.2038620969226295,-1.6969686541527182
2013-09,-4.682669662959356,9,-0.04438992474331217,-4.638279738216044
2013-10,-8.025465540381948,10,-1.359575917213029,-6.665889623168919
2013-11,-9.688506399481689,11,-3.1275371678161794,-6.56096923166551
2013-12,-8.030938871679599,12,-4.291432962922357,-3.7395059087572413
2014-01,-6.394520404558896,1,-4.651086422688906,-1.7434339818699893
2014-02,-4.85875624877606,2,-3.6171771571897704,-1.2415790915862894
2014-03,-0.7274281372645701,3,-1.308055432866042,0.580627295601472
2014-05,4.563897741904623,5,3.9164772296451194,0.6474205122595036
2014-06,4.6461661977361315,6,4.882787130662814,-0.23662093292668285
2014-07,1.6203595451540653,7,4.17787823535363,-2.557518690199564
2014-08,-0.4351124930629582,8,2.2038620969226295,-2.6389745899855876
2014-09,-2.0635279191814204,9,-0.04438992474331217,-2.019137994438108
2014-10,-3.35002382381501,10,-1.359575917213029,-1.9904479066019811
2014-11,-4.348885618414869,11,-3.1275371678161794,-1.2213484505986894
2014-12,-5.367927368470939,12,-4.291432962922357,-1.0764944055485817
2015-01,-6.308219282586709,1,-4.651086422688906,-1.6571328598978026
2015-02,-6.479268250676831,2,-3.6171771571897704,-2.8620910934870603
2015-03,-5.799839219604112,3,-1.308055432866042,-4.49178378673807
2015-04,-3.377093681124798,4,1.1823044780861371,-4.559398159210935
2015-05,-0.0034075224671969253,5,3.9164772296451194,-3.919884752112316
2015-06,2.9284834514628253,6,4.882787130662814,-1.954303679199989
2015-07,2.595789753581661,7,4.17787823535363,-1.5820884817719687
2015-08,-0.8328681548789287,8,2.2038620969226295,-3.036730251801558
2015-09,-3.0546150956749982,9,-0.04438992474331217,-3.010225170931686
2015-10,-4.26209354849764,10,-1.359575917213029,-2.9025176312846113
2015-11,-5.9134648128390515,11,-3.1275371678161794,-2.785927645022872
2015-12,-8.07842932379556,12,-4.291432962922357,-3.786996360873202
2016-01,-8.941767168331397,1,-4.651086422688906,-4.290680745642491
2016-02,-8.361840357275744,2,-3.6171771571897704,-4.744663200085974
2016-03,-5.776085233455608,3,-1.308055432866042,-4.468029800589566
2016-04,0.655604846267666,4,1.1823044780861371,-0.5266996318184711
2016-05,2.9195250449168246,5,3.9164772296451194,-0.9969521847282947
2016-06,2.9603415202999113,6,4.882787130662814,-1.922445610362903
2016-07,2.712174119203217,7,4.17787823535363,-1.4657041161504125
2016-08,1.9102512092618487,8,2.2038620969226295,-0.2936108876607808
2016-09,0.6883294605612136,9,-0.04438992474331217,0.7327193853045257
