Year-Month,nzd0279_Average_Value
1999-08,355.67575256032893
1999-09,356.0208463231301
1999-10,356.5227775217177
2000-02,357.00526789160716
2000-05,357.27046884927023
2000-08,357.45264640112663
2000-12,358.0206371850473
2001-04,360.3943401976876
2001-05,363.3293996655969
2001-07,364.87799634787706
2001-09,365.73911391138444
2001-10,364.7965657453763
2002-02,363.719656973108
2002-09,363.0721758157848
2002-11,363.0008150373774
2003-01,363.0051913683484
2003-02,361.57331039452083
2003-05,357.2537122112717
2003-08,353.0385338273096
2003-09,352.35311541256334
2003-10,353.43547002799176
2003-11,357.3702519313517
2003-12,362.3627863154843
2004-02,363.70789376535953
2004-03,363.6664193970812
2004-05,362.9899400991307
2004-06,362.7839802771461
2004-07,362.66096739177914
2004-08,362.8972430123286
2004-09,363.8796025787969
2005-02,364.83784320380573
2005-03,365.0133026453059
2005-05,364.76538039798135
2005-06,364.60553853502716
2005-07,364.234883869377
2005-08,363.54519228035133
2005-09,362.79702654649424
2005-10,362.19833094316533
2005-11,361.8341033381583
2006-01,361.2566758535908
2006-02,359.54533325569486
2006-03,358.26685665457876
2006-04,356.9906433739123
2006-05,355.0109017042119
2006-06,353.89513240826085
2006-07,354.22346081718933
2006-09,356.82321734998493
2006-10,358.3424213367816
2006-11,359.74853277873063
2007-02,361.0093377597779
2007-03,362.737931582032
2007-06,363.80571460173945
2007-09,364.12949409061935
2007-10,363.7057303813683
2008-01,362.8221733065265
2008-04,361.8318431224546
2008-07,361.01007564753434
2008-09,359.9888671663284
2008-11,359.6181883427471
2008-12,359.3766886129491
2009-01,358.80382048647186
2009-02,358.26841303801405
2009-03,358.11840598045205
2009-04,358.2573999499846
2009-05,358.05606833617065
2009-09,358.1070686695702
2009-11,358.7617524455465
2009-12,359.9442654294344
2010-02,360.6238366960862
2010-03,360.8754388289823
2010-04,360.95086716962885
2010-06,360.7357729964561
2010-07,359.2911178061402
2010-08,357.3550591983695
2010-09,356.3850548846209
2010-10,355.0278793134395
2010-12,353.28406572209474
2011-01,350.88886692263594
2011-02,349.7638717679453
2011-03,349.7337620966599
2011-04,350.21941840866265
2011-05,350.7394220298725
2011-06,351.2634423324801
2011-07,351.72566751594394
2011-08,352.5197762337674
2011-09,352.12820182158873
2011-10,351.62460152515683
2011-11,351.8613095209586
2012-08,352.49533755865025
2012-09,353.38678601670597
2012-10,354.6521860794763
2012-12,356.0221502766481
2013-04,357.413715724091
2013-05,357.28764409205576
2013-07,354.87287587206936
2013-08,353.62509478921874
2013-09,354.5664801272589
2013-10,355.99494626135066
2014-01,358.283213200533
2014-02,359.7589286033278
2014-03,360.02271374622023
2014-05,359.5705151099595
2014-08,358.72193619819916
2014-09,358.3735359931118
2014-10,358.6702685621366
2014-11,359.475133666592
2015-01,359.2468287864308
2015-02,358.0666990647744
2015-03,357.33421387867554
2015-04,357.3620407739797
2015-05,358.6076426415723
2015-06,358.495744909341
2015-07,357.8608957866991
2015-08,357.4119317482837
2015-10,357.09910192638307
2015-11,357.86292156419415
2015-12,359.3964689216272
2016-01,362.1239123389791
2016-02,364.68261923810167
2016-03,366.16610336593084
2016-04,365.7163786430612
2016-05,362.95029226494466
2016-06,360.58377740745476
2016-07,360.11955239464254
2016-08,359.1139829605013
2016-09,358.3039901498855
2016-10,358.4063977468248
2016-11,359.6514082070412
2016-12,361.2132432247951
2017-01,361.6507821492347
2017-03,360.9483178222776
2017-04,359.9207458798751
2017-05,358.7977180303876
2017-06,357.3807952083099
2017-08,354.72445058908187
2017-09,352.22745200108
2017-10,352.21692790415
2017-12,353.29458346316824
2018-01,354.58152211620694
2018-02,356.11929287450926
2018-03,357.4780550920542
2018-04,359.15292263018296
2018-06,361.35143207797404
2018-07,362.78824760393707
2018-08,361.6615668727901
2018-09,361.41917616878453
2018-10,363.05714486787826
2018-11,364.6512537336789
2018-12,364.0643094422079
2019-02,363.29327282080476
2019-03,362.8680889791517
2019-05,362.7839088810799
2019-06,362.30720382709086
2019-07,361.4784843891243
2019-08,360.89202024691815
2019-09,360.9400959798512
2019-10,361.43056154047883
2019-11,361.8903321508535
2019-12,362.0735742255616
2020-01,361.1938721643706
2020-02,357.9324192119328
2020-03,355.2989263395997
2020-04,354.1115927805736
2020-05,353.4029968610116
2020-06,353.05064216712185
2020-07,353.3291490697211
2020-08,353.28102757634105
2020-09,353.1242568431689
2020-10,353.19403699343536
2020-11,354.6946414245878
2020-12,357.0050399168891
2021-01,358.7871647760691
2021-02,360.298434816437
2021-03,361.3637873884018
2021-04,361.8181335080959
2021-05,360.65665005218204
2021-07,357.4188748881171
2021-08,354.6850934062848
2021-09,354.2637286577009
2021-10,354.8678834632914
2021-11,355.64188224877546
2021-12,358.1354342193672
2022-01,361.74046150155027
2022-02,361.3136804891883
2022-03,359.56339905197245
2022-04,359.49335758239965
2022-05,361.10530584199404
2022-06,363.9469817874115
2022-07,365.7621174401719
2022-08,366.1642139552022
2022-10,363.2652753365101
2022-11,358.72799561240663
2022-12,355.90020092323266
2023-01,353.4989598967495
2023-02,352.5160868455856
2023-03,352.68703892645425
2023-04,354.7285972217706
2023-05,355.8770018906875
2023-07,354.48990359229066
2023-08,357.10112140647345
2023-10,361.848759247154
2023-11,362.073693627986
2023-12,362.00550600926294
2024-01,362.0046232233656
2024-02,361.8354850453881
2024-03,361.8212101242063
2024-04,361.18999430035495
2024-05,359.9493864295193
2024-07,359.0551354126457
2024-10,358.2885697208025
