Year,ENSO_phase,Year-Month,nzd_188_Average_Value,Value,Smooth_Value,Month,Bias,Bias_smooth
1999,La Niña,1999-09-01,360.8765440325929,-0.1,0.8231147330376006,9,5.692920752950158,0.9920932059477686
1999,La Niña,1999-10-01,353.2581252383094,1.0,0.8466113673239131,10,-1.9254980413333556,1.0597119858721233
1999,La Niña,1999-11-01,349.840762324993,1.0,0.8791809681928249,11,-5.342860954649723,1.6136176036774705
1999,La Niña,1999-12-01,357.255,1.4,0.9087965653261878,12,2.07137672035725,2.8066074653583786
2000,La Niña,2000-01-01,356.0653983765347,0.7,0.92531898577784,1,0.8817750968919427,4.171916710667784
2000,La Niña,2000-02-01,369.91746549001977,1.7,0.9262841102683989,2,14.73384221037702,5.177298896577335
2000,La Niña,2000-03-01,363.4042731382252,1.3,0.9057072103657016,3,8.220649858582476,4.997478919451831
2000,La Niña,2000-04-01,360.4957105055247,1.2,0.8696928684146427,4,5.312087225881953,3.6583125435642985
2000,La Niña,2000-05-01,361.43547725648966,0.4,0.8305064915981525,5,6.251853976846917,1.4727196094712292
2000,La Niña,2000-08-01,346.4864822683909,0.7,0.8318109552452528,8,-8.697141011251858,-1.0990905219426421
2000,La Niña,2000-10-01,347.0947262561207,1.1,0.9028564028493448,10,-8.088897023522065,-3.171266220575757
2001,Neutral,2001-01-01,353.3565798331928,1.0,0.8388287325984625,1,-1.8270434464499203,-4.534658205180884
2001,Neutral,2001-06-01,351.6751887428686,0.3,0.259835751743093,6,-3.508434536774132,-5.418094320331992
2001,Neutral,2001-09-01,346.55125077556886,0.2,0.097887884916176,9,-8.632372504073885,-5.809255122939741
2001,Neutral,2001-10-01,348.5501774798988,-0.0,0.0860514514265449,10,-6.6334457997439245,-5.525741849849131
2002,El Niño,2002-01-01,351.9020138367538,0.4,0.0557037812020392,1,-3.281609442888964,-4.636589992730527
2002,El Niño,2002-02-01,350.1324260500422,1.1,0.02147907957255,2,-5.051197229600518,-3.3094900687484863
2002,El Niño,2002-03-01,356.1230700677032,0.2,-0.041097202917388,3,0.9394467880604793,-1.591454465589512
2002,El Niño,2002-04-01,350.232761904762,-0.1,-0.1241598862111332,4,-4.950861374880731,0.31538341105359025
2002,El Niño,2002-06-01,351.4753866100646,0.2,-0.3048376615790876,6,-3.7082366695781275,2.4342988738787517
2002,El Niño,2002-08-01,370.9543708668352,-1.0,-0.4534602892934545,8,15.770747587192432,4.319541632069182
2002,El Niño,2002-10-01,355.58837675007027,-0.4,-0.5072903687035566,10,0.4047534704275222,4.978291033005812
2002,El Niño,2002-11-01,375.8903452636116,-0.5,-0.4959256511485199,11,20.706721983968862,4.437600927134495
2002,El Niño,2002-12-01,351.4018109735122,-1.1,-0.4589461265164202,12,-3.7818123061305187,2.317193887552394
2003,Neutral,2003-01-01,352.0826538650549,-0.2,-0.3959251268275605,1,-3.100969414587837,-0.31423682622242777
2003,Neutral,2003-03-01,351.9783708668353,0.3,-0.2270565673468151,3,-3.2052524128074538,-2.931191478161836
2003,Neutral,2003-04-01,351.653195293412,-0.1,-0.1402588753836071,4,-3.530427986230734,-5.256364061777807
2003,Neutral,2003-05-01,340.57078204498174,-0.3,-0.0603455152628807,5,-14.612841234661005,-7.036857157819911
2003,Neutral,2003-07-01,353.2069368632744,0.3,0.0604552267302621,7,-1.9766864163683522,-7.866056943344626
2003,Neutral,2003-08-01,342.71170812232526,0.1,0.095773177480186,8,-12.471915157317483,-8.012086651564447
2003,Neutral,2003-09-01,343.37450282272147,-0.1,0.1205554225490013,9,-11.809120456921278,-7.218546695728277
2003,Neutral,2003-10-01,350.7350947532131,0.0,0.1404431586716568,10,-4.448528526429641,-5.6262415389366165
2003,Neutral,2003-11-01,351.0257132055251,-0.3,0.1576314041057726,11,-4.157910074117638,-3.784824210268725
2003,Neutral,2003-12-01,362.48712550607286,1.1,0.1721207527547251,12,7.303502226430112,-2.139057522167222
2004,El Niño,2004-01-01,346.09454279638487,-1.3,0.1767613078327379,1,-9.089080483257874,-1.1669322948046206
2004,El Niño,2004-02-01,365.0525568617829,1.2,0.1789012857922418,2,9.86893358214013,-0.5054601563799501
2004,El Niño,2004-03-01,350.3797397867881,0.4,0.1628145076507812,3,-4.803883492854652,-0.49722007695727566
2004,El Niño,2004-04-01,354.40784152846925,-0.9,0.1287294618353962,4,-0.775781751173497,-0.5608202500608118
2004,El Niño,2004-05-01,349.2602994959404,1.0,0.0805806600910844,5,-5.923323783702358,-0.49843163355324627
2004,El Niño,2004-06-01,356.09488918039307,0.8,0.0062287163216644,6,0.9112659007503225,-0.13137022163531725
2004,El Niño,2004-07-01,356.99483721213784,-0.5,-0.0920998283829674,7,1.811213932495093,0.2358928366992349
2004,El Niño,2004-08-01,358.0024674954949,-0.3,-0.1997757566254419,8,2.8188442158521525,0.3917463061952543
2004,El Niño,2004-09-01,352.8700314864587,-0.3,-0.3085432911899051,9,-2.3135917931840595,0.2648811892866889
2004,El Niño,2004-10-01,356.22575329766033,-0.1,-0.4117126586632303,10,1.0421300180175876,0.00015220812416472107
2004,El Niño,2004-12-01,358.5210354632181,-0.8,-0.5690933326929808,12,3.3374121835753385,-0.4872314967485103
2005,La Niña,2005-01-01,355.8223836684471,0.3,-0.6030036471666893,1,0.6387603888043714,-1.1892595020899304
2005,La Niña,2005-02-01,344.1973638275782,-3.1,-0.5991922373521112,2,-10.98625945206453,-1.7572885650100747
2005,La Niña,2005-03-01,355.1965626133603,0.3,-0.538550368485804,3,0.012939333717554291,-1.6798671859929426
2005,La Niña,2005-04-01,355.5778119362005,-0.6,-0.4410444270956974,4,0.3941886565577306,-1.2675002720461892
2005,La Niña,2005-05-01,347.8895947293447,-0.8,-0.3135384502021325,5,-7.294028550298037,-0.6799269318117107
2005,La Niña,2005-06-01,363.9434643553328,0.4,-0.1653801556520776,6,8.759841075690076,0.07110810997452527
2005,La Niña,2005-07-01,355.1556301683066,0.2,-0.0135182230080948,7,-0.02799311133617266,0.38479085257102547
2005,La Niña,2005-08-01,353.9257004756446,-0.3,0.133932733099319,8,-1.2579228039981558,0.4341486924131867
2005,La Niña,2005-10-01,353.5711345134245,1.2,0.3897079471657783,10,-1.6124887662182346,0.35544540106468653
2005,La Niña,2005-12-01,356.7564792837213,-0.0,0.5369056230049934,12,1.5728560040785737,0.13424441483055216
2006,El Niño,2006-01-01,358.6132933045627,1.7,0.5622112936098603,1,3.4296700249199716,-0.41916021984474783
2006,El Niño,2006-02-01,353.9533903504047,0.1,0.5369622835610263,2,-1.2302329292380705,-1.3663479268361503
2006,El Niño,2006-03-01,353.4246347691123,1.8,0.4630698269730685,3,-1.7589885105304575,-2.426111191363932
2006,El Niño,2006-04-01,353.2646158179075,1.1,0.3356176222799232,4,-1.919007461735248,-3.3051197391696765
2006,El Niño,2006-05-01,344.1214305371272,-0.5,0.1705789018690726,5,-11.062192742515549,-3.650627596437656
2006,El Niño,2006-06-01,350.2668126601068,0.2,-0.0041296272201254,6,-4.9168106195359655,-2.986437986381643
2006,El Niño,2006-07-01,353.3335095448323,-0.6,-0.1710690532900162,7,-1.8501137348104635,-1.4964476062051624
2006,El Niño,2006-08-01,360.4022778620849,-1.0,-0.3096109392176324,8,5.218654582442127,0.463522785991637
