Year-Month,nzd_188_Average_Value,Value,Smooth_Value
1999-09,356.26671371430444,-0.1,0.8231147330376006
1999-10,356.1402706855704,1.0,0.8466113673239131
1999-11,356.49075287572145,1.0,0.8791809681928249
1999-12,357.6272029467243,1.4,0.9087965653261878
2000-01,358.5442045039775,0.7,0.9253189857778401
2000-02,358.9037174281149,1.7,0.9262841102683989
2000-03,358.5581110019265,1.3,0.9057072103657017
2000-04,357.3441234229718,1.2,0.8696928684146427
2000-05,356.11831660833474,0.4,0.8305064915981525
2000-08,354.1775758510845,0.7,0.8318109552452528
2000-10,352.51825503320816,1.1,0.9028564028493448
2001-01,351.6149414228605,1.0,0.8388287325984625
2001-06,350.02393453651365,0.3,0.25983575174309304
2001-09,348.25200022217086,0.2,0.09788788491617605
2001-10,348.69159413691466,-0.0,0.0860514514265449
2002-01,349.87859769929497,0.4,0.055703781202039254
2002-02,351.95369306316456,1.1,0.02147907957255004
2002-03,354.27155799682475,0.2,-0.04109720291738809
2002-04,355.86251398823936,-0.1,-0.12415988621113322
2002-06,356.812531470627,0.2,-0.3048376615790876
2002-08,357.57520492948964,-1.0,-0.45346028929345455
2002-10,357.8882945695429,-0.4,-0.5072903687035566
2002-11,356.96229364780936,-0.5,-0.49592565114851994
2002-12,355.7455672017797,-1.1,-0.4589461265164202
2003-01,353.43820982995607,-0.2,-0.39592512682756054
2003-03,350.9788410555704,0.3,-0.22705656734681512
2003-04,349.4157306805127,-0.1,-0.1402588753836071
2003-05,347.5491030636168,-0.3,-0.06034551526288073
2003-07,346.35188371695915,0.3,0.0604552267302621
2003-08,345.87181449473434,0.1,0.09577317748018602
2003-09,346.5205294006687,-0.1,0.12055542254900131
2003-10,349.29092810083205,0.0,0.1404431586716568
2003-11,352.51713331122,-0.3,0.15763140410577264
2003-12,353.70798453431337,1.1,0.1721207527547251
2004-01,354.19571788412617,-1.3,0.17676130783273797
2004-02,354.48016498680767,1.2,0.17890128579224185
2004-03,354.0181037835028,0.4,0.1628145076507812
2004-04,353.4584066888724,-0.9,0.12872946183539624
2004-05,353.48946770711524,1.0,0.08058066009108446
2004-06,354.81698806561644,0.8,0.006228716321664496
2004-07,356.31757691809344,-0.5,-0.09209982838296747
2004-08,356.8294556601352,-0.3,-0.19977575662544197
2004-09,356.11677870986534,-0.3,-0.3085432911899051
2004-10,355.1874197720077,-0.1,-0.4117126586632303
2004-12,353.75344276814246,-0.8,-0.5690933326929808
2005-01,352.1698901015678,0.3,-0.6030036471666893
2005-02,350.20205622021484,-3.1,-0.5991922373521112
2005-03,351.2209367317169,0.3,-0.538550368485804
2005-04,352.435124761528,-0.6,-0.4410444270956974
2005-05,353.59235502744036,-0.8,-0.3135384502021325
2005-06,355.3975289505922,0.4,-0.16538015565207764
2005-07,355.9292476692084,0.2,-0.013518223008094896
2005-08,355.69387094657077,-0.3,0.13393273309931905
2005-10,355.05883564850774,1.2,0.38970794716577833
2005-12,354.91477686952277,-0.0,0.5369056230049934
2006-01,354.9205362154791,1.7,0.5622112936098603
2006-02,354.6806019512571,0.1,0.5369622835610263
2006-03,354.04053817213105,1.8,0.46306982697306853
2006-04,352.472097583919,1.1,0.33561762227992326
2006-05,351.0888741916385,-0.5,0.1705789018690726
2006-06,351.1619716050649,0.2,-0.004129627220125484
2006-07,352.854328590255,-0.6,-0.1710690532900162
2006-08,356.14618844616933,-1.0,-0.3096109392176324
2006-09,358.60679883715443,-0.6,-0.4058288939223478
2006-10,361.46009847865406,-1.3,-0.45658385539826235
2006-11,363.09830572405184,0.1,-0.46177068517193903
2006-12,364.11934028081095,-0.3,-0.43446262202934266
2007-01,362.9696706798849,-0.8,-0.3789552378006266
2007-03,360.0662700541348,0.2,-0.19869970393797998
2007-04,357.92331593146474,-0.1,-0.08841334100331483
2007-05,356.3400550106616,-0.1,0.03395727690233646
2007-07,353.9467094124141,-0.3,0.3142992847680083
2007-08,351.8521543588292,0.4,0.4739804855248176
2007-09,350.7764557790493,0.2,0.6416602189732884
2007-10,350.01421799064536,0.7,0.8100267345527304
2007-11,349.5653830694823,0.9,0.964867340780995
2007-12,349.42858076958544,1.7,1.0902501784485472
2008-01,349.56580002241816,1.8,1.1692298361461493
2008-02,349.8918997125532,2.6,1.194388243426305
2008-05,350.29762518193206,-0.1,1.0627862825243426
2008-06,350.6090229033888,0.6,1.033196608552622
2008-07,350.73567985041865,0.3,1.0295564652747424
2008-08,350.574914057913,1.0,1.0484677989903515
2008-09,350.3854553113512,1.2,1.0751332362291797
2008-11,350.4611216727947,1.3,1.0914587331424328
2008-12,350.70688216027344,1.4,1.0571302933044304
2009-01,351.4320883962135,1.1,0.9838863720755224
2009-03,352.28155319028406,0.4,0.7153901072609699
2009-05,352.89627753256843,-0.1,0.34396701995822165
2009-06,353.6944174383166,0.1,0.15365498953761492
2009-07,354.34814910737714,0.2,-0.026218871723666812
2009-09,354.98621131207824,0.3,-0.3208923574140802
2009-10,355.7970818494575,-1.2,-0.41369607643893225
2009-11,357.3334280751512,-0.6,-0.44590304228198885
2009-12,358.9899221102082,-0.7,-0.4091928400015729
2010-01,360.551418681029,-1.1,-0.29765281962035156
2010-03,361.42189346897106,0.7,0.14285515316050587
2010-04,361.847063166356,1.2,0.4277672416441795
2010-05,361.8785991598862,0.9,0.7206394833220333
2010-06,361.07596038053345,0.4,1.009355425950357
2010-07,359.51455438315594,1.8,1.2846011253585323
2010-08,358.38595785872013,1.8,1.527541458845468
2010-09,356.75874511607617,2.2,1.7273944111263444
2010-10,355.17723499055677,1.7,1.8776351316218827
2010-11,355.10645668432284,1.3,1.979123232078954
2010-12,355.4282926449461,2.9,2.029942775312839
2011-01,356.4817226391539,2.3,2.0175665236375817
2011-02,356.6708369256778,2.7,1.9430618835029676
2011-03,355.91473165739643,2.5,1.811909284426939
2011-04,355.1585880174488,1.9,1.6414163139977094
2011-06,354.32312323526537,0.2,1.2986856492495968
2011-07,353.38739474588715,1.0,1.1740897992620807
2011-08,352.40717064619497,0.4,1.0842299332207863
2011-09,351.507031632365,1.0,1.02476140396126
2011-10,350.8088826456891,0.8,0.9806484716124718
2011-11,350.4625569391045,1.1,0.9364684993664979
2011-12,350.5862960038599,2.5,0.8739762180464689
2012-01,351.3659327467316,1.1,0.7774815381729151
2012-03,352.8915356712819,0.7,0.5263904621854942
2012-04,353.5169249625859,-0.3,0.39885737923302744
2012-05,353.4919177430923,0.0,0.2891218221121399
2012-06,353.16317655784076,0.4,0.20128422338246557
2012-08,352.48212020917333,-0.2,0.09273945146293545
2012-09,351.8210724516153,0.2,0.07529971248418617
2012-10,351.65753814646075,0.3,0.07861381238010692
2012-11,351.6138683538457,0.3,0.1006357353263499
2012-12,351.56408318463036,-0.6,0.14277862468012753
2013-01,352.38143682712024,-0.1,0.20957069043417947
2013-02,354.32996863475046,-0.2,0.29393422657061696
2013-03,355.762659245729,1.5,0.38395448503351726
2013-04,357.22992852356566,0.2,0.45999899547679274
2013-05,358.45481591203907,0.8,0.5198734987257058
2013-06,359.42126752318336,1.2,0.5573212513011949
2013-07,357.07247906477204,0.8,0.5704624863066088
2013-08,351.8976030377603,0.2,0.5674592922937158
2013-09,350.42648073265866,0.3,0.5600602814657425
2013-10,348.9222456379633,-0.1,0.554272514583827
2013-11,347.50060616118964,0.7,0.5520396105112044
2013-12,348.1666014484739,0.1,0.5450821800707384
2014-01,349.74173132654977,1.4,0.5274327151710545
2014-02,352.261575433311,0.1,0.48616929865717307
2014-03,354.1386484860204,0.9,0.422003877199567
2014-04,354.74000078164846,0.8,0.3296145021771904
2014-05,354.54868558989773,0.5,0.21114791438775457
2014-06,352.92365817260634,0.2,0.07610062803245195
2014-07,350.26972885673206,-0.2,-0.06151752884983326
2014-08,348.35371904970816,-0.7,-0.18576080053322433
2014-09,347.8969660116869,-0.7,-0.282847219903566
2014-10,348.86848885311827,-0.6,-0.3470298073383711
2014-11,349.6141862536776,-0.9,-0.37907959540415914
2014-12,349.0125094206312,-0.6,-0.3837202759277883
2015-01,348.75222717162904,-0.8,-0.37381492205792527
2015-02,348.05224297534187,0.2,-0.36560597763186653
2015-03,347.2874519984616,0.7,-0.38199502832975296
2015-04,349.0010168495721,-0.0,-0.43704606643122756
2015-05,353.15154538354017,-0.7,-0.5279169118982808
2015-07,356.1791542116318,-1.1,-0.781122723876722
2015-08,357.8800102743409,-1.4,-0.9100411038032798
2015-09,358.909767839068,-1.6,-1.0102397771135927
2015-11,358.88698386621644,-0.5,-1.0785078280963925
2015-12,357.2798822795179,-0.6,-1.04729083483277
2016-01,352.23238119270235,-2.2,-0.970527204784078
2016-02,350.47702195365514,-2.0,-0.83748375424126
2016-03,351.6804931328111,0.1,-0.6566378119205111
2016-05,355.2683121143435,0.4,-0.24628256635865564
2016-06,357.3730395696705,0.6,-0.05805801187491336
2016-07,357.9918344689252,0.4,0.09367523616013035
2016-08,356.52881835928486,0.7,0.2028319297689278
2016-09,353.6376618238517,1.2,0.26811314540892905
2016-10,354.66043249755245,-0.3,0.29598821063494507
2016-11,357.8596680363412,-0.1,0.307487185104772
2016-12,360.48311687291687,0.3,0.31432781268503523
2017-01,361.26607620356936,0.2,0.3218608499750984
2017-02,361.1082294339517,-0.1,0.33521318150112045
2017-03,360.1631750580651,0.9,0.35760761600840085
2017-04,358.0725497500583,-0.2,0.3854667562812823
2017-05,356.74342112096747,0.3,0.42368808610397807
2017-06,355.6774482583712,0.4,0.4680211711938052
2017-07,355.29692548266036,0.8,0.5122829509227064
2017-09,355.1957638282086,0.6,0.5761046074777214
2017-10,354.7280883307863,0.9,0.589394679014975
2017-11,354.5311979079501,0.9,0.5859516212299095
2017-12,355.4403684427167,-0.1,0.5674825150183432
2018-01,357.58661430953237,1.1,0.5406014471943791
2018-03,359.09165505017626,1.5,0.45508271916460175
2018-04,361.0491425306043,0.5,0.3906472792322978
2018-05,361.58223998462796,0.4,0.31379054836007947
2018-06,358.6737227335486,0.1,0.23182494069197676
2018-07,355.59629041646497,0.2,0.15340989305389294
2018-08,355.11513796964016,-0.3,0.08514507757341984
2018-09,357.3305712038541,-0.9,0.034358136799182065
2018-10,359.7728253250293,0.4,0.002358821442719679
2018-11,360.8358600356092,-0.1,-0.024142463671914957
2018-12,361.61008778181144,1.0,-0.052222170305711565
2019-01,362.15092939296386,-0.0,-0.09014202422478625
2019-02,362.80594187819946,-1.4,-0.12972277978422836
2019-03,363.7794708955515,0.3,-0.16137672221061528
2019-04,366.6493357796376,0.1,-0.19536421829639555
2019-05,369.0139994141388,-0.4,-0.23473662354947644
2019-06,368.1739242903925,0.5,-0.2779302275668846
2019-07,365.3823177456314,-0.4,-0.3259635602026863
2019-08,363.9668694599778,-0.1,-0.3676999915052149
2019-09,364.21177903676164,-1.2,-0.39315971089463647
2019-10,364.3672755976993,-0.4,-0.3881800954238483
2019-11,364.1782494153838,-0.8,-0.35120540166301945
2019-12,363.917245475676,-0.6,-0.28086457219132055
2020-01,363.2478211632653,0.2,-0.18279896518693844
2020-02,361.5406790324613,-0.1,-0.06763642988757002
2020-04,359.70020865543336,0.2,0.19488728318651571
2020-06,357.67530553959205,0.4,0.4685752383531332
2020-08,355.68637276041017,1.1,0.7209141517943374
2020-09,356.2385512237657,0.9,0.8251998433455503
2020-10,357.7656529816869,0.5,0.9107098456562677
2020-11,358.71221698838707,0.7,0.9769538309230903
2020-12,359.56350695766656,1.8,1.0170241300042413
2021-01,360.65018633556025,1.9,1.0196856701497694
2021-02,361.7153304697498,1.5,0.9859373765784076
2021-03,362.4329524826918,0.4,0.9305330859127987
2021-04,363.24594982833605,0.3,0.8762588632665481
2021-05,361.4947314981355,0.5,0.8376111942858729
2021-06,356.3203425222655,0.4,0.8200825198784517
2021-07,350.63089831057295,1.4,0.8238901060412446
2021-08,348.1272103423993,0.6,0.8426874293981125
2021-09,347.05075643006677,0.8,0.8791296836660211
2021-11,346.6551171764827,1.0,0.9991653941581602
2021-12,347.64200441756526,1.5,1.074386201916231
2022-01,349.1338921282422,0.5,1.1517560856765825
2022-02,350.3397639064804,1.1,1.2319388519590542
2022-03,349.9497895717368,1.8,1.3054146184447888
2022-04,351.387158565302,1.7,1.3606019582530682
2022-05,352.510205004602,1.4,1.3936473410899752
2022-06,352.9129105312088,1.7,1.4060003310638873
2022-07,353.35542364667816,0.8,1.3992097525786524
2022-08,355.12078782840894,1.0,1.3794181748652452
2022-10,357.17220356888834,1.7,1.282023280159371
2022-12,356.3167978993653,2.1,1.0691241604201882
2023-03,354.24414175233255,0.2,0.4783718854988077
2023-04,351.55959797881394,0.2,0.24635422539799
2023-05,347.41108253822216,-1.0,0.027543948238186358
