nzd_name,orientation,coordinate,location,y,x,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",N,-34.429002,172.946715,4,0.0010226888101276515,3.0,-0.2806185524146608
nzd0006,95.1,"-34.460544,172.999415",N,-34.460544,172.999415,2,2.8802206083306256e-05,5.0,-0.3387843754704901
nzd0011,232.4,"-34.714696,172.929167",W,-34.714696,172.929167,3,0.16673998075737623,2.0,0.11969332816244546
nzd0019,330.08,"-34.804460,173.394798",N,-34.80446,173.394798,4,3.291036084625758e-12,5.0,-0.44168962014422486
nzd0025,234.93,"-34.828244,173.028933",W,-34.828244,173.028933,3,0.3895984328418515,2.0,0.07248721987336024
nzd0029,14.44,"-34.875018,173.202629",N,-34.875018,173.202629,1,1.6934868595554907e-08,5.0,-0.529939084070233
nzd0036,330.03,"-34.963229,173.677262",N,-34.963229,173.677262,4,6.624053542253911e-13,6.0,-0.436381263421875
nzd0046,251.25,"-35.020317,173.164765",W,-35.020317,173.164765,3,0.009524763603600658,2.0,0.2207851011884549
nzd0053,104.04,"-35.033276,173.909632",N,-35.033276,173.909632,2,5.586302919171487e-06,3.0,-0.28782414308344134
nzd0054,267.93,"-35.082333,173.180023",W,-35.082333,173.180023,3,0.04008788998769912,6.0,-0.17250174758407327
nzd0059,235.0,"-35.152967,173.163400",W,-35.152967,173.1634,3,0.00014240086224087236,4.0,-0.32876096567143753
nzd0070,232.56,"-35.411860,173.260164",W,-35.41186,173.260164,3,0.07028722012294857,2.0,0.12144373921734036
nzd0075,112.46,"-35.435482,174.425048",N,-35.435482,174.425048,2,0.47987579443630307,2.0,-0.050626091127178925
nzd0090,20.4,"-35.563843,174.489134",N,-35.563843,174.489134,1,0.0007668364935374644,6.0,-0.24855899586073574
nzd0100,62.1,"-35.820410,174.557552",N,-35.82041,174.557552,1,4.300888997645128e-06,6.0,-0.3511779827639129
nzd0106,69.89,"-35.983841,174.474238",N,-35.983841,174.474238,1,2.752803895620202e-06,6.0,-0.3896234271279064
nzd0115,240.4,"-36.115880,173.890577",W,-36.11588,173.890577,3,3.557320025619145e-05,2.0,0.33621164430740563
nzd0119,49.92,"-36.212040,174.699727",N,-36.21204,174.699727,1,6.226724292433873e-07,6.0,-0.3421575592744325
nzd0121,250.31,"-36.289352,174.008503",W,-36.289352,174.008503,3,0.1386013942632351,2.0,0.12910124727051256
nzd0161,238.91,"-36.685865,174.334589",W,-36.685865,174.334589,3,1.2624707155027836e-05,2.0,0.31015876821012106
nzd0191,96.52,"-37.087958,175.883102",N,-37.084162,175.883443,2,0.10050001471701756,6.0,-0.10561191391017989
nzd0205,245.66,"-37.489125,174.738749",W,-37.489125,174.738749,3,2.743145241318418e-08,2.0,0.3457855100777748
nzd0215,40.18,"-37.665481,178.506463",N,-37.665481,178.506463,1,0.00035473271844533953,6.0,-0.25133119469535026
nzd0231,19.31,"-37.901067,176.837798",N,-37.901067,176.837798,1,0.027654955256327402,6.0,-0.1502076887092254
nzd0236,338.24,"-37.932388,177.506280",N,-37.932388,177.50628,4,0.022015548148826607,6.0,0.14337428984205125
nzd0232,251.76,"-37.901906,174.772844",W,-37.901906,174.772844,3,0.0014724096547402239,5.0,0.23342077759685684
nzd0240,355.21,"-37.991170,177.334113",N,-37.99117,177.334113,4,8.885800883052997e-05,6.0,-0.24108916526714394
nzd0242,112.55,"-38.003452,178.336959",E,-38.003452,178.336959,2,0.025898929075488294,5.0,-0.1559744699805299
nzd0251,12.09,"-38.252944,178.323944",E,-38.252944,178.323944,1,0.00020792396202159042,6.0,-0.2481326077916278
nzd0254,109.27,"-38.308032,178.322004",E,-38.308032,178.322004,2,0.08987068299084768,6.0,-0.11705659261630699
nzd0257,291.14,"-38.373922,174.664813",W,-38.373922,174.664813,4,0.19943241590934443,2.0,0.09636038663094179
nzd0263,105.71,"-38.565705,178.228058",E,-38.565705,178.228058,2,0.003383687674509527,6.0,-0.19632107858182113
nzd0266,274.03,"-38.596155,174.632046",W,-38.596155,174.632046,4,0.23331741911034293,6.0,0.0878142280385259
nzd0273,281.44,"-38.791640,174.596652",W,-38.79164,174.596652,4,0.1782759838116311,3.0,-0.09532348866665849
nzd0275,104.74,"-38.802263,177.918341",E,-38.802263,177.918341,2,0.0237078617026217,2.0,0.15568502065719753
nzd0277,310.72,"-39.007556,174.174006",W,-39.007556,174.174006,4,1.5045348745081628e-06,2.0,-0.2926314409209538
nzd0279,82.04,"-39.036133,177.884430",E,-39.036133,177.88443,1,9.45230787709343e-08,6.0,-0.36306335067482104
nzd0286,74.62,"-39.182892,177.920762",E,-39.182892,177.920762,1,0.05308435973800412,6.0,-0.13873476390664974
nzd0295,123.88,"-39.716367,177.022420",E,-39.716367,177.02242,2,0.0004707806604279149,2.0,0.21454119234598262
nzd0299,199.78,"-39.857357,174.806918",W,-39.857124,174.806073,3,0.042140202500399015,4.0,-0.1524971477635001
nzd0305,92.35,"-40.050120,176.875841",E,-40.05012,176.875841,2,3.509308858125759e-06,2.0,0.2815565417885538
nzd0315,279.08,"-40.521342,175.205215",W,-40.521342,175.205215,4,1.814134867979782e-07,2.0,0.33651169449147317
nzd0321,294.62,"-40.793391,175.085263",W,-40.793391,175.085263,4,3.593569919307558e-10,2.0,0.4163927945210986
nzd0324,106.51,"-40.886570,176.215881",E,-40.88657,176.215881,2,1.695917988986717e-05,6.0,-0.2705055395795495
