Year-Month,nzd0263_Average_Value
1999-07,1.0785901641534685
1999-08,1.2996242300836163
1999-09,1.9319660365166085
1999-10,2.191506349450416
2000-01,1.9527955032983864
2000-02,1.3374579776362
2000-04,1.2764295870582003
2000-05,1.5312023647714252
2000-08,1.3469089625607684
2000-12,1.0187307304678255
2001-04,-0.015483790024245103
2001-05,-0.6329351484016277
2001-07,-0.3010469321562865
2001-08,-0.003951363593878529
2001-09,-0.3306068495645081
2001-10,-0.8272434291258215
2002-01,-0.4216638986782607
2002-02,-0.3521827326798256
2002-03,0.06827712115622231
2002-09,1.5988416953640683
2003-01,3.411759131540031
2003-02,3.764698569692332
2003-03,2.7791915951292814
2003-05,1.5606567097980983
2003-07,0.4269449541405115
2003-08,-0.5587224962524622
2003-09,-0.9696876489261137
2003-10,-0.6639891931443949
2003-11,1.4115052402892774
2003-12,3.6117438563433786
2004-01,4.290244108864679
2004-02,5.35161724005694
2004-03,6.1497687997272035
2004-04,5.360024697592628
2004-05,4.018703902332184
2004-06,1.4533817812925656
2004-07,-1.7139757092837706
2004-08,-5.86212734432866
2004-09,-6.630109567315217
2004-10,-5.474677714459824
2004-11,-4.074987286446597
2004-12,-0.38695103512387585
2005-01,2.567096760298927
2005-02,3.9690393359280556
2005-03,2.4133777557314415
2005-04,0.9250867278748618
2005-05,0.4992279509864388
2005-06,-1.4728661751240557
2005-07,-6.479416492379564
2005-08,-6.394010839281776
2005-09,-5.26217777489051
2005-10,-2.3376055753018683
2005-11,1.839752585185877
2006-01,4.139787932279935
2006-02,4.9112940383224615
2006-03,4.202618982135933
2006-04,0.3751144161995206
2006-05,-2.864452765564046
2006-06,-3.305232071294868
2006-07,-2.3582111324800015
2006-09,1.4353199017215654
2006-11,2.543192985875232
2006-12,2.1993155878884276
2007-02,2.975511943354529
2007-03,3.4890021068110375
2007-06,1.7544125317010777
2007-07,1.2470448362903994
2007-09,2.098791652285601
2007-10,2.05408511188854
2008-01,0.519872676295363
2008-02,-2.3512760680101223
2008-04,-3.0491027546415292
2008-06,-2.25834738078763
2008-07,-1.3073817148014721
2008-08,-1.0599475772716875
2008-09,-0.5223343871953782
2009-01,1.0901425076392288
2009-02,2.0788308177930555
2009-03,1.3413352430491658
2009-04,-0.5971613257815889
2009-05,-2.376518002597021
2009-09,-3.415000654268877
2009-12,-1.8569373841938002
2010-01,1.0061958333241416
2010-02,1.1747993285723461
2010-03,0.4917512249010581
2010-04,0.2828920470484861
2010-06,0.006361752198975723
2010-07,-1.1732668474063783
2010-08,-1.6665222824466337
2010-09,-0.7325991807042066
2010-10,1.3574404709119015
2010-12,2.8365341894255067
2011-01,3.6155544612284647
2011-02,2.1096923729121686
2011-03,0.12150363233730532
2011-04,-2.063298945584798
2011-05,-3.4515361277353906
2011-06,-3.993576372169921
2011-08,-4.092690706824659
2011-09,-4.281199724999042
2011-10,-4.841552068406087
2011-11,-5.190492528179773
2012-06,-3.972062571913859
2012-08,-2.447295112588252
2012-09,-2.6465834658377343
2012-10,-2.538868942556708
2012-11,-1.8545845607753975
2012-12,-0.14194890406850966
2013-04,0.23465418968583007
2013-05,-1.7640867259169208
2013-06,-1.3061459594955744
2013-07,1.9727189370166094
2013-08,0.5726536121096399
2013-09,-1.450683936689577
2013-10,-3.0307473981198862
2013-11,-3.851531800531456
2013-12,-3.0215575631974247
2014-01,1.5850154720316714
2014-02,5.5010214428898925
2014-03,6.4486240871406215
2014-05,6.143881509410239
2014-06,2.937007175375288
2014-07,-0.18584828556762611
2014-08,-0.7977791340465712
2014-09,-0.7983382687597402
2014-10,-0.7436881686601811
2014-11,-0.23472106988350366
2015-01,0.41329664964544766
2015-03,-0.5218439722309233
2015-04,-4.529649459138674
2015-05,-7.120988124314762
2015-06,-7.42665667730077
2015-07,-6.778502538259379
2015-08,-5.343853529804535
2015-09,-4.1749651175406886
2015-10,-3.1908349125617095
2015-11,-2.967720504413601
2015-12,-1.1893921199096609
2016-01,2.7337869221050415
2016-02,5.188023525870094
2016-03,5.005282462532392
2016-04,3.7149418593833143
2016-05,5.384569835222085
2016-06,7.926895001800567
2016-07,4.8519040422415864
2016-08,-1.972132832564816
2016-09,-3.9957558003148255
2016-10,-1.6066553657929044
2016-11,0.6278627040062562
2016-12,2.4694994976848954
2017-01,3.115920288011275
2017-02,2.660494555833138
2017-03,0.9781680446818365
2017-04,-0.894322542534003
2017-05,-1.8157620313165057
2017-06,-2.536524749045867
2017-08,-3.2753571722520434
2017-09,-3.328874054501926
2017-10,-2.6752122875060462
2017-12,-3.2001799135313713
2018-01,-4.388542740806976
2018-02,-4.274228879178007
2018-04,-4.364395377673457
2018-05,-6.146435771190128
2018-06,-7.056538415798417
2018-07,-4.548980504788631
2018-08,-3.8287899255364706
2018-09,-3.262165200088684
2018-10,-2.6267484354432042
2018-11,-2.3716127651861547
2018-12,-2.4851496424159487
2019-01,-1.7426364407735102
2019-02,0.2520521800282226
2019-03,3.0670179016544417
2019-05,5.311057208644101
2019-06,6.001877464122136
2019-07,5.227009658307536
2019-08,2.299268815103285
2019-09,-0.5797788375965323
2019-11,-1.45695959372516
2019-12,-1.3868452146322994
2020-01,-0.19101616753833878
2020-02,0.34999983639803656
2020-04,1.1236151952070041
2020-06,2.080971721762329
2020-07,2.4115764208350563
2020-08,0.7727589920409593
2020-09,0.36336086490246766
2020-10,2.7441782426538333
2020-11,5.712401697202515
2020-12,7.268869487135528
2021-01,9.339976973151506
2021-02,10.293779830665041
2021-03,9.54207700036601
2021-04,7.0537596589134735
2021-05,3.0850753083032876
2021-07,-0.19410535100887638
2021-08,-2.989395472649099
2021-09,-1.5111899566668932
2021-11,-0.5264700161442124
2021-12,3.0824561987559873
2022-01,6.366664171236646
2022-02,4.334361163263031
2022-03,0.2531640150651342
2022-04,-5.139041584533401
2022-05,-5.775060358926014
2022-06,-1.905547796845967
2022-07,3.330897691483203
2022-08,4.899698404083972
2022-09,-0.2774169721008174
2022-10,-3.1374502956614343
2023-01,-5.7675859518969546
2023-02,-7.598550447923356
2023-03,-7.935341615136784
2023-04,-6.579297510554553
2023-05,-4.044768224076872
2023-07,-4.891715229183878
2023-08,-4.1929135404943185
2023-10,-1.6483275873055394
2023-11,0.5698297583092214
2023-12,3.4804181237435268
2024-01,6.649428460750864
2024-02,8.19663086259641
2024-04,4.815112527859513
2024-05,-1.7475189883138167
2024-06,-5.449452918303688
2024-07,-2.521584711743678
2024-09,0.13084511546429645
2024-10,3.987023038081779
2025-02,5.251934879503345
2025-03,1.4493163874573207
2025-04,0.5138646252829719
2025-05,1.9199561024402114
2025-06,1.2755665326577017
2025-07,2.5734236178121273
2025-08,3.6311872398541274
