Year-Month,Value,Smooth_Value
2000-01,0.7,1.1206620428165268
2000-02,1.7,1.0902177762420302
2000-03,1.3,0.9974780485570216
2000-04,1.2,0.8567624395208745
2000-05,0.4,0.7052965307330857
2000-06,0.2,0.6062947623022049
2000-07,-0.2,0.5998554901604137
2000-08,0.7,0.6953137205770475
2000-09,0.9,0.8414419411610389
2000-10,1.1,0.9873674697231403
2000-11,1.8,1.0866514544031807
2000-12,0.8,1.1013832209937968
2001-01,1.0,1.047664582712588
2001-02,1.7,0.918777571991869
2001-03,0.9,0.7043952103670074
2001-04,0.2,0.4533422017162376
2001-05,-0.5,0.22925382366260705
2001-06,0.3,0.07658308652256224
2001-07,-0.2,-0.015433783977974048
2001-08,-0.4,-0.04064414263733944
2001-09,0.2,-0.006870112245616438
2001-10,-0.0,0.0508568996238251
2001-11,0.7,0.11316903361010809
2001-12,-0.8,0.1568477073525554
2002-01,0.4,0.2031073164342442
2002-02,1.1,0.20071278544683566
2002-03,0.2,0.11333712796710962
2002-04,-0.1,-0.027255469231961205
2002-05,-0.8,-0.1827389818089669
2002-06,0.2,-0.3202953703726244
2002-07,-0.5,-0.4538436404008915
2002-08,-1.0,-0.557907683548359
2002-09,-0.6,-0.6105062045001022
2002-10,-0.4,-0.6231317347687828
2002-11,-0.5,-0.6064813094131212
2002-12,-1.1,-0.5543571368426496
2003-01,-0.2,-0.45249899873151095
2003-02,-0.7,-0.3279610222680055
2003-03,0.3,-0.1886789119871837
2003-04,-0.1,-0.07075798282055792
2003-05,-0.3,0.026697666257798364
2003-06,0.6,0.10236982355859851
2003-07,0.3,0.13020376716983972
2003-08,0.1,0.12182375246661391
2003-09,-0.1,0.1017104665741795
2003-10,0.0,0.09269217135815833
2003-11,-0.3,0.10232425246318513
2003-12,1.1,0.13114373855990422
2004-01,-1.3,0.14922494305717174
2004-02,1.2,0.20000089995091794
2004-03,0.4,0.217173930956258
2004-04,-0.9,0.21016311525528858
2004-05,1.0,0.20223054161656162
2004-06,0.8,0.13258027181395865
2004-07,-0.5,0.0008209385774929912
2004-08,-0.3,-0.14290392219614906
2004-09,-0.3,-0.28637134627759137
2004-10,-0.1,-0.4292531857642973
2004-11,-0.7,-0.5722532111509072
2004-12,-0.8,-0.6911451868845325
2005-01,0.3,-0.7713754587456078
2005-02,-3.1,-0.806632513415865
2005-03,0.3,-0.7094836888060683
2005-04,-0.6,-0.5661428288646643
2005-05,-0.8,-0.3863888771202395
2005-06,0.4,-0.1825643346238268
2005-07,0.2,0.0016709763127542854
2005-08,-0.3,0.16676715550807633
2005-09,0.4,0.32819114688032336
2005-10,1.2,0.46606776703434305
2005-11,-0.2,0.565958970983785
2005-12,-0.0,0.6689977326341481
2006-01,1.7,0.758321044061758
2006-02,0.1,0.7664115126886586
2006-03,1.8,0.6970526872227794
2006-04,1.1,0.5035695520823653
2006-05,-0.5,0.22279876102247764
2006-06,0.2,-0.06326321198930013
2006-07,-0.6,-0.32734792072369495
2006-08,-1.0,-0.5222534642401323
2006-09,-0.6,-0.6214222915363693
2006-10,-1.3,-0.6344703027433165
2006-11,0.1,-0.5693913700794899
2006-12,-0.3,-0.48457116178780735
2007-01,-0.8,-0.38771115647910515
2007-02,-0.1,-0.27253769029479147
2007-03,0.2,-0.16399430184143654
2007-04,-0.1,-0.0739605235186841
2007-05,-0.1,0.013244605348805238
2007-06,0.5,0.11133041893670033
2007-07,-0.3,0.22543172938638112
2007-08,0.4,0.39011217572789125
2007-09,0.2,0.6001513743682013
2007-10,0.7,0.8510776163803396
2007-11,0.9,1.1081210010073335
2007-12,1.7,1.3250725099594054
2008-01,1.8,1.439964863408059
2008-02,2.6,1.4192191009040003
2008-03,1.4,1.2565169796481643
2008-04,0.7,1.0349452382600783
2008-05,-0.1,0.8484546941890161
2008-06,0.6,0.7656351746905473
2008-07,0.3,0.7832625283428559
2008-08,1.0,0.8855712340874637
2008-09,1.2,1.0202046662842792
2008-10,1.3,1.1434703822063945
2008-11,1.3,1.2252894710550624
2008-12,1.4,1.2474349478045623
2009-01,1.1,1.197336671520412
2009-02,1.9,1.073976242719145
2009-03,0.4,0.8689652381344863
2009-04,0.8,0.6364591312785919
2009-05,-0.1,0.39510483651138695
2009-06,0.1,0.17593206362962072
2009-07,0.2,-0.02751724413396711
2009-08,-0.2,-0.22745047836656956
2009-09,0.3,-0.41884814715838053
2009-10,-1.2,-0.5946122955162467
2009-11,-0.6,-0.6932160686496955
2009-12,-0.7,-0.6989706470141258
2010-01,-1.1,-0.589129186251086
2010-02,-1.5,-0.3410227813426449
