Year-Month,monthly_anomaly,Value
2010-01,-2.7526846842344,-1.1
2010-02,-0.7770913867904156,-1.5
2010-03,-0.1012126042335133,0.7
2010-04,5.933395043286041,1.2
2010-06,4.854581638174025,0.4
2010-07,2.700569672460116,1.8
2010-08,-1.322871323027977,1.8
2010-09,-1.03569907821556,2.2
2010-10,-2.5911137579141803,1.7
2010-12,-4.903366559792846,2.9
2011-01,-3.10143713719855,2.3
2011-02,-1.4210826788895776,2.7
2011-03,-0.060096636145029025,2.5
2011-05,2.5146669090816176,0.4
2011-06,-0.1289279925720092,0.2
2011-07,-4.5033570223461945,1.0
2011-08,-3.4098020064055814,0.4
2011-09,-5.120809983548187,1.0
2011-10,-8.147518125502314,0.8
2011-11,-8.92506039557699,1.1
2012-06,-10.11679842213747,0.4
2012-07,-6.445491430488624,-0.0
2012-08,-5.9482486385802025,-0.2
2012-09,-6.176888194670181,0.2
2012-10,-4.056009412113283,0.3
2012-12,-1.6684623733152688,-0.6
2013-04,9.287180347288384,0.2
2013-05,2.4791440600706562,0.8
2013-06,-1.1368738885001972,1.2
2013-07,-2.9758419945649837,0.8
2013-08,-4.982495908048122,0.2
2013-09,-6.188086821130448,0.3
2013-11,-9.490419366994159,0.7
2014-01,-10.68013149751959,1.4
2014-02,-8.962816510150727,0.1
2014-03,-6.841498336315375,0.9
2014-05,-3.5864847883446322,0.5
2014-06,-5.046384315862857,0.2
2014-07,-6.489223234659529,-0.2
2014-08,-6.651381931501195,-0.7
2014-09,-4.055491985335207,-0.7
2014-10,-5.226992787440028,-0.6
2014-11,-4.550456110146289,-0.9
2014-12,-5.514829321875044,-0.6
