YEAR,Month,Value,Date
1951,JAN,1.5,1951-01-01
1951,FEB,0.9,1951-02-01
1951,MAR,0.1,1951-03-01
1951,APR,-0.3,1951-04-01
1951,MAY,-0.7,1951-05-01
1951,JUN,0.2,1951-06-01
1951,JUL,-1.0,1951-07-01
1951,AUG,-0.2,1951-08-01
1951,SEP,-1.1,1951-09-01
1951,OCT,-1.0,1951-10-01
1951,NOV,-0.8,1951-11-01
1951,DEC,-0.7,1951-12-01
1952,JAN,-0.9,1952-01-01
1952,FEB,-0.6,1952-02-01
1952,MAR,0.5,1952-03-01
1952,APR,-0.2,1952-04-01
1952,MAY,0.8,1952-05-01
1952,JUN,0.7,1952-06-01
1952,JUL,0.5,1952-07-01
1952,AUG,0.1,1952-08-01
1952,SEP,-0.2,1952-09-01
1952,OCT,0.4,1952-10-01
1952,NOV,0.0,1952-11-01
1952,DEC,-1.2,1952-12-01
1953,JAN,0.3,1953-01-01
1953,FEB,-0.5,1953-02-01
1953,MAR,0.2,1953-03-01
1953,APR,0.2,1953-04-01
1953,MAY,-1.7,1953-05-01
1953,JUN,0.1,1953-06-01
1953,JUL,-0.0,1953-07-01
1953,AUG,-1.2,1953-08-01
1953,SEP,-1.2,1953-09-01
1953,OCT,0.1,1953-10-01
1953,NOV,-0.3,1953-11-01
1953,DEC,-0.5,1953-12-01
1954,JAN,0.7,1954-01-01
1954,FEB,-0.3,1954-02-01
1954,MAR,0.3,1954-03-01
1954,APR,0.6,1954-04-01
1954,MAY,0.5,1954-05-01
1954,JUN,0.1,1954-06-01
1954,JUL,0.4,1954-07-01
1954,AUG,1.1,1954-08-01
1954,SEP,0.2,1954-09-01
1954,OCT,0.3,1954-10-01
1954,NOV,0.1,1954-11-01
1954,DEC,1.4,1954-12-01
1955,JAN,-0.5,1955-01-01
1955,FEB,1.9,1955-02-01
1955,MAR,0.6,1955-03-01
1955,APR,-0.1,1955-04-01
1955,MAY,1.0,1955-05-01
1955,JUN,1.3,1955-06-01
1955,JUL,1.6,1955-07-01
1955,AUG,1.5,1955-08-01
1955,SEP,1.3,1955-09-01
1955,OCT,1.5,1955-10-01
1955,NOV,1.2,1955-11-01
1955,DEC,1.0,1955-12-01
1956,JAN,1.3,1956-01-01
1956,FEB,1.6,1956-02-01
1956,MAR,1.3,1956-03-01
1956,APR,0.9,1956-04-01
1956,MAY,1.4,1956-05-01
1956,JUN,1.1,1956-06-01
1956,JUL,1.1,1956-07-01
1956,AUG,1.2,1956-08-01
1956,SEP,0.1,1956-09-01
1956,OCT,1.8,1956-10-01
1956,NOV,0.2,1956-11-01
1956,DEC,1.1,1956-12-01
1957,JAN,0.6,1957-01-01
1957,FEB,-0.1,1957-02-01
1957,MAR,0.2,1957-03-01
1957,APR,0.2,1957-04-01
1957,MAY,-0.7,1957-05-01
1957,JUN,0.2,1957-06-01
1957,JUL,0.2,1957-07-01
1957,AUG,-0.5,1957-08-01
1957,SEP,-0.9,1957-09-01
1957,OCT,0.0,1957-10-01
1957,NOV,-1.0,1957-11-01
1957,DEC,-0.3,1957-12-01
1958,JAN,-1.9,1958-01-01
1958,FEB,-0.5,1958-02-01
1958,MAR,0.3,1958-03-01
1958,APR,0.4,1958-04-01
1958,MAY,-0.5,1958-05-01
1958,JUN,0.3,1958-06-01
1958,JUL,0.4,1958-07-01
1958,AUG,0.9,1958-08-01
1958,SEP,-0.3,1958-09-01
1958,OCT,0.1,1958-10-01
1958,NOV,-0.4,1958-11-01
1958,DEC,-0.6,1958-12-01
1959,JAN,-0.9,1959-01-01
1959,FEB,-1.4,1959-02-01
1959,MAR,1.3,1959-03-01
1959,APR,0.4,1959-04-01
1959,MAY,0.5,1959-05-01
1959,JUN,0.1,1959-06-01
1959,JUL,-0.3,1959-07-01
1959,AUG,-0.1,1959-08-01
1959,SEP,0.0,1959-09-01
1959,OCT,0.5,1959-10-01
1959,NOV,0.9,1959-11-01
1959,DEC,0.9,1959-12-01
1960,JAN,0.1,1960-01-01
1960,FEB,0.1,1960-02-01
1960,MAR,1.0,1960-03-01
1960,APR,0.8,1960-04-01
1960,MAY,0.5,1960-05-01
1960,JUN,0.1,1960-06-01
1960,JUL,0.5,1960-07-01
1960,AUG,0.8,1960-08-01
1960,SEP,0.7,1960-09-01
1960,OCT,0.1,1960-10-01
1960,NOV,0.5,1960-11-01
1960,DEC,0.8,1960-12-01
1961,JAN,-0.3,1961-01-01
1961,FEB,0.9,1961-02-01
1961,MAR,1.8,1961-03-01
1961,APR,0.8,1961-04-01
1961,MAY,0.3,1961-05-01
1961,JUN,0.1,1961-06-01
1961,JUL,0.2,1961-07-01
1961,AUG,0.2,1961-08-01
1961,SEP,0.1,1961-09-01
1961,OCT,-0.3,1961-10-01
1961,NOV,0.5,1961-11-01
1961,DEC,1.5,1961-12-01
1962,JAN,2.0,1962-01-01
1962,FEB,-0.3,1962-02-01
1962,MAR,0.1,1962-03-01
1962,APR,0.2,1962-04-01
1962,MAY,1.1,1962-05-01
1962,JUN,0.7,1962-06-01
1962,JUL,0.1,1962-07-01
1962,AUG,0.6,1962-08-01
1962,SEP,0.4,1962-09-01
1962,OCT,1.0,1962-10-01
1962,NOV,0.3,1962-11-01
1962,DEC,0.2,1962-12-01
1963,JAN,1.0,1963-01-01
1963,FEB,0.6,1963-02-01
1963,MAR,1.1,1963-03-01
1963,APR,0.8,1963-04-01
1963,MAY,0.4,1963-05-01
1963,JUN,0.5,1963-06-01
1963,JUL,-0.1,1963-07-01
1963,AUG,0.0,1963-08-01
1963,SEP,-0.6,1963-09-01
1963,OCT,-1.2,1963-10-01
1963,NOV,-0.8,1963-11-01
1963,DEC,-1.2,1963-12-01
1964,JAN,-0.4,1964-01-01
1964,FEB,0.0,1964-02-01
1964,MAR,1.1,1964-03-01
1964,APR,1.1,1964-04-01
1964,MAY,0.2,1964-05-01
1964,JUN,0.8,1964-06-01
1964,JUL,0.6,1964-07-01
1964,AUG,1.5,1964-08-01
1964,SEP,1.3,1964-09-01
1964,OCT,1.3,1964-10-01
1964,NOV,0.2,1964-11-01
1964,DEC,-0.3,1964-12-01
1965,JAN,-0.4,1965-01-01
1965,FEB,0.4,1965-02-01
1965,MAR,0.8,1965-03-01
1965,APR,-0.5,1965-04-01
1965,MAY,0.2,1965-05-01
1965,JUN,0.6,1965-06-01
1965,JUL,-1.8,1965-07-01
1965,AUG,-0.7,1965-08-01
