Year-Month,nzd_188_Average_Value
1999-09,360.87654403259285
1999-10,353.2581252383094
1999-11,349.840762324993
1999-12,357.255
2000-01,356.0653983765347
2000-02,369.91746549001977
2000-03,363.4042731382252
2000-04,360.4957105055247
2000-05,361.43547725648966
2000-08,346.4864822683909
2000-10,347.0947262561207
2001-01,353.35657983319277
2001-06,351.6751887428686
2001-09,346.55125077556886
2001-10,348.55017747989876
2002-01,351.9020138367538
2002-02,350.1324260500422
2002-03,356.1230700677032
2002-04,350.23276190476196
2002-06,351.4753866100646
2002-08,370.95437086683523
2002-10,355.58837675007027
2002-11,375.89034526361155
2002-12,351.4018109735122
2003-01,352.0826538650549
2003-03,351.9783708668353
2003-04,351.653195293412
2003-05,340.57078204498174
2003-07,353.2069368632744
2003-08,342.71170812232526
2003-09,343.37450282272147
2003-10,350.7350947532131
2003-11,351.0257132055251
2003-12,362.48712550607286
2004-01,346.09454279638487
2004-02,365.05255686178293
2004-03,350.37973978678815
2004-04,354.40784152846925
2004-05,349.2602994959404
2004-06,356.09488918039307
2004-07,356.99483721213784
2004-08,358.00246749549495
2004-09,352.8700314864587
2004-10,356.22575329766033
2004-12,358.5210354632181
2005-01,355.8223836684471
2005-02,344.1973638275782
2005-03,355.1965626133603
2005-04,355.5778119362005
2005-05,347.8895947293447
2005-06,363.94346435533276
2005-07,355.1556301683066
2005-08,353.9257004756446
2005-10,353.5711345134245
2005-12,356.7564792837213
2006-01,358.6132933045627
2006-02,353.9533903504047
2006-03,353.4246347691123
2006-04,353.2646158179075
2006-05,344.1214305371272
2006-06,350.2668126601068
2006-07,353.3335095448323
2006-08,360.40227786208493
2006-09,350.8789788614092
2006-10,362.3437085373061
2006-11,362.88199383073066
2006-12,366.29638017702206
2007-01,365.1051668861276
2007-03,355.963734697535
2007-04,365.5019557793427
2007-05,358.4142783532257
2007-07,351.0661094667287
2007-08,354.2905012625833
2007-09,346.54967064342605
2007-10,349.9302293929268
2007-11,347.2203704254981
2007-12,346.41225776860455
2008-01,348.0225332940194
2008-02,345.7511720896186
2008-05,355.6442172243391
2008-06,355.52376502257823
2008-07,357.49162071846285
2008-08,350.77956437872047
2008-09,343.7098767226189
2008-11,350.90793236154116
2008-12,352.4792603366133
2009-01,349.16401684118625
2009-03,359.9067828043989
2009-05,349.26304091272135
2009-06,358.86506638296345
2009-07,345.6989707798221
2009-09,355.3882160293267
2009-10,353.75383363433093
2009-11,354.47363153610524
2009-12,358.10819401444786
2010-01,364.9065155746959
2010-03,360.88861873871537
2010-04,361.4012440142326
2010-05,361.7284241683526
2010-06,363.19435571561604
2010-07,362.545607500085
2010-08,358.82097241595693
2010-09,355.3144597662399
2010-10,351.66028144510165
2010-11,354.16544954185827
2010-12,355.0044673964952
2011-01,357.3602456776683
2011-02,355.0906776452535
2011-03,358.7857895686185
2011-04,366.59276248691106
2011-06,348.0143778969077
2011-07,357.7914011007912
2011-08,352.2359223336004
2011-09,353.2944435777009
2011-10,348.7870098975672
2011-11,333.91580367639637
2011-12,351.18180630956834
2012-01,352.2401577630602
2012-03,357.2215419776874
2012-04,347.3546515673296
2012-05,357.58652421909284
2012-06,357.6672009189641
2012-08,355.0048546739175
2012-09,332.985499082674
2012-10,347.81568642717133
2012-11,363.1672022597286
2012-12,347.54965270048643
2013-01,346.7007206875353
2013-02,351.08675868593053
2013-03,350.1388888888889
2013-04,362.3461854334177
2013-05,372.07810067022757
2013-06,360.3363986573712
2013-07,356.5542017868517
2013-08,350.32700780654955
2013-09,351.949285939837
2013-10,353.06110179976923
2013-11,342.32016247235134
2013-12,346.77010067022763
2014-01,356.47129182655965
2014-02,350.91069825352474
2014-03,354.07301631041054
2014-04,354.22755477042165
2014-05,357.32208433130336
2014-06,357.3527050941834
2014-07,346.7907286085375
2014-08,348.52944852998934
2014-09,344.2199632866453
