Year-Month,nzd_188_Average_Value
1999-09,356.26671371430444
1999-10,356.1402706855704
1999-11,356.49075287572145
1999-12,357.6272029467243
2000-01,358.5442045039775
2000-02,358.9037174281149
2000-03,358.5581110019265
2000-04,357.3441234229718
2000-05,356.11831660833474
2000-08,354.1775758510845
2000-10,352.51825503320816
2001-01,351.6149414228605
2001-06,350.02393453651365
2001-09,348.25200022217086
2001-10,348.69159413691466
2002-01,349.87859769929497
2002-02,351.95369306316456
2002-03,354.27155799682475
2002-04,355.86251398823936
2002-06,356.812531470627
2002-08,357.57520492948964
2002-10,357.8882945695429
2002-11,356.96229364780936
2002-12,355.7455672017797
2003-01,353.43820982995607
2003-03,350.9788410555704
2003-04,349.4157306805127
2003-05,347.5491030636168
2003-07,346.35188371695915
2003-08,345.87181449473434
2003-09,346.5205294006687
2003-10,349.29092810083205
2003-11,352.51713331122
2003-12,353.70798453431337
2004-01,354.19571788412617
2004-02,354.48016498680767
2004-03,354.0181037835028
2004-04,353.4584066888724
2004-05,353.48946770711524
2004-06,354.81698806561644
2004-07,356.31757691809344
2004-08,356.8294556601352
2004-09,356.11677870986534
2004-10,355.1874197720077
2004-12,353.75344276814246
2005-01,352.1698901015678
2005-02,350.20205622021484
2005-03,351.2209367317169
2005-04,352.435124761528
2005-05,353.59235502744036
2005-06,355.3975289505922
2005-07,355.9292476692084
2005-08,355.69387094657077
2005-10,355.05883564850774
2005-12,354.91477686952277
2006-01,354.9205362154791
2006-02,354.6806019512571
2006-03,354.04053817213105
2006-04,352.472097583919
2006-05,351.0888741916385
2006-06,351.1619716050649
2006-07,352.854328590255
2006-08,356.14618844616933
2006-09,358.60679883715443
2006-10,361.46009847865406
2006-11,363.09830572405184
2006-12,364.11934028081095
2007-01,362.9696706798849
2007-03,360.0662700541348
2007-04,357.92331593146474
2007-05,356.3400550106616
2007-07,353.9467094124141
2007-08,351.8521543588292
2007-09,350.7764557790493
2007-10,350.01421799064536
2007-11,349.5653830694823
2007-12,349.42858076958544
2008-01,349.56580002241816
2008-02,349.8918997125532
2008-05,350.29762518193206
2008-06,350.6090229033888
2008-07,350.73567985041865
2008-08,350.574914057913
2008-09,350.3854553113512
2008-11,350.4611216727947
2008-12,350.70688216027344
2009-01,351.4320883962135
2009-03,352.28155319028406
2009-05,352.89627753256843
2009-06,353.6944174383166
2009-07,354.34814910737714
2009-09,354.98621131207824
2009-10,355.7970818494575
2009-11,357.3334280751512
2009-12,358.9899221102082
2010-01,360.551418681029
2010-03,361.42189346897106
2010-04,361.847063166356
2010-05,361.8785991598862
2010-06,361.07596038053345
2010-07,359.51455438315594
2010-08,358.38595785872013
2010-09,356.75874511607617
2010-10,355.17723499055677
2010-11,355.10645668432284
2010-12,355.4282926449461
