nzd_name,orientation,coordinate,location,y,x,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",N,-34.429002,172.946715,4,0.00010808576411978079,3.0,-0.33181556675875545
nzd0006,95.1,"-34.460544,172.999415",N,-34.460544,172.999415,2,8.224667148427603e-06,4.0,-0.36088629789415977
nzd0011,232.4,"-34.714696,172.929167",W,-34.714696,172.929167,3,0.288746185853344,5.0,-0.09302178758095032
nzd0019,330.08,"-34.804460,173.394798",N,-34.80446,173.394798,4,1.7650384151085538e-09,3.0,-0.3867727808096512
nzd0025,234.93,"-34.828244,173.028933",W,-34.828244,173.028933,3,0.24523832471717955,5.0,-0.09885184357458451
nzd0029,14.44,"-34.875018,173.202629",N,-34.875018,173.202629,1,1.951128378750084e-05,5.0,-0.4169133644971005
nzd0036,330.03,"-34.963229,173.677262",N,-34.963229,173.677262,4,9.597810301779366e-08,4.0,-0.33017376582246244
nzd0046,251.25,"-35.020317,173.164765",W,-35.020317,173.164765,3,0.0019993095359644724,0.0,0.2618030421635035
nzd0053,104.04,"-35.033276,173.909632",N,-35.033276,173.909632,2,5.662593933877512e-07,1.0,-0.31878459912141166
nzd0054,267.93,"-35.082333,173.180023",W,-35.082333,173.180023,3,0.006952936795204484,5.0,-0.22636111637153639
nzd0059,235.0,"-35.152967,173.163400",W,-35.152967,173.1634,3,0.0004208018862741989,3.0,-0.3071601233515803
nzd0070,232.56,"-35.411860,173.260164",W,-35.41186,173.260164,3,0.19651199659342347,0.0,0.08661784042053933
nzd0075,112.46,"-35.435482,174.425048",N,-35.435482,174.425048,2,0.004673909404875957,5.0,-0.20386108552880783
nzd0090,20.4,"-35.563843,174.489134",N,-35.563843,174.489134,1,0.002136819054602559,5.0,-0.2299779388678054
nzd0100,62.1,"-35.820410,174.557552",N,-35.82041,174.557552,1,3.651490031533393e-09,5.0,-0.44027377221000635
nzd0106,69.89,"-35.983841,174.474238",N,-35.983841,174.474238,1,7.676684513641105e-06,5.0,-0.37443987700827375
nzd0115,240.4,"-36.115880,173.890577",W,-36.11588,173.890577,3,0.0003399200390051495,0.0,0.2934961536411055
nzd0119,49.92,"-36.212040,174.699727",N,-36.21204,174.699727,1,1.3483867159275321e-05,5.0,-0.30095132663310414
nzd0121,250.31,"-36.289352,174.008503",W,-36.289352,174.008503,3,0.025730962010912534,0.0,0.1926603664919391
nzd0161,238.91,"-36.685865,174.334589",W,-36.685865,174.334589,3,0.00020052579676001144,0.0,0.26525797007194923
nzd0191,96.52,"-37.087958,175.883102",N,-37.084162,175.883443,2,0.09180212618902499,3.0,-0.10729181655282498
nzd0198,65.8,"-37.281543,175.898166",N,-37.281543,175.898166,1,0.011094079381117247,5.0,-0.15975284678135732
nzd0205,245.66,"-37.489125,174.738749",W,-37.489125,174.738749,3,1.3436819736453143e-05,0.0,0.2752434350424282
nzd0231,19.31,"-37.901067,176.837798",N,-37.901067,176.837798,1,0.0748823876052452,5.0,-0.12173322310816317
nzd0233,316.29,"-37.910611,177.547418",N,-37.910611,177.547418,4,0.47873864514546705,0.0,0.044120122220997184
nzd0232,251.76,"-37.901906,174.772844",W,-37.901906,174.772844,3,0.016087517766095502,1.0,0.1772414727683405
nzd0240,355.21,"-37.991170,177.334113",N,-37.99117,177.334113,4,0.003858698477368226,5.0,-0.17930219739508457
nzd0242,112.55,"-38.003452,178.336959",E,-38.003452,178.336959,2,0.0014083391960367326,3.0,-0.22104907454485173
nzd0251,12.09,"-38.252944,178.323944",E,-38.252944,178.323944,1,0.0008087243921049638,4.0,-0.22423743281242595
nzd0254,109.27,"-38.308032,178.322004",E,-38.308032,178.322004,2,0.0005364623923519509,3.0,-0.23524909372780034
nzd0257,291.14,"-38.373922,174.664813",W,-38.373922,174.664813,4,0.37033880765234434,0.0,0.06697639580150837
nzd0266,274.03,"-38.596155,174.632046",W,-38.596155,174.632046,4,0.17882296484388982,0.0,-0.09900036126654195
nzd0273,281.44,"-38.791640,174.596652",W,-38.79164,174.596652,4,0.0033198509054155833,2.0,-0.2092956559967129
nzd0275,104.74,"-38.802263,177.918341",E,-38.802263,177.918341,2,0.4509983394698889,3.0,-0.05254380487253171
nzd0277,310.72,"-39.007556,174.174006",W,-39.007556,174.174006,4,0.0049643355811309865,0.0,-0.173077352534379
nzd0286,74.62,"-39.182892,177.920762",E,-39.182892,177.920762,1,4.820257535916509e-05,2.0,-0.28746561681930116
nzd0295,123.88,"-39.716367,177.022420",E,-39.716367,177.02242,2,0.00021056519439387203,5.0,-0.22876865212527353
nzd0299,199.78,"-39.857357,174.806918",W,-39.857124,174.806073,3,0.059471959681581935,0.0,-0.14194938515389685
nzd0305,92.35,"-40.050120,176.875841",E,-40.05012,176.875841,2,0.005962934634064115,0.0,0.1691429644412412
nzd0315,279.08,"-40.521342,175.205215",W,-40.521342,175.205215,4,0.009357606780977789,0.0,0.1713926029354836
nzd0321,294.62,"-40.793391,175.085263",W,-40.793391,175.085263,4,4.4159596504303595e-05,0.0,0.2805556095004132
nzd0324,106.51,"-40.886570,176.215881",E,-40.88657,176.215881,2,0.0007070814718823419,4.0,-0.21450913495130783
nzd0330,119.43,"-40.961102,176.139207",E,-40.961102,176.139207,2,6.2680686362246995e-06,5.0,-0.2852042095890126
nzd0332,289.1,"-40.959957,174.970738",W,-40.959957,174.970738,4,0.00015845807061169045,0.0,0.24656307358795404
nzd0343,118.76,"-41.137874,176.044767",E,-41.137874,176.044767,2,0.0004642958400255099,3.0,-0.23047635340110856
nzd0348,149.61,"-41.270162,175.884555",E,-41.270162,175.884555,2,0.04156579416584378,2.0,-0.14388681784093937
