nzd_name,orientation,coordinate,Max_Lag,Max_Correlation,Max_Selected_lag,Max_Selected_Correlation
nzd0292,258.69,"-39.351277,173.774309",9.0,0.4475717598257357,9.0,0.4475717598257357
nzd0353,199.42,"-41.385804,175.115216",-4.0,-0.43925757946755306,4.0,-0.41407412344517247
nzd0343,118.76,"-41.137874,176.044767",-16.0,-0.34107807505824467,2.0,-0.33167617365138247
nzd0309,254.77,"-40.173265,175.200489",-26.0,-0.43636389470364145,3.0,-0.14710118925555873
nzd0311,274.4,"-40.388368,175.229571",6.0,-0.34464798037625355,6.0,-0.34464798037625355
nzd0358,175.67,"-41.565490,175.391280",1.0,-0.50929155850547,1.0,-0.50929155850547
nzd0347,150.5,"-41.256991,175.905685",6.0,0.47157016143425307,6.0,0.47157016143425307
nzd0330,119.43,"-40.961102,176.139207",51.0,0.331014267628935,12.0,-0.29878757695312663
nzd0312,143.59,"-40.507909,176.527962",-3.0,0.5032353386401978,1.0,0.18966668451284935
nzd0310,133.42,"-40.244950,176.708996",-32.0,0.44755519958177603,12.0,-0.18300470520870427
nzd0321,299.01,"-40.816618,175.069624",-29.0,-0.38203288850285266,10.0,0.37604301446727734
nzd0311,277.56,"-40.436146,175.223264",6.0,-0.34464798037625355,6.0,-0.34464798037625355
nzd0300,196.98,"-39.869970,174.859465",27.0,-0.3665452095109809,11.0,-0.27006767299101614
nzd0277,322.09,"-39.011512,174.169088",-10.0,0.48258419798896895,12.0,0.428238364170028
nzd0266,274.03,"?-38.596155,174.632046",-14.0,0.3530444041238082,1.0,-0.2785048501596531
nzd0237,257.38,"-37.933991,174.784609",-1.0,0.5080163134343023,6.0,0.48814921354994506
nzd0212,251.19,"-37.622576,174.789051",6.0,0.48204861352304573,6.0,0.48204861352304573
nzd0295,123.88,"-39.716367,177.022420",-40.0,0.42627645981443996,5.0,-0.3089870423955101
nzd0293,122.4,"?-39.352309,176.904989",3.0,-0.43706280853208385,3.0,-0.43706280853208385
nzd0281,181.87,"-39.048416,177.676023",46.0,0.37006658439576445,11.0,-0.3377524479996654
nzd0279,82.04,"-39.031987,177.883684",3.0,-0.71498622059141,3.0,-0.71498622059141
nzd0224,129.39,"?-37.789835,178.468346",3.0,-0.5151476099157206,3.0,-0.5151476099157206
nzd0237,255.23,"?-37.931804,174.783964",-1.0,0.5080163134343023,6.0,0.48814921354994506
nzd0205,245.66,"?-37.489125,174.738749",8.0,0.4724075904091831,8.0,0.4724075904091831
nzd0227,324.64,"-37.811162,177.647166",-29.0,-0.5391932574474584,12.0,0.18665310486291492
nzd0240,352.32,"?-37.989372,177.355755",6.0,-0.33918455570949524,6.0,-0.33918455570949524
nzd0234,23.98,"?-37.926856,176.951915",-25.0,-0.451861696926651,7.0,-0.23874594859288129
nzd0229,20.56,"?-37.876639,176.717095",0.0,0.3496214445659203,1.0,0.3266802287697904
nzd0226,35.17,"?-37.805578,176.550300",44.0,0.3941670372096893,6.0,-0.36840010466970496
nzd0207,58.63,"-37.517365,176.033763",-32.0,0.48797130748166945,7.0,-0.42531351550210916
nzd0191,92.53,"-37.090106,175.882983",-25.0,-0.5452748752768902,3.0,-0.12165474436014477
nzd0139,47.7,"?-36.600789,175.523792",-10.0,0.6296504186200296,8.0,-0.37203434153727627
nzd0161,238.91,"-36.685865,174.334589",-3.0,0.41131293865413976,7.0,0.2925667167599285
nzd0132,234.46,"-36.511695,174.189160",4.0,0.5476275523236025,4.0,0.5476275523236025
nzd0139,47.7,"-36.600789,175.523792",-10.0,0.6296504186200296,8.0,-0.37203434153727627
nzd0100,62.1,"-35.820410,174.557552",7.0,-0.6302329887996297,7.0,-0.6302329887996297
nzd0096,229.12,"?-35.684127,173.495611",41.0,-0.300985421087673,7.0,0.20545297191109704
nzd0082,230.88,"-35.486466,173.327016",-4.0,0.5237300969209109,1.0,0.27090115923661867
nzd0062,230.17,"?-35.220384,173.095933",-2.0,0.6906915250119251,1.0,0.26001841103311607
nzd0046,251.25,"?-35.020317,173.164765",-2.0,0.5103662253537357,7.0,-0.4596787933066704
nzd0025,234.93,"-34.828244,173.028933",27.0,-0.4475871794389164,7.0,-0.08445105403892196
nzd0011,232.4,"-34.714696,172.929167",-19.0,0.5667808934225118,4.0,-0.23109344537734516
nzd0002,355.52,"-34.429002,172.946715",-10.0,-0.5078442837977402,4.0,0.13312427361806314
nzd0006,95.1,"-34.460544,172.999415",-8.0,0.48971462961356094,3.0,-0.37004807489463104
nzd0007,81.61,"?-34.501239,172.999801",-3.0,0.4118459869367883,5.0,0.18499171270131182
nzd0008,231.15,"-34.496384,172.700246",-5.0,0.5901237864304707,6.0,-0.15831745745527137
nzd0012,43.38,"-34.720405,173.075978",3.0,-0.5810704742405551,3.0,-0.5810704742405551
nzd0019,330.08,"?-34.804460,173.394798",-8.0,0.3849111855672599,5.0,-0.278810771184752
nzd0022,307.79,"?-34.811651,173.391714",36.0,-0.4294192040466976,7.0,-0.33720120947689847
nzd0029,14.44,"-34.875018,173.202629",1.0,-0.6689886777372857,1.0,-0.6689886777372857
nzd0031,54.3,"-34.954059,173.387105",-1.0,-0.5241537900509381,1.0,-0.4827353330522478
nzd0027,330.57,"-34.849431,173.373734",-5.0,0.4950326522636948,8.0,-0.18382824663624017
nzd0040,347.28,"-34.992682,173.514149",-25.0,-0.501467536277224,12.0,0.2945392223612343
nzd0055,61.0,"-35.097321,173.936610",11.0,-0.5711851303806085,11.0,-0.5711851303806085
nzd0054,267.93,"-35.082333,173.180023",-10.0,-0.47214569101289944,5.0,-0.3630019644046473
nzd0059,235.0,"?-35.152967,173.163400",-8.0,-0.5562172111128388,2.0,-0.3293228213336009
nzd0070,232.56,"-35.411860,173.260164",-9.0,0.4876440820989473,3.0,-0.1368019644694072
nzd0107,59.19,"-36.013595,174.490939",34.0,0.5393680674124935,5.0,-0.5386803466372094
nzd0119,51.23,"?-36.197932,174.671916",-19.0,-0.44601870382089664,9.0,-0.2842503214148828
nzd0143,177.88,"-36.611098,174.825580",54.0,0.3467737018716439,12.0,-0.16970584623348528
