nzd_name,orientation,coordinate,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",4,0.027310377686506078,3.0,0.6085418659591755
nzd0006,95.1,"-34.460544,172.999415",2,1.5934330769136612e-06,5.0,0.9163182119219778
nzd0007,81.61,"-34.501239,172.999801",1,0.027444047289669687,0.0,0.7636152290874051
nzd0008,231.15,"-34.496384,172.700246",3,0.00016383869533191824,3.0,-0.8230537584001174
nzd0011,232.4,"-34.714696,172.929167",3,0.010625024418685276,6.0,-0.6795137280067383
nzd0012,43.38,"-34.720405,173.075978",1,0.05270808095163579,9.0,-0.8739273105694376
nzd0019,330.08,"-34.804460,173.394798",4,0.17099983929775375,8.0,0.3373410067496019
nzd0022,307.79,"-34.811651,173.391714",4,0.14511582832321085,7.0,-0.3378793230001908
nzd0025,234.93,"-34.828244,173.028933",3,0.004501828805948148,8.0,-0.7313227584006996
nzd0027,330.57,"-34.849431,173.373734",4,0.03406175643748367,2.0,0.46410138954582547
nzd0029,14.44,"-34.875018,173.202629",1,0.0011895531590877997,4.0,-0.8929222989970362
nzd0031,54.3,"-34.954059,173.387105",1,0.005182114888061701,9.0,-0.7014229668882055
nzd0040,347.28,"-34.992682,173.514149",4,4.791129607559369e-06,2.0,-0.7573801320576559
nzd0046,251.25,"-35.020317,173.164765",3,0.004357698592668983,0.0,0.5835591062125652
nzd0054,267.93,"-35.082333,173.180023",3,0.08333689262535433,4.0,-0.3966791452834627
nzd0055,61.0,"-35.097321,173.936610",1,7.101786534420729e-07,9.0,-0.9380988297659797
nzd0059,235.0,"-35.152967,173.163400",3,0.017957654427617393,1.0,-0.5230599556047428
nzd0062,230.17,"-35.220384,173.095933",3,0.0013162576296077112,0.0,0.7488311236187583
nzd0070,232.56,"-35.411860,173.260164",3,0.009661750637913538,0.0,0.4724159542342928
nzd0082,230.88,"-35.486466,173.327016",3,0.009155877844954202,5.0,-0.554065351733105
nzd0096,229.12,"-35.684127,173.495611",3,0.011465898885934932,7.0,0.6743867719643887
nzd0100,62.1,"-35.820410,174.557552",1,7.016125650061625e-08,6.0,-0.9391875224643028
nzd0107,59.19,"-36.013595,174.490939",1,0.00044983463526637084,6.0,-0.7906314111322794
nzd0119,51.23,"-36.197932,174.671916",1,2.985427688946427e-05,7.0,-0.8354252983810548
nzd0132,234.46,"-36.511695,174.189160",3,0.0074431756384879194,8.0,0.8150089666119926
nzd0139,47.7,"-36.600789,175.523792",1,0.00028788899486997945,4.0,-0.8437913984738217
nzd0139,47.7,"-36.600789,175.523792",1,0.00028788899486997945,4.0,-0.8437913984738217
nzd0143,177.88,"-36.611098,174.825580",2,0.00027708581891304663,3.0,0.666231890810452
nzd0161,238.91,"-36.685865,174.334589",3,0.3450110108077012,0.0,0.22930101034705921
nzd0191,92.53,"-37.090106,175.882983",2,0.020873521192504255,2.0,-0.44232640524498373
nzd0205,245.66,"-37.489125,174.738749",3,0.019263600303403162,6.0,0.49466660726779177
nzd0207,58.63,"-37.517365,176.033763",1,0.0005306405652389063,8.0,-0.69048477616323
nzd0212,251.19,"-37.622576,174.789051",3,0.004148718567539441,0.0,0.5336376394044091
nzd0224,129.39,"-37.789835,178.468346",2,0.0005112327959169874,7.0,-0.8254184326481074
nzd0226,35.17,"-37.805578,176.550300",1,0.030687089923461072,7.0,-0.5985222441200293
nzd0227,324.64,"-37.811162,177.647166",4,0.01872389601839325,8.0,0.5079723347646059
nzd0229,20.56,"-37.876639,176.717095",1,0.061754422482652754,0.0,0.4250178292166229
nzd0234,23.98,"-37.926856,176.951915",1,0.0094193052826372,6.0,-0.6093142790454643
nzd0237,257.38,"-37.933991,174.784609",3,3.7156436122381173e-06,1.0,0.8644368365716035
nzd0237,255.23,"-37.931804,174.783964",3,3.7156436122381173e-06,1.0,0.8644368365716035
nzd0240,352.32,"-37.989372,177.355755",4,0.19315935453974808,8.0,-0.28832996825685064
nzd0266,274.03,"-38.596155,174.632046",4,0.0016898252086541897,7.0,0.8269611188695618
nzd0277,322.09,"-39.011512,174.169088",4,0.008691475108537586,0.0,-0.47051110687332826
nzd0279,82.04,"-39.031987,177.883684",1,2.168500172684234e-06,1.0,-0.8493447307600233
nzd0281,181.87,"-39.048416,177.676023",3,0.004595008720689947,2.0,-0.5931510134974576
nzd0292,258.69,"-39.351277,173.774309",3,0.0063891143582107,9.0,0.5750517785389921
nzd0293,122.4,"-39.352309,176.904989",2,0.0274439693048049,11.0,-0.5334276357909914
nzd0295,123.88,"-39.716367,177.022420",2,0.00014855398482465835,4.0,-0.70978785003123
nzd0300,196.98,"-39.869970,174.859465",3,0.005896118159040148,0.0,0.5926179425433666
nzd0309,254.77,"-40.173265,175.200489",3,0.0027683977513656517,3.0,-0.6619205476079618
nzd0310,133.42,"-40.244950,176.708996",2,0.1341454570310652,0.0,0.2901847204488223
nzd0311,274.4,"-40.388368,175.229571",4,0.013533470545782694,0.0,0.4870793149789151
nzd0311,277.56,"-40.436146,175.223264",4,0.013533470545782694,0.0,0.4870793149789151
nzd0312,143.59,"-40.507909,176.527962",2,0.2918433239778686,3.0,-0.2148638728919841
nzd0321,299.01,"-40.816618,175.069624",4,0.0011123877081488426,8.0,0.8431789954568675
nzd0330,119.43,"-40.961102,176.139207",2,0.006468139271574387,0.0,0.5296744460755549
nzd0343,118.76,"-41.137874,176.044767",2,0.003346238638543983,1.0,-0.5741611200241666
nzd0347,150.5,"-41.256991,175.905685",2,0.05536829640730827,0.0,-0.45898161300544116
nzd0353,199.42,"-41.385804,175.115216",3,0.0364346819777534,2.0,-0.3970435953442528
nzd0358,175.67,"-41.565490,175.391280",2,0.0013378995076487523,0.0,-0.680674490136024
