nzd_name,orientation,coordinate,location,y,x,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",N,-34.429002,172.946715,4,0.3319804441182881,3.0,0.2069193127802494
nzd0006,95.1,"-34.460544,172.999415",N,-34.460544,172.999415,2,,,
nzd0011,232.4,"-34.714696,172.929167",W,-34.714696,172.929167,3,0.36973887590946325,1.0,-0.18738966285935926
nzd0019,330.08,"-34.804460,173.394798",N,-34.80446,173.394798,4,,,
nzd0025,234.93,"-34.828244,173.028933",W,-34.828244,173.028933,3,0.14088691055751373,3.0,-0.2854623124771687
nzd0029,14.44,"-34.875018,173.202629",N,-34.875018,173.202629,1,0.10226909370725308,3.0,-0.3975990608218559
nzd0036,330.03,"-34.963229,173.677262",N,-34.963229,173.677262,4,0.037694493180485844,2.0,-0.30089783102322987
nzd0046,251.25,"-35.020317,173.164765",W,-35.020317,173.164765,3,0.09866030062576095,0.0,0.2971122718914565
nzd0053,104.04,"-35.033276,173.909632",N,-35.033276,173.909632,2,0.02553189502895242,3.0,0.34035868450911916
nzd0054,267.93,"-35.082333,173.180023",W,-35.082333,173.180023,3,0.8195404765588598,1.0,0.041288500275064956
nzd0059,235.0,"-35.152967,173.163400",W,-35.152967,173.1634,3,0.12025756623598853,3.0,-0.29502622224313413
nzd0070,232.56,"-35.411860,173.260164",W,-35.41186,173.260164,3,0.2142826574594475,0.0,0.18455486849455038
nzd0075,112.46,"-35.435482,174.425048",N,-35.435482,174.425048,2,0.055938977653974285,2.0,0.30466826747608894
nzd0090,20.4,"-35.563843,174.489134",N,-35.563843,174.489134,1,,,
nzd0100,62.1,"-35.820410,174.557552",N,-35.82041,174.557552,1,0.23895838618896784,0.0,0.1984741643040046
nzd0106,69.89,"-35.983841,174.474238",N,-35.983841,174.474238,1,0.15119527358391965,0.0,0.26862218525597203
nzd0115,240.4,"-36.115880,173.890577",W,-36.11588,173.890577,3,0.004328742964937334,1.0,0.4983353063478002
nzd0119,49.92,"-36.212040,174.699727",N,-36.21204,174.699727,1,0.6404436573845496,3.0,-0.07615919485540762
nzd0121,250.31,"-36.289352,174.008503",W,-36.289352,174.008503,3,0.02786295387697241,3.0,-0.42315177390975584
nzd0161,238.91,"-36.685865,174.334589",W,-36.685865,174.334589,3,0.6176071831871215,0.0,0.08483893036809387
nzd0191,96.52,"-37.087958,175.883102",N,-37.084162,175.883443,2,0.04072239849520931,0.0,0.28759062503540084
nzd0205,245.66,"-37.489125,174.738749",W,-37.489125,174.738749,3,,,
nzd0215,40.18,"-37.665481,178.506463",N,-37.665481,178.506463,1,0.08216210144180364,0.0,0.274718372116772
nzd0231,19.31,"-37.901067,176.837798",N,-37.901067,176.837798,1,0.8380097436981839,1.0,-0.03479377258440769
nzd0236,338.24,"-37.932388,177.506280",N,-37.932388,177.50628,4,0.36835041660237416,0.0,0.1260773935003322
nzd0232,251.76,"-37.901906,174.772844",W,-37.901906,174.772844,3,0.02151762836039496,2.0,0.4113107733373465
nzd0240,355.21,"-37.991170,177.334113",N,-37.99117,177.334113,4,0.36056422548251726,2.0,-0.13491810602754067
nzd0242,112.55,"-38.003452,178.336959",E,-38.003452,178.336959,2,0.5165520587625555,3.0,-0.10562550784313193
nzd0251,12.09,"-38.252944,178.323944",E,-38.252944,178.323944,1,,,
nzd0254,109.27,"-38.308032,178.322004",E,-38.308032,178.322004,2,,,
nzd0257,291.14,"-38.373922,174.664813",W,-38.373922,174.664813,4,0.08288306207355754,2.0,0.306390413967672
nzd0263,105.71,"-38.565705,178.228058",E,-38.565705,178.228058,2,0.5632169623828238,0.0,-0.08849446344631309
nzd0266,274.03,"-38.596155,174.632046",W,-38.596155,174.632046,4,,,
nzd0273,281.44,"-38.791640,174.596652",W,-38.79164,174.596652,4,0.48969106077205204,0.0,-0.11098305649077753
nzd0275,104.74,"-38.802263,177.918341",E,-38.802263,177.918341,2,9.036978186952175e-05,2.0,-0.572963222428415
nzd0277,310.72,"-39.007556,174.174006",W,-39.007556,174.174006,4,0.1461246177364124,0.0,-0.20045356455775076
nzd0279,82.04,"-39.036133,177.884430",E,-39.036133,177.88443,1,0.1875521233178653,3.0,-0.22475203824300227
nzd0286,74.62,"-39.182892,177.920762",E,-39.182892,177.920762,1,0.07539984335817625,3.0,-0.3137432284974828
nzd0295,123.88,"-39.716367,177.022420",E,-39.716367,177.02242,2,0.47710665510215844,3.0,-0.10627215067315018
nzd0299,199.78,"-39.857357,174.806918",W,-39.857124,174.806073,3,0.2993583907892012,2.0,0.18053182271553153
nzd0305,92.35,"-40.050120,176.875841",E,-40.05012,176.875841,2,,,
nzd0315,279.08,"-40.521342,175.205215",W,-40.521342,175.205215,4,0.06946937025636211,3.0,-0.3017990124092992
nzd0321,294.62,"-40.793391,175.085263",W,-40.793391,175.085263,4,0.12693413336774337,0.0,0.2591616389259821
nzd0324,106.51,"-40.886570,176.215881",E,-40.88657,176.215881,2,0.5378414398558735,2.0,0.09428816439864565
nzd0332,289.1,"-40.959957,174.970738",W,-40.959957,174.970738,4,,,
nzd0343,118.76,"-41.137874,176.044767",E,-41.137874,176.044767,2,0.11753086676152297,2.0,-0.26553355233208153
nzd0348,149.61,"-41.270162,175.884555",E,-41.270162,175.884555,2,0.4152223334951913,0.0,-0.144392846255357
