YEAR,Month,Value,Date
1999,SEP,-0.1,1999-09-01
1999,OCT,1.0,1999-10-01
1999,NOV,1.0,1999-11-01
1999,DEC,1.4,1999-12-01
2000,JAN,0.7,2000-01-01
2000,FEB,1.7,2000-02-01
2000,MAR,1.3,2000-03-01
2000,APR,1.2,2000-04-01
2000,MAY,0.4,2000-05-01
2000,JUN,0.2,2000-06-01
2000,JUL,-0.2,2000-07-01
2000,AUG,0.7,2000-08-01
2000,SEP,0.9,2000-09-01
2000,OCT,1.1,2000-10-01
2000,NOV,1.8,2000-11-01
2000,DEC,0.8,2000-12-01
2001,JAN,1.0,2001-01-01
2001,FEB,1.7,2001-02-01
2001,MAR,0.9,2001-03-01
2001,APR,0.2,2001-04-01
2001,MAY,-0.5,2001-05-01
2001,JUN,0.3,2001-06-01
2001,JUL,-0.2,2001-07-01
2001,AUG,-0.4,2001-08-01
2001,SEP,0.2,2001-09-01
2001,OCT,-0.0,2001-10-01
2001,NOV,0.7,2001-11-01
2001,DEC,-0.8,2001-12-01
2002,JAN,0.4,2002-01-01
2002,FEB,1.1,2002-02-01
2002,MAR,0.2,2002-03-01
2002,APR,-0.1,2002-04-01
2002,MAY,-0.8,2002-05-01
2002,JUN,0.2,2002-06-01
2002,JUL,-0.5,2002-07-01
2002,AUG,-1.0,2002-08-01
2002,SEP,-0.6,2002-09-01
2002,OCT,-0.4,2002-10-01
2002,NOV,-0.5,2002-11-01
2002,DEC,-1.1,2002-12-01
2003,JAN,-0.2,2003-01-01
2003,FEB,-0.7,2003-02-01
2003,MAR,0.3,2003-03-01
2003,APR,-0.1,2003-04-01
2003,MAY,-0.3,2003-05-01
2003,JUN,0.6,2003-06-01
2003,JUL,0.3,2003-07-01
2003,AUG,0.1,2003-08-01
2003,SEP,-0.1,2003-09-01
2003,OCT,0.0,2003-10-01
2003,NOV,-0.3,2003-11-01
2003,DEC,1.1,2003-12-01
2004,JAN,-1.3,2004-01-01
2004,FEB,1.2,2004-02-01
2004,MAR,0.4,2004-03-01
2004,APR,-0.9,2004-04-01
2004,MAY,1.0,2004-05-01
2004,JUN,0.8,2004-06-01
2004,JUL,-0.5,2004-07-01
2004,AUG,-0.3,2004-08-01
2004,SEP,-0.3,2004-09-01
2004,OCT,-0.1,2004-10-01
2004,NOV,-0.7,2004-11-01
2004,DEC,-0.8,2004-12-01
2005,JAN,0.3,2005-01-01
2005,FEB,-3.1,2005-02-01
2005,MAR,0.3,2005-03-01
2005,APR,-0.6,2005-04-01
2005,MAY,-0.8,2005-05-01
2005,JUN,0.4,2005-06-01
2005,JUL,0.2,2005-07-01
2005,AUG,-0.3,2005-08-01
2005,SEP,0.4,2005-09-01
2005,OCT,1.2,2005-10-01
2005,NOV,-0.2,2005-11-01
2005,DEC,-0.0,2005-12-01
2006,JAN,1.7,2006-01-01
2006,FEB,0.1,2006-02-01
2006,MAR,1.8,2006-03-01
2006,APR,1.1,2006-04-01
2006,MAY,-0.5,2006-05-01
2006,JUN,0.2,2006-06-01
2006,JUL,-0.6,2006-07-01
2006,AUG,-1.0,2006-08-01
2006,SEP,-0.6,2006-09-01
2006,OCT,-1.3,2006-10-01
2006,NOV,0.1,2006-11-01
2006,DEC,-0.3,2006-12-01
2007,JAN,-0.8,2007-01-01
2007,FEB,-0.1,2007-02-01
2007,MAR,0.2,2007-03-01
2007,APR,-0.1,2007-04-01
2007,MAY,-0.1,2007-05-01
2007,JUN,0.5,2007-06-01
2007,JUL,-0.3,2007-07-01
2007,AUG,0.4,2007-08-01
2007,SEP,0.2,2007-09-01
2007,OCT,0.7,2007-10-01
2007,NOV,0.9,2007-11-01
2007,DEC,1.7,2007-12-01
2008,JAN,1.8,2008-01-01
2008,FEB,2.6,2008-02-01
2008,MAR,1.4,2008-03-01
2008,APR,0.7,2008-04-01
2008,MAY,-0.1,2008-05-01
2008,JUN,0.6,2008-06-01
2008,JUL,0.3,2008-07-01
2008,AUG,1.0,2008-08-01
2008,SEP,1.2,2008-09-01
2008,OCT,1.3,2008-10-01
2008,NOV,1.3,2008-11-01
2008,DEC,1.4,2008-12-01
2009,JAN,1.1,2009-01-01
2009,FEB,1.9,2009-02-01
2009,MAR,0.4,2009-03-01
2009,APR,0.8,2009-04-01
2009,MAY,-0.1,2009-05-01
2009,JUN,0.1,2009-06-01
2009,JUL,0.2,2009-07-01
2009,AUG,-0.2,2009-08-01
2009,SEP,0.3,2009-09-01
2009,OCT,-1.2,2009-10-01
2009,NOV,-0.6,2009-11-01
2009,DEC,-0.7,2009-12-01
2010,JAN,-1.1,2010-01-01
2010,FEB,-1.5,2010-02-01
2010,MAR,0.7,2010-03-01
2010,APR,1.2,2010-04-01
2010,MAY,0.9,2010-05-01
2010,JUN,0.4,2010-06-01
2010,JUL,1.8,2010-07-01
2010,AUG,1.8,2010-08-01
2010,SEP,2.2,2010-09-01
2010,OCT,1.7,2010-10-01
2010,NOV,1.3,2010-11-01
2010,DEC,2.9,2010-12-01
2011,JAN,2.3,2011-01-01
2011,FEB,2.7,2011-02-01
2011,MAR,2.5,2011-03-01
2011,APR,1.9,2011-04-01
2011,MAY,0.4,2011-05-01
2011,JUN,0.2,2011-06-01
2011,JUL,1.0,2011-07-01
2011,AUG,0.4,2011-08-01
2011,SEP,1.0,2011-09-01
2011,OCT,0.8,2011-10-01
2011,NOV,1.1,2011-11-01
2011,DEC,2.5,2011-12-01
2012,JAN,1.1,2012-01-01
2012,FEB,0.5,2012-02-01
2012,MAR,0.7,2012-03-01
