Year-Month,Value,Smooth_Value
1999-09,-0.1,0.8231147330376006
1999-10,1.0,0.8466113673239131
1999-11,1.0,0.8791809681928249
1999-12,1.4,0.9087965653261878
2000-01,0.7,0.9253189857778401
2000-02,1.7,0.9262841102683989
2000-03,1.3,0.9057072103657017
2000-04,1.2,0.8696928684146427
2000-05,0.4,0.8305064915981525
2000-06,0.2,0.8055745360301828
2000-07,-0.2,0.8055967938934631
2000-08,0.7,0.8318109552452528
2000-09,0.9,0.8697422602382243
2000-10,1.1,0.9028564028493448
2000-11,1.8,0.9150918542393575
2000-12,0.8,0.8934674542744858
2001-01,1.0,0.8388287325984625
2001-02,1.7,0.7505607898819817
2001-03,0.9,0.6305670278488871
2001-04,0.2,0.49558583588111543
2001-05,-0.5,0.36656549355046536
2001-06,0.3,0.25983575174309304
2001-07,-0.2,0.17818627550842778
2001-08,-0.4,0.12503429627491364
2001-09,0.2,0.09788788491617605
2001-10,-0.0,0.0860514514265449
2001-11,0.7,0.08042490759853303
2001-12,-0.8,0.07056361129611541
2002-01,0.4,0.055703781202039254
2002-02,1.1,0.02147907957255004
2002-03,0.2,-0.04109720291738809
2002-04,-0.1,-0.12415988621113322
2002-05,-0.8,-0.21607664645645824
2002-06,0.2,-0.3048376615790876
2002-07,-0.5,-0.3875569119038635
2002-08,-1.0,-0.45346028929345455
2002-09,-0.6,-0.4935306088620322
2002-10,-0.4,-0.5072903687035566
2002-11,-0.5,-0.49592565114851994
2002-12,-1.1,-0.4589461265164202
2003-01,-0.2,-0.39592512682756054
2003-02,-0.7,-0.3164524508754246
2003-03,0.3,-0.22705656734681512
2003-04,-0.1,-0.1402588753836071
2003-05,-0.3,-0.06034551526288073
2003-06,0.6,0.009026417666151879
2003-07,0.3,0.0604552267302621
2003-08,0.1,0.09577317748018602
2003-09,-0.1,0.12055542254900131
2003-10,0.0,0.1404431586716568
2003-11,-0.3,0.15763140410577264
2003-12,1.1,0.1721207527547251
2004-01,-1.3,0.17676130783273797
2004-02,1.2,0.17890128579224185
2004-03,0.4,0.1628145076507812
2004-04,-0.9,0.12872946183539624
2004-05,1.0,0.08058066009108446
2004-06,0.8,0.006228716321664496
2004-07,-0.5,-0.09209982838296747
2004-08,-0.3,-0.19977575662544197
2004-09,-0.3,-0.3085432911899051
2004-10,-0.1,-0.4117126586632303
2004-11,-0.7,-0.5024605967074497
2004-12,-0.8,-0.5690933326929808
2005-01,0.3,-0.6030036471666893
2005-02,-3.1,-0.5991922373521112
2005-03,0.3,-0.538550368485804
2005-04,-0.6,-0.4410444270956974
2005-05,-0.8,-0.3135384502021325
2005-06,0.4,-0.16538015565207764
2005-07,0.2,-0.013518223008094896
2005-08,-0.3,0.13393273309931905
2005-09,0.4,0.27219432027416746
2005-10,1.2,0.38970794716577833
2005-11,-0.2,0.4769119861691942
2005-12,-0.0,0.5369056230049934
2006-01,1.7,0.5622112936098603
2006-02,0.1,0.5369622835610263
2006-03,1.8,0.46306982697306853
2006-04,1.1,0.33561762227992326
2006-05,-0.5,0.1705789018690726
2006-06,0.2,-0.004129627220125484
2006-07,-0.6,-0.1710690532900162
2006-08,-1.0,-0.3096109392176324
2006-09,-0.6,-0.4058288939223478
2006-10,-1.3,-0.45658385539826235
2006-11,0.1,-0.46177068517193903
2006-12,-0.3,-0.43446262202934266
2007-01,-0.8,-0.3789552378006266
2007-02,-0.1,-0.2974431258467355
2007-03,0.2,-0.19869970393797998
2007-04,-0.1,-0.08841334100331483
2007-05,-0.1,0.03395727690233646
2007-06,0.5,0.1687724221772261
