nzd_name,orientation,coordinate,location,y,x,quadrant,p-value,Max_lag,Max_Correlation
nzd0002,355.52,"-34.429002,172.946715",N,-34.429002,172.946715,4,0.0008139470066116696,2.0,-0.9766142239381526
nzd0006,95.1,"-34.460544,172.999415",N,-34.460544,172.999415,2,0.0028988680911336655,1.0,-0.9819678080305694
nzd0011,232.4,"-34.714696,172.929167",W,-34.714696,172.929167,3,0.04833340696692638,2.0,-0.8146791628449757
nzd0019,330.08,"-34.804460,173.394798",N,-34.80446,173.394798,4,1.7065009626257242e-09,2.0,-0.9833423724393955
nzd0025,234.93,"-34.828244,173.028933",W,-34.828244,173.028933,3,0.024864125648434647,2.0,-0.9239961389489058
nzd0029,14.44,"-34.875018,173.202629",N,-34.875018,173.202629,1,0.018660465293012088,3.0,-0.9373179627626526
nzd0036,330.03,"-34.963229,173.677262",N,-34.963229,173.677262,4,0.02251799718490906,3.0,-0.6485905516234685
nzd0046,251.25,"-35.020317,173.164765",W,-35.020317,173.164765,3,0.0013268041618649446,2.0,-0.989298428413528
nzd0053,104.04,"-35.033276,173.909632",N,-35.033276,173.909632,2,3.530271367471356e-07,0.0,-0.9116802231635045
nzd0054,267.93,"-35.082333,173.180023",W,-35.082333,173.180023,3,0.0008267194362599433,2.0,-0.992195311351578
nzd0059,235.0,"-35.152967,173.163400",W,-35.152967,173.1634,3,0.04370335661298708,2.0,-0.8889029345799279
nzd0070,232.56,"-35.411860,173.260164",W,-35.41186,173.260164,3,0.00015302281457286467,3.0,-0.861657822895237
nzd0075,112.46,"-35.435482,174.425048",N,-35.435482,174.425048,2,0.0009578811069056477,0.0,-0.7817170904797589
nzd0090,20.4,"-35.563843,174.489134",N,-35.563843,174.489134,1,0.025887343218217583,1.0,-0.6943398532263957
nzd0100,62.1,"-35.820410,174.557552",N,-35.82041,174.557552,1,0.00022917379339556306,0.0,-0.8505067594772909
nzd0106,69.89,"-35.983841,174.474238",N,-35.983841,174.474238,1,1.4818245306240813e-05,0.0,-0.9418661822993374
nzd0115,240.4,"-36.115880,173.890577",W,-36.11588,173.890577,3,0.0030300318617217216,1.0,-0.890358802129524
nzd0119,49.92,"-36.212040,174.699727",N,-36.21204,174.699727,1,0.0011675596415925806,2.0,0.8413869126396564
nzd0121,250.31,"-36.289352,174.008503",W,-36.289352,174.008503,3,0.018885487086010455,2.0,0.9811145129139895
nzd0161,238.91,"-36.685865,174.334589",W,-36.685865,174.334589,3,0.01811554080923664,3.0,-0.7231218486711621
nzd0191,96.52,"-37.087958,175.883102",N,-37.084162,175.883443,2,6.436708425867437e-06,3.0,-0.9239700116425733
nzd0198,65.8,"-37.281543,175.898166",N,-37.281543,175.898166,1,0.007365584913556312,0.0,-0.6417413219942558
nzd0205,245.66,"-37.489125,174.738749",W,-37.489125,174.738749,3,0.09317327630395572,0.0,0.4338325861532934
nzd0231,19.31,"-37.901067,176.837798",N,-37.901067,176.837798,1,0.27316640074049037,3.0,-0.3625592872850035
nzd0233,316.29,"-37.910611,177.547418",N,-37.910611,177.547418,4,0.06225977127833171,0.0,-0.4614345581394118
nzd0232,251.76,"-37.901906,174.772844",W,-37.901906,174.772844,3,0.001645483062056629,0.0,0.8543436959545997
nzd0240,355.21,"-37.991170,177.334113",N,-37.99117,177.334113,4,0.14923252978203325,0.0,0.3776820882503263
nzd0242,112.55,"-38.003452,178.336959",E,-38.003452,178.336959,2,8.20736072399905e-09,3.0,-0.9839334136828449
nzd0251,12.09,"-38.252944,178.323944",E,-38.252944,178.323944,1,6.6414008622684e-07,3.0,-0.9711168088567432
nzd0254,109.27,"-38.308032,178.322004",E,-38.308032,178.322004,2,2.777437114531704e-06,3.0,-0.935000024976189
nzd0257,291.14,"-38.373922,174.664813",W,-38.373922,174.664813,4,0.7191532744000647,2.0,-0.1227619396859635
nzd0266,274.03,"-38.596155,174.632046",W,-38.596155,174.632046,4,0.00013950695691646747,2.0,-0.9230744371058559
nzd0273,281.44,"-38.791640,174.596652",W,-38.79164,174.596652,4,0.007101844265904815,2.0,-0.7560355766791195
