nzd_name,orientation,coordinate,location,y,x
nzd0002,355.52,"-34.429002,172.946715",N,-34.429002,172.946715
nzd0006,95.1,"-34.460544,172.999415",N,-34.460544,172.999415
nzd0011,232.4,"-34.714696,172.929167",W,-34.714696,172.929167
nzd0019,330.08,"-34.804460,173.394798",N,-34.80446,173.394798
nzd0025,234.93,"-34.828244,173.028933",W,-34.828244,173.028933
nzd0029,14.44,"-34.875018,173.202629",N,-34.875018,173.202629
nzd0036,330.03,"-34.963229,173.677262",N,-34.963229,173.677262
nzd0046,251.25,"-35.020317,173.164765",W,-35.020317,173.164765
nzd0053,104.04,"-35.033276,173.909632",N,-35.033276,173.909632
nzd0054,267.93,"-35.082333,173.180023",W,-35.082333,173.180023
nzd0059,235,"-35.152967,173.163400",W,-35.152967,173.1634
nzd0070,232.56,"-35.411860,173.260164",W,-35.41186,173.260164
nzd0075,112.46,"-35.435482,174.425048",N,-35.435482,174.425048
nzd0090,20.4,"-35.563843,174.489134",N,-35.563843,174.489134
nzd0100,62.1,"-35.820410,174.557552",N,-35.82041,174.557552
nzd0106,69.89,"-35.983841,174.474238",N,-35.983841,174.474238
nzd0115,240.4,"-36.115880,173.890577",W,-36.11588,173.890577
nzd0119,49.92,"-36.212040,174.699727",N,-36.21204,174.699727
nzd0121,250.31,"-36.289352,174.008503",W,-36.289352,174.008503
nzd0161,238.91,"-36.685865,174.334589",W,-36.685865,174.334589
nzd0191,96.52,"-37.087958,175.883102",N,-37.084162,175.883443
nzd0205,245.66,"-37.489125,174.738749",W,-37.489125,174.738749
nzd0215,40.18,"-37.665481,178.506463",N,-37.665481,178.506463
nzd0231,19.31,"-37.901067,176.837798",N,-37.901067,176.837798
nzd0236,338.24,"-37.932388,177.506280",N,-37.932388,177.50628
nzd0232,251.76,"-37.901906,174.772844",W,-37.901906,174.772844
nzd0240,355.21,"-37.991170,177.334113",N,-37.99117,177.334113
nzd0242,112.55,"-38.003452,178.336959",E,-38.003452,178.336959
nzd0251,12.09,"-38.252944,178.323944",E,-38.252944,178.323944
nzd0254,109.27,"-38.308032,178.322004",E,-38.308032,178.322004
nzd0257,291.14,"-38.373922,174.664813",W,-38.373922,174.664813
nzd0263,105.71,"-38.565705,178.228058",E,-38.565705,178.228058
nzd0266,274.03,"-38.596155,174.632046",W,-38.596155,174.632046
nzd0273,281.44,"-38.791640,174.596652",W,-38.79164,174.596652
nzd0275,104.74,"-38.802263,177.918341",E,-38.802263,177.918341
nzd0277,310.72,"-39.007556,174.174006",W,-39.007556,174.174006
nzd0279,82.04,"-39.036133,177.884430",E,-39.036133,177.88443
nzd0286,74.62,"-39.182892,177.920762",E,-39.182892,177.920762
nzd0295,123.88,"-39.716367,177.022420",E,-39.716367,177.02242
nzd0299,199.78,"-39.857357,174.806918",W,-39.857124,174.806073
nzd0305,92.35,"-40.050120,176.875841",E,-40.05012,176.875841
nzd0315,279.08,"-40.521342,175.205215",W,-40.521342,175.205215
nzd0321,294.62,"-40.793391,175.085263",W,-40.793391,175.085263
nzd0324,106.51,"-40.886570,176.215881",E,-40.88657,176.215881
nzd0332,289.1,"-40.959957,174.970738",W,-40.959957,174.970738
nzd0343,118.76,"-41.137874,176.044767",E,-41.137874,176.044767
nzd0348,149.61,"-41.270162,175.884555",E,-41.270162,175.884555
