nzd_name,Max_lag_1999_2024,Max_Correlation_1999_2024,Max_lag_2007_2009,Max_Correlation_2007_2009,Max_lag_2010_2012,Max_Correlation_2010_2012,Max_lag_2014_2016,Max_Correlation_2014_2016,Max_lag_2015_2016,Max_Correlation_2015_2016,orientation,coordinate,location,y,x,quadrant
nzd0002,3,-0.331815567,0,-0.784550366,0,-0.621464312,1,-0.846341757,,,355.52,"-34.429002,172.946715",N,-34.429002,172.946715,4
nzd0006,4,-0.360886298,0,-0.941322873,2,-0.624844338,0,-0.968629514,3,-0.986803822,95.1,"-34.460544,172.999415",N,-34.460544,172.999415,2
nzd0011,11,-0.17832141,0,-0.907525209,0,0.752331617,,,,,232.4,"-34.714696,172.929167",W,-34.714696,172.929167,3
nzd0019,3,-0.386772781,0,-0.632178818,10,0.906518557,2,-0.98287281,,,330.08,"-34.804460,173.394798",N,-34.80446,173.394798,4
nzd0025,11,-0.189357645,0,-0.831638313,0,0.840123987,3,-0.825732253,,,234.93,"-34.828244,173.028933",W,-34.828244,173.028933,3
nzd0029,5,-0.439737687,0,-0.71021146,,,0,-0.797081942,1,-0.757857913,14.44,"-34.875018,173.202629",N,-34.875018,173.202629,1
nzd0036,4,-0.330173766,7,-0.858073198,8,0.935541105,,,11,-0.764697152,330.03,"-34.963229,173.677262",N,-34.963229,173.677262,4
nzd0046,8,-0.283688032,2,-0.858045826,0,0.875960061,2,-0.931649676,,,251.25,"-35.020317,173.164765",W,-35.020317,173.164765,3
nzd0053,11,-0.350939361,9,0.736251983,0,0.714974736,0,-0.889265799,0,-0.792592296,104.04,"-35.033276,173.909632",N,-35.033276,173.909632,2
nzd0054,5,-0.226361116,0,-0.807865112,0,0.820081228,2,-0.954927961,2,-0.777190683,267.93,"-35.082333,173.180023",W,-35.082333,173.180023,3
nzd0059,3,-0.307160123,0,-0.87176838,0,0.708391852,2,-0.931312095,,,235,"-35.152967,173.163400",W,-35.152967,173.1634,3
nzd0062,0,0.29725728,0,-0.736212421,0,0.855979836,2,-0.887775788,3,-0.993508798,230.17,"-35.220384,173.095933",W,-35.220384,173.095933,3
nzd0065,0,0.298888357,1,-0.842086595,0,0.756813546,0,0.610008051,,,230.07,"-35.256770,173.131213",W,-35.25677,173.131213,3
